'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ELSINORE (ELS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:15
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ELS,2,1990,,1.64,2.22,0.29,1.12,0.58,0.16,0.35,0.00,0.00,0.00,0.47,0.02
ELS,2,1991,,1.56,2.29,8.40,0.00,0.03,0.00,0.09,0.00,0.04,0.00,0.00,2.41
ELS,2,1992,,2.10,5.34,2.56,0.17,0.67,0.00,0.23,0.00,0.00,0.74,0.00,4.39
ELS,2,1993,,13.94,6.15,1.08,0.00,0.00,0.08,0.00,0.00,0.00,0.25,0.85,0.50
ELS,2,1994,,0.45,3.63,3.81,1.38,0.30,0.00,0.00,0.00,0.00,0.48,0.55,0.55
ELS,2,1995,,11.73,1.39,3.35,0.80,0.10,0.25,0.10,0.00,0.00,0.00,0.00,0.72
ELS,2,1996,,1.60,2.69,0.95,0.10,0.00,0.00,0.00,0.00,0.00,0.48,2.95,1.34
ELS,2,1997,,1.69,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.03,1.10,3.35
ELS,2,1998,,2.45,12.44,1.27,1.19,1.25,0.00,0.00,0.15,0.23,0.00,1.53,0.91
ELS,2,1999,,1.00,0.69,0.14,1.11,0.04,0.00,0.45,0.00,0.00,0.00,0.00,0.20
ELS,2,2000,,0.24,2.99,1.61,0.48,0.00,0.00,0.00,0.05,0.00,1.50,0.15,0.00
ELS,2,2001,,3.54,4.52,0.80,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.20
ELS,2,2002,,0.20,0.01,0.34,0.27,0.00,0.00,0.00,0.00,0.00,0.00,2.10,1.75
ELS,2,2003,,0.16,6.54,3.15,1.59,0.62,0.00,0.02,0.00,0.00,0.00,0.97,0.43
ELS,2,2004,,0.30,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,1.18,4.62
ELS,2,2005,,11.76,8.23,0.67,0.75,0.35,0.00,0.00,0.00,1.65,0.22,0.00,m
ELS,2,2006,,1.00,1.50,2.42,1.98,0.36,0.00,m,m,0.00,0.00,0.70,0.50
ELS,2,2007,,0.01,0.02,0.02,0.32,0.00,0.00,0.00,0.00,m,m,m,0.49
ELS,2,2008,,3.53,1.18,0.30,m,0.78,0.00,0.00,0.00,0.00,0.00,1.74,4.05
ELS,2,2009,,0.06,3.97,0.13,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.07,3.55
ELS,2,2010,,8.88,3.14,0.47,1.16,0.02,0.00,0.00,0.00,0.00,1.61,1.06,11.67
ELS,2,2011,,0.70,3.08,2.96,0.46,0.47,0.07,0.09,0.09,0.03,0.44,1.37,0.74
ELS,2,2012,,0.55,0.51,1.51,1.18,0.02,0.00,0.32,0.05,0.24,0.36,0.14,1.73
ELS,2,2013,,0.91,0.46,0.46,0.00,0.14,0.00,0.00,0.00,0.00,0.16,0.53,0.70
ELS,2,2014,,0.00,0.83,1.25,0.50,0.00,0.00,0.00,0.66,0.45,m,m,m
ELS,2,,
'End of Data
