'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ENGLEBRIGHT (USACE) (ENG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:15
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ENG,2,1990,,6.94,5.69,2.89,1.18,4.07,0.00,0.03,0.00,0.04,0.49,1.80,0.79
ENG,2,1991,,1.10,3.40,16.34,0.84,1.19,0.83,0.00,0.02,0.03,3.22,1.29,3.52
ENG,2,1992,,3.61,10.44,3.34,1.10,0.00,0.96,0.00,0.08,0.00,2.66,0.71,11.46
ENG,2,1993,,12.10,8.15,3.94,2.32,2.43,1.84,0.00,0.00,0.00,1.88,2.88,4.56
ENG,2,1994,,3.59,4.71,1.18,2.33,0.52,0.04,0.00,0.00,0.11,1.40,5.79,7.15
ENG,2,1995,,15.78,0.02,16.10,4.43,2.56,1.88,0.00,0.00,0.00,0.00,0.11,8.97
ENG,2,1996,,6.78,7.87,3.89,5.00,4.35,0.10,0.02,0.00,0.02,2.71,4.12,10.66
ENG,2,1997,,12.90,0.30,1.53,0.76,0.44,0.81,0.00,0.48,0.25,1.84,8.07,4.41
ENG,2,1998,,13.38,13.63,4.47,3.93,5.72,0.68,0.00,0.00,0.98,1.20,7.30,2.54
ENG,2,1999,,6.77,9.46,2.30,2.11,0.21,0.06,0.00,0.01,0.00,1.52,4.35,0.71
ENG,2,2000,,8.24,15.76,4.29,2.21,1.62,0.24,0.00,0.00,1.33,3.34,1.79,1.22
ENG,2,2001,,5.55,5.50,2.95,2.41,0.01,0.24,0.00,0.00,0.45,1.82,6.00,10.46
ENG,2,2002,,3.17,2.16,5.48,0.92,1.72,0.00,0.00,0.00,0.00,0.00,3.40,13.67
ENG,2,2003,,3.21,2.16,3.65,6.63,2.18,0.00,0.00,1.77,0.00,0.74,3.13,9.62
ENG,2,2004,,2.43,8.41,1.48,0.37,0.12,0.00,0.00,0.00,0.29,4.61,3.14,7.09
ENG,2,2005,,5.12,3.42,6.59,1.69,4.12,1.48,0.00,0.00,0.16,1.06,3.32,15.86
ENG,2,2006,,5.03,2.75,11.35,7.01,0.61,0.00,0.00,0.00,0.00,0.18,2.99,5.72
ENG,2,2007,,0.06,7.51,0.80,2.73,0.75,0.05,0.00,0.00,0.75,1.59,1.23,6.15
ENG,2,2008,,9.75,3.82,0.21,0.30,0.07,0.00,0.00,0.00,0.00,1.84,2.47,4.69
ENG,2,2009,,2.13,7.18,3.93,0.07,2.34,0.92,0.00,0.00,0.00,2.49,1.70,3.93
ENG,2,2010,,8.32,3.32,2.71,7.48,1.84,0.00,0.00,0.00,0.00,4.59,5.26,12.29
ENG,2,2011,,1.98,7.09,11.77,1.27,2.35,1.58,0.00,0.00,0.01,1.61,1.27,0.13
ENG,2,2012,,4.01,2.02,10.27,4.79,0.34,0.20,0.00,0.01,0.00,2.55,10.23,13.54
ENG,2,2013,,0.56,0.77,2.98,1.19,0.42,1.11,0.00,0.01,0.79,0.15,1.47,0.25
ENG,2,2014,,0.95,9.29,6.68,0.87,0.03,0.00,0.00,0.01,0.27,m,m,m
ENG,2,,
'End of Data
