'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station EUREKA WOODLEY ISLAND (ERK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:16
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ERK,2,1990,,7.20,4.50,3.30,1.41,3.74,0.32,0.22,0.71,0.19,1.73,3.07,2.91
ERK,2,1991,,1.65,2.75,6.94,2.52,2.16,0.26,1.13,0.37,0.00,1.06,1.95,2.36
ERK,2,1992,,3.99,3.80,3.51,2.42,0.06,1.27,0.25,0.01,0.33,2.08,2.21,9.33
ERK,2,1993,,7.15,5.93,4.72,5.94,4.44,1.23,0.37,0.54,0.03,0.56,1.04,7.12
ERK,2,1994,,5.09,7.12,2.06,3.30,1.10,0.71,0.08,0.00,0.06,0.58,8.20,7.00
ERK,2,1995,,12.74,1.40,11.18,7.47,1.21,1.85,0.08,0.22,0.69,0.53,2.26,11.56
ERK,2,1996,,10.74,8.11,3.51,4.64,2.40,0.00,0.00,0.00,0.00,3.50,5.16,21.26
ERK,2,1997,,8.81,2.55,3.51,3.06,0.90,1.25,0.00,0.84,2.05,2.73,7.39,4.73
ERK,2,1998,,13.42,13.95,7.85,2.23,3.17,0.33,0.16,0.01,0.08,3.06,14.09,5.40
ERK,2,1999,,4.37,10.32,8.94,1.79,1.62,0.15,0.04,0.30,0.05,1.60,7.36,3.02
ERK,2,2000,,9.71,7.00,2.81,2.15,1.86,0.54,0.04,0.00,0.55,2.99,3.51,1.98
ERK,2,2001,,3.79,3.60,2.45,2.54,0.71,0.69,0.20,0.21,0.28,1.00,7.71,11.56
ERK,2,2002,,6.37,5.76,4.32,2.42,0.55,0.28,0.03,0.01,0.06,0.06,2.66,23.31
ERK,2,2003,,5.51,3.84,4.91,11.25,1.74,0.04,0.02,0.49,0.35,0.55,5.78,11.35
ERK,2,2004,,6.29,8.12,2.38,1.68,1.37,0.06,0.06,0.43,0.68,5.71,1.87,9.43
ERK,2,2005,,5.91,2.42,6.24,4.70,3.90,3.08,0.05,0.07,0.08,2.40,8.52,12.72
ERK,2,2006,,12.09,6.34,11.11,4.08,1.03,0.35,0.04,0.00,0.00,0.58,7.41,7.09
ERK,2,2007,,1.86,11.86,2.51,2.72,0.86,0.46,0.97,0.08,0.60,4.92,2.33,7.30
ERK,2,2008,,9.70,2.73,3.16,2.12,0.04,0.24,0.02,0.47,0.05,0.93,5.52,6.66
ERK,2,2009,,1.58,6.20,5.45,1.23,2.93,0.18,0.06,0.02,1.03,1.95,4.15,4.17
ERK,2,2010,,9.29,4.20,6.06,7.76,3.51,2.31,0.04,0.15,1.39,4.26,4.69,10.08
ERK,2,2011,,2.23,3.62,11.88,4.07,1.43,1.29,0.17,0.04,0.37,4.21,3.86,2.22
ERK,2,2012,,7.76,2.63,12.02,4.76,0.77,2.00,0.67,0.07,0.04,2.72,6.36,10.97
ERK,2,2013,,2.57,1.78,3.09,2.44,1.17,0.43,0.00,0.08,3.14,0.05,1.29,0.56
ERK,2,2014,,1.35,6.09,6.25,1.37,0.58,0.35,0.02,0.02,2.78,m,m,m
ERK,2,,
'End of Data
