'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ELLERY LAKE (ERY), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:16
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ERY,2,1990,,2.70,3.19,1.52,1.42,0.71,0.54,1.54,0.46,0.96,0.36,0.74,1.22
ERY,2,1991,,0.34,0.89,10.15,0.54,1.89,0.42,0.28,0.18,0.46,2.00,1.59,1.33
ERY,2,1992,,1.21,4.26,1.17,0.20,0.34,1.04,1.72,1.08,0.25,2.15,0.09,5.43
ERY,2,1993,,7.98,3.38,0.25,0.54,0.48,0.51,0.00,0.02,0.00,0.22,1.04,1.20
ERY,2,1994,,1.02,4.08,1.42,0.91,2.45,0.23,0.17,0.00,0.43,1.51,8.41,1.31
ERY,2,1995,,7.04,0.55,7.00,1.59,3.08,1.89,0.10,0.51,0.18,0.00,0.12,5.41
ERY,2,1996,,4.95,8.52,3.74,2.27,1.92,0.10,0.42,0.53,0.70,1.62,4.82,9.50
ERY,2,1997,,13.52,0.10,0.27,0.50,0.48,0.88,0.87,0.36,0.42,0.45,2.37,1.86
ERY,2,1998,,7.01,9.76,3.61,1.66,1.04,1.20,0.27,0.12,0.91,0.86,3.61,0.57
ERY,2,1999,,6.18,3.20,2.15,2.29,0.00,0.00,0.87,0.67,0.81,0.72,0.91,0.40
ERY,2,2000,,7.07,7.03,0.68,0.91,1.19,0.38,0.00,0.86,0.00,1.35,0.16,0.05
ERY,2,2001,,1.95,3.40,3.28,2.00,0.65,0.19,1.38,0.52,0.86,1.16,3.17,4.40
ERY,2,2002,,2.02,0.94,1.52,1.20,0.42,0.42,0.27,0.22,0.87,0.28,3.77,4.91
ERY,2,2003,,0.10,1.70,1.10,2.42,0.30,0.30,2.40,0.78,m,1.34,17.33,0.47
ERY,2,2004,,0.60,2.70,0.50,0.50,1.00,0.30,0.64,1.40,0.00,2.70,1.20,4.43
ERY,2,2005,,1.30,2.50,2.40,0.40,0.10,1.50,0.70,0.50,0.00,1.40,0.00,7.80
ERY,2,2006,,3.20,m,m,m,m,m,0.00,0.00,0.00,m,m,0.00
ERY,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
ERY,2,2008,,m,m,m,m,m,m,m,m,m,m,m,3.30
ERY,2,2009,,0.90,1.78,1.81,0.20,0.35,0.32,0.27,0.44,0.01,2.88,0.51,2.56
ERY,2,2010,,3.51,3.27,1.40,2.56,0.80,0.00,0.60,0.00,0.00,6.16,1.78,6.77
ERY,2,2011,,2.93,2.17,4.78,1.31,3.90,0.86,0.87,0.00,0.40,1.38,0.51,0.00
ERY,2,2012,,2.90,0.90,3.07,1.23,0.04,0.28,0.04,3.12,m,1.25,2.50,5.10
ERY,2,2013,,0.44,0.16,1.10,0.36,0.80,0.24,0.04,0.20,0.40,0.60,0.56,1.28
ERY,2,2014,,1.32,4.02,2.52,1.20,0.80,0.52,0.88,1.68,0.36,m,m,m
ERY,2,,
'End of Data
