'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NEW EXCHEQUER-LK MCCLURE (EXC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:16
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
EXC,2,1990,,2.42,2.52,1.55,1.35,2.00,0.00,0.00,0.00,0.04,0.06,0.92,0.67
EXC,2,1991,,0.10,1.91,9.95,0.40,0.28,0.05,0.00,0.14,0.00,2.43,0.39,1.98
EXC,2,1992,,1.53,4.65,3.03,0.00,0.01,0.21,0.47,0.00,0.00,1.28,0.07,5.96
EXC,2,1993,,9.82,5.58,4.17,0.69,0.87,1.05,0.00,0.00,0.00,0.59,1.19,2.14
EXC,2,1994,,1.96,4.75,0.22,2.12,1.08,0.00,0.00,0.00,0.27,0.44,2.90,2.00
EXC,2,1995,,11.26,0.72,7.00,2.47,1.07,1.57,0.04,0.00,0.00,0.00,0.00,3.91
EXC,2,1996,,5.40,5.23,3.09,1.68,1.41,0.25,0.00,0.02,0.00,1.62,3.87,14.88
EXC,2,1997,,7.64,0.22,0.03,0.18,0.03,0.08,0.00,0.00,0.07,0.27,3.48,1.88
EXC,2,1998,,8.74,8.78,5.55,2.90,1.53,0.67,0.00,0.00,0.29,0.31,1.14,2.40
EXC,2,1999,,4.29,4.33,1.73,2.11,0.28,0.03,0.00,0.00,0.00,0.17,2.12,0.10
EXC,2,2000,,6.36,9.64,2.78,2.10,1.25,0.49,0.00,0.00,0.00,3.44,0.24,0.46
EXC,2,2001,,4.51,3.12,2.06,2.64,0.00,0.00,0.05,0.00,0.33,0.56,3.74,5.84
EXC,2,2002,,1.92,1.08,2.02,0.49,0.83,0.00,0.00,0.00,0.03,0.00,2.86,4.95
EXC,2,2003,,0.86,1.58,1.66,4.40,1.82,0.00,0.01,0.46,0.11,0.02,1.78,4.82
EXC,2,2004,,1.38,4.10,1.10,0.03,0.33,0.00,0.00,0.00,0.02,6.02,2.00,4.21
EXC,2,2005,,7.30,3.45,6.17,0.87,2.42,0.12,0.00,0.05,0.14,0.64,0.67,4.86
EXC,2,2006,,4.45,1.88,5.87,5.80,2.23,0.00,0.00,0.00,0.00,0.81,1.79,3.25
EXC,2,2007,,1.12,4.02,0.86,1.19,0.26,0.00,0.01,0.00,0.07,2.39,0.31,2.83
EXC,2,2008,,7.93,3.28,0.05,0.01,0.37,0.00,0.00,0.00,0.00,0.73,1.46,2.50
EXC,2,2009,,3.40,3.12,1.73,0.78,0.98,0.56,0.00,0.00,0.24,1.93,0.53,4.55
EXC,2,2010,,5.44,3.68,2.08,5.84,0.53,0.03,0.00,0.00,0.00,1.52,3.43,7.63
EXC,2,2011,,2.02,3.83,7.35,0.72,1.44,2.03,0.00,0.00,0.01,1.21,0.73,0.00
EXC,2,2012,,2.47,1.03,4.47,3.62,0.00,0.27,0.01,0.00,0.08,0.23,1.57,6.13
EXC,2,2013,,0.94,0.65,1.55,0.61,0.63,0.09,0.00,0.00,0.00,0.06,0.93,0.53
EXC,2,2014,,1.06,2.47,1.83,1.06,0.04,0.00,0.00,0.03,0.01,m,m,m
EXC,2,,
'End of Data
