'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FORT BIDWELL (FBW), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:17
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FBW,2,1990,,2.79,1.09,1.23,1.74,1.53,0.16,0.31,0.85,0.09,0.77,0.97,0.74
FBW,2,1991,,1.63,0.68,3.83,1.67,2.57,1.29,0.08,0.11,0.00,1.56,1.78,1.29
FBW,2,1992,,0.26,1.00,1.26,2.12,0.13,2.08,0.12,0.00,0.08,2.82,3.17,3.46
FBW,2,1993,,3.92,2.28,2.57,2.88,2.27,1.84,0.33,0.63,0.20,1.00,0.63,1.74
FBW,2,1994,,0.62,2.42,0.89,0.79,1.80,0.46,0.51,0.00,0.25,0.56,3.26,2.96
FBW,2,1995,,4.25,1.01,4.14,3.28,2.10,0.98,0.55,0.00,0.00,0.36,1.02,7.46
FBW,2,1996,,4.84,3.17,1.19,1.30,2.50,1.25,0.13,0.04,0.75,2.28,2.92,8.13
FBW,2,1997,,4.88,0.78,1.38,3.47,0.24,1.05,0.78,0.18,0.23,0.92,2.59,1.52
FBW,2,1998,,5.96,3.11,1.79,0.89,3.09,1.61,0.34,0.00,0.89,0.45,4.97,0.97
FBW,2,1999,,3.45,3.68,1.22,0.67,0.83,0.89,0.11,1.75,0.00,0.80,0.45,1.10
FBW,2,2000,,5.02,2.80,1.70,0.90,0.79,0.12,0.32,0.00,0.53,1.27,1.05,1.46
FBW,2,2001,,0.99,3.60,2.16,1.48,0.35,0.18,0.09,0.05,0.30,0.59,3.38,4.47
FBW,2,2002,,1.58,1.77,1.40,1.96,0.52,0.30,0.04,0.00,0.12,0.14,1.72,2.04
FBW,2,2003,,1.55,1.03,3.23,2.47,2.08,0.20,0.00,0.63,0.45,0.04,2.11,3.84
FBW,2,2004,,1.56,2.39,0.87,1.56,1.40,0.54,0.00,0.76,m,2.86,1.36,2.74
FBW,2,2005,,1.98,0.79,2.30,m,m,m,m,m,m,0.47,3.67,6.62
FBW,2,2006,,2.74,2.23,1.89,2.79,0.94,0.55,0.04,0.58,m,0.70,m,m
FBW,2,2007,,m,m,m,1.51,0.25,0.42,0.00,0.10,0.21,1.02,0.75,m
FBW,2,2008,,m,m,m,m,m,m,m,0.01,m,0.60,1.60,1.55
FBW,2,2009,,0.50,1.53,0.87,0.87,0.76,0.87,0.00,0.21,0.00,1.12,0.95,1.66
FBW,2,2010,,1.94,0.49,2.61,1.74,1.48,1.08,0.00,0.00,0.42,2.44,2.30,5.56
FBW,2,2011,,1.17,1.29,5.60,3.86,1.29,1.07,0.00,0.00,0.00,0.34,1.07,0.80
FBW,2,2012,,1.21,1.06,2.84,1.86,0.73,0.32,0.00,0.00,0.00,0.80,2.27,4.16
FBW,2,2013,,0.60,0.73,0.47,0.78,1.29,0.91,0.17,0.54,1.06,0.22,0.39,0.62
FBW,2,2014,,1.84,5.05,1.98,0.60,0.42,0.61,0.31,0.60,0.15,m,m,m
FBW,2,,
'End of Data
