'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FIDDLETOWN (FDD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:17
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FDD,2,1990,,4.79,3.42,3.32,2.57,4.30,0.00,0.03,0.00,0.02,0.54,1.67,1.23
FDD,2,1991,,0.87,2.65,14.15,1.41,1.73,2.43,0.00,0.19,0.01,4.36,1.23,2.77
FDD,2,1992,,2.31,8.43,5.02,0.81,0.00,1.01,0.02,0.00,0.00,4.11,0.52,11.78
FDD,2,1993,,12.39,8.80,5.79,2.10,2.55,0.94,0.00,0.00,0.00,0.60,2.31,3.84
FDD,2,1994,,3.08,6.72,0.35,3.13,1.96,0.02,0.00,0.00,0.61,1.32,7.50,6.07
FDD,2,1995,,17.54,1.22,17.75,4.20,4.09,2.41,0.04,0.00,0.00,0.00,0.32,7.61
FDD,2,1996,,8.95,8.05,5.50,3.78,5.89,1.04,0.00,0.00,0.28,1.63,7.26,17.25
FDD,2,1997,,14.26,1.10,0.39,1.68,0.36,0.78,0.00,0.39,0.20,2.35,5.27,2.89
FDD,2,1998,,13.81,14.96,7.60,5.17,7.64,0.93,0.02,0.00,0.62,0.77,4.46,3.60
FDD,2,1999,,7.67,11.72,3.63,2.41,1.19,0.46,0.00,0.05,0.00,1.26,4.28,0.87
FDD,2,2000,,12.40,14.09,1.73,2.29,4.32,0.54,0.00,0.05,1.39,4.91,1.73,1.27
FDD,2,2001,,4.60,6.19,2.69,4.17,0.00,0.08,0.00,0.00,0.45,0.85,5.34,8.28
FDD,2,2002,,3.42,3.86,5.46,1.41,2.08,0.00,0.00,0.00,0.00,0.00,4.03,10.76
FDD,2,2003,,1.07,2.67,3.78,9.47,1.51,0.00,0.00,1.00,0.00,0.00,2.94,10.24
FDD,2,2004,,3.70,7.45,1.53,0.41,0.13,0.00,0.00,0.00,0.37,6.24,3.73,6.78
FDD,2,2005,,10.16,4.46,10.01,2.23,4.55,1.54,0.00,0.05,0.81,0.51,2.13,17.03
FDD,2,2006,,6.53,3.10,12.52,12.18,0.99,0.00,0.00,0.00,0.00,0.76,2.10,5.09
FDD,2,2007,,1.86,9.61,1.46,2.77,0.53,0.05,0.00,0.00,0.39,2.11,0.97,4.85
FDD,2,2008,,9.27,4.64,0.78,0.17,0.73,0.00,0.00,0.00,0.00,1.36,4.09,4.16
FDD,2,2009,,4.53,7.65,3.75,2.05,2.84,0.04,0.00,0.00,0.08,2.75,1.47,6.47
FDD,2,2010,,7.44,4.21,5.99,6.57,4.13,0.01,0.00,0.00,0.00,5.21,7.03,12.72
FDD,2,2011,,2.73,6.35,13.35,1.48,3.82,3.21,0.00,0.00,0.13,2.85,1.89,0.10
FDD,2,2012,,4.31,1.79,9.28,6.80,0.07,0.44,m,m,m,2.03,5.53,10.45
FDD,2,2013,,1.33,0.81,2.89,1.16,0.93,0.40,0.00,0.00,1.28,0.00,1.47,0.51
FDD,2,2014,,1.15,9.75,5.46,2.98,0.30,0.00,0.00,0.00,0.93,m,m,m
FDD,2,,
'End of Data
