'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FRIANT GOVERNMENT CAMP (FGC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:17
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FGC,2,1990,,2.09,1.96,0.60,0.91,2.11,0.04,0.00,0.00,0.00,0.00,0.53,1.65
FGC,2,1991,,0.35,1.01,9.38,0.01,0.06,0.03,0.00,0.03,0.08,1.79,0.16,1.59
FGC,2,1992,,1.66,5.30,2.36,0.08,0.22,0.00,0.04,0.00,0.00,2.21,0.05,2.84
FGC,2,1993,,7.72,3.42,2.21,0.24,0.14,0.91,0.00,0.00,0.00,0.21,1.32,1.52
FGC,2,1994,,1.81,2.58,0.39,1.34,0.97,0.00,0.00,0.00,0.33,1.15,2.52,2.51
FGC,2,1995,,6.48,1.01,7.69,1.67,0.95,0.42,0.02,0.00,0.00,0.00,0.00,3.11
FGC,2,1996,,2.79,4.55,2.67,1.34,0.64,0.08,0.00,0.00,0.00,2.31,3.68,6.27
FGC,2,1997,,6.92,0.12,0.06,0.00,0.00,0.08,0.04,0.00,0.15,0.25,2.50,1.95
FGC,2,1998,,5.75,6.43,4.26,1.93,1.73,1.59,0.00,0.00,0.12,0.20,0.55,1.16
FGC,2,1999,,3.20,1.81,0.93,1.53,0.06,0.52,0.00,0.00,0.00,0.00,1.11,0.04
FGC,2,2000,,4.64,8.16,1.97,2.67,0.07,0.92,0.00,0.00,0.51,3.16,0.02,0.14
FGC,2,2001,,3.54,2.83,1.31,1.70,0.00,0.00,0.10,0.00,0.00,0.58,2.49,3.55
FGC,2,2002,,1.49,1.10,1.49,0.38,0.72,0.00,0.00,0.00,0.00,0.00,1.94,2.90
FGC,2,2003,,0.58,1.90,0.96,2.44,1.10,0.00,0.00,0.01,0.00,0.12,m,m
FGC,2,2004,,m,m,m,m,m,m,m,m,m,m,m,m
FGC,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
FGC,2,2006,,m,m,m,m,m,m,m,m,m,m,m,m
FGC,2,2007,,m,m,m,m,m,m,m,m,m,m,0.05,2.26
FGC,2,2008,,4.34,1.42,0.06,0.03,0.60,0.00,0.00,0.00,0.00,0.22,1.59,1.88
FGC,2,2009,,1.37,2.10,0.91,0.49,0.00,0.31,0.00,0.02,0.07,1.52,0.16,3.34
FGC,2,2010,,2.83,4.16,1.31,2.79,0.31,0.00,0.00,0.00,0.00,1.62,2.10,7.31
FGC,2,2011,,2.26,2.06,5.33,0.17,0.66,2.18,0.00,0.00,0.00,1.26,0.15,0.00
FGC,2,2012,,1.25,0.78,3.17,2.04,0.01,0.00,0.00,0.02,0.00,0.25,2.08,5.27
FGC,2,2013,,0.74,0.72,0.27,0.46,0.05,0.00,0.03,0.10,0.08,0.25,0.45,0.43
FGC,2,2014,,0.75,2.21,0.75,1.35,m,m,m,m,m,m,m,m
FGC,2,,
'End of Data
