'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FORT JONES RS (FJN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:18
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FJN,2,1990,,3.97,1.45,1.17,1.09,2.64,0.20,0.42,0.58,0.35,0.70,1.32,0.79
FJN,2,1991,,1.01,2.25,3.35,1.53,1.16,0.63,0.57,0.62,0.08,0.66,2.81,1.55
FJN,2,1992,,1.40,1.67,0.89,1.63,0.38,2.35,0.76,0.00,0.08,1.87,1.31,5.27
FJN,2,1993,,5.45,1.92,2.28,2.82,2.47,1.47,0.02,1.33,0.37,0.52,0.66,3.53
FJN,2,1994,,1.99,1.53,0.31,0.48,1.23,0.05,0.00,0.00,0.08,0.06,5.92,1.79
FJN,2,1995,,9.05,1.29,6.97,3.31,2.06,1.87,2.15,0.00,0.00,0.03,0.42,8.44
FJN,2,1996,,7.67,2.89,1.55,2.43,1.89,0.24,0.30,0.18,0.48,1.34,3.83,11.46
FJN,2,1997,,5.92,0.74,0.98,1.28,0.49,1.26,1.31,1.10,0.75,1.54,2.42,1.60
FJN,2,1998,,7.66,5.62,4.54,1.53,3.17,0.41,0.17,0.00,0.65,1.05,8.90,1.36
FJN,2,1999,,4.58,7.80,1.01,0.19,0.07,0.01,0.00,0.46,0.00,1.09,2.77,1.20
FJN,2,2000,,6.94,4.38,1.40,2.39,0.35,0.41,0.11,0.22,0.16,1.51,0.75,1.06
FJN,2,2001,,0.98,0.58,0.97,0.62,0.37,0.14,0.93,0.00,0.50,0.28,5.30,4.96
FJN,2,2002,,3.22,1.57,0.57,1.77,0.29,0.23,0.38,0.01,0.23,0.00,3.63,12.89
FJN,2,2003,,3.65,0.82,3.23,2.26,0.21,0.02,1.49,0.66,0.06,0.00,0.84,5.24
FJN,2,2004,,1.79,4.44,1.44,0.59,0.58,0.16,1.29,0.44,0.00,3.03,1.15,5.35
FJN,2,2005,,2.19,0.65,2.03,1.51,2.99,0.38,0.09,0.00,0.07,0.42,5.67,10.89
FJN,2,2006,,9.41,2.13,1.76,1.70,0.60,0.30,0.00,0.20,0.00,0.08,2.94,5.42
FJN,2,2007,,1.44,4.67,0.50,0.69,0.59,0.07,0.56,0.06,0.00,3.40,0.85,2.91
FJN,2,2008,,5.95,2.41,0.51,0.56,1.65,0.02,0.00,0.10,0.00,0.81,1.98,1.62
FJN,2,2009,,0.86,3.20,1.30,0.23,1.60,2.66,0.00,0.17,0.00,1.40,0.75,1.93
FJN,2,2010,,2.19,1.46,1.63,2.40,0.53,0.45,0.27,0.01,0.68,3.25,2.64,4.94
FJN,2,2011,,1.08,1.53,5.13,0.77,1.76,1.60,0.36,0.00,0.13,1.86,1.66,0.56
FJN,2,2012,,4.24,1.32,4.28,1.52,0.14,0.73,0.05,0.06,0.00,0.73,3.58,7.18
FJN,2,2013,,2.86,0.55,0.77,1.29,1.96,0.30,0.00,0.55,1.65,0.00,0.53,0.48
FJN,2,2014,,0.78,2.58,4.12,0.28,0.79,0.20,0.35,0.01,1.94,m,m,m
FJN,2,,
'End of Data
