'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FOLSOM DAM - FOLSOM POINT (DYKE 8) (FLD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:18
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FLD,2,1990,,4.19,3.52,1.16,1.16,3.42,0.00,0.00,0.00,0.00,0.39,1.26,1.60
FLD,2,1991,,0.81,2.93,11.46,0.38,0.55,0.50,0.01,0.37,0.00,2.16,0.59,2.72
FLD,2,1992,,2.10,7.52,2.80,1.59,0.00,1.06,0.00,0.00,0.00,1.42,0.19,7.52
FLD,2,1993,,8.66,5.99,3.48,0.66,1.32,0.55,0.00,0.00,0.00,0.96,2.86,2.91
FLD,2,1994,,1.66,3.92,0.63,0.94,1.21,0.00,0.00,0.00,0.12,0.68,4.43,4.87
FLD,2,1995,,15.62,0.75,9.78,3.37,2.96,1.05,0.00,0.00,0.00,0.00,0.04,5.70
FLD,2,1996,,4.09,6.41,1.98,3.92,3.61,0.20,0.00,0.00,0.01,1.48,2.45,9.90
FLD,2,1997,,10.98,0.49,0.43,1.00,0.32,0.71,0.00,0.47,0.00,1.54,3.53,3.02
FLD,2,1998,,8.54,13.36,3.22,3.84,5.71,0.12,0.00,0.00,0.27,0.80,4.08,1.74
FLD,2,1999,,4.07,6.22,2.19,0.75,0.24,0.13,0.00,0.01,0.00,0.36,2.46,0.23
FLD,2,2000,,8.81,13.28,1.58,1.01,1.50,0.31,0.00,0.00,0.38,3.25,0.39,0.70
FLD,2,2001,,2.32,5.04,1.94,2.76,0.00,0.09,0.00,0.00,0.44,0.47,3.66,6.85
FLD,2,2002,,2.64,1.34,3.78,0.46,1.79,0.00,0.00,0.00,0.00,0.00,2.06,7.41
FLD,2,2003,,1.25,1.60,2.07,5.39,0.89,0.00,0.00,0.32,0.00,0.28,1.43,3.98
FLD,2,2004,,1.55,3.63,0.48,0.28,0.00,0.32,0.24,0.08,0.48,3.66,3.17,5.21
FLD,2,2005,,6.97,2.31,3.70,1.27,0.87,0.20,0.32,0.00,0.51,0.12,0.48,8.83
FLD,2,2006,,8.83,6.48,7.51,6.19,m,m,m,m,m,0.00,m,2.73
FLD,2,2007,,0.16,m,m,m,m,m,m,m,m,0.99,1.10,2.99
FLD,2,2008,,5.41,m,m,0.08,0.00,0.00,0.00,0.00,0.00,m,m,2.05
FLD,2,2009,,2.00,4.69,2.52,1.34,1.97,m,m,m,m,m,m,3.03
FLD,2,2010,,5.08,2.64,1.77,3.86,1.38,0.04,0.00,0.00,0.00,m,3.14,6.30
FLD,2,2011,,1.78,4.64,7.60,0.51,2.21,1.73,0.00,0.35,0.00,2.25,0.74,0.34
FLD,2,2012,,2.92,1.45,5.63,3.82,0.04,0.26,0.00,0.00,0.00,1.57,6.22,6.15
FLD,2,2013,,0.63,0.27,1.62,0.74,m,0.47,0.00,m,m,0.00,0.95,0.39
FLD,2,2014,,0.51,7.37,m,1.44,m,0.00,0.00,m,m,m,m,m
FLD,2,,
'End of Data
