'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FLORENCE LAKE (SCE) (FLR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:19
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FLR,2,1990,,2.70,2.60,2.49,1.40,1.89,0.10,0.42,1.00,0.60,0.20,0.30,0.80
FLR,2,1991,,1.00,1.30,13.70,0.50,0.02,0.40,0.90,1.20,2.00,1.50,1.20,2.50
FLR,2,1992,,1.30,7.00,2.50,0.20,1.10,0.50,3.90,1.00,0.30,2.70,0.10,8.10
FLR,2,1993,,16.01,7.50,3.40,0.00,0.17,1.50,0.00,0.00,0.00,0.70,1.50,1.70
FLR,2,1994,,1.30,5.10,0.80,1.30,0.80,0.00,0.00,0.00,2.70,1.80,3.70,1.70
FLR,2,1995,,14.40,1.40,14.20,2.40,5.20,1.50,0.80,1.40,0.00,0.00,0.00,6.00
FLR,2,1996,,5.30,7.60,2.80,3.10,1.80,0.40,3.30,0.00,0.00,2.60,4.90,7.40
FLR,2,1997,,13.40,0.40,0.10,0.30,0.30,0.00,0.90,0.00,0.90,0.50,4.40,3.20
FLR,2,1998,,m,16.54,5.50,1.70,2.50,1.70,0.50,0.80,1.30,0.70,2.00,0.50
FLR,2,1999,,4.80,4.10,1.20,2.10,0.91,0.20,0.72,0.40,1.54,0.30,0.81,0.00
FLR,2,2000,,8.04,9.39,1.19,2.42,1.01,0.50,0.07,0.44,0.10,1.98,0.28,m
FLR,2,2001,,4.26,3.87,2.91,3.17,1.24,0.00,0.63,0.00,0.18,1.43,4.59,5.72
FLR,2,2002,,1.21,1.53,2.25,0.93,1.65,0.01,0.01,0.00,0.10,0.11,6.82,6.91
FLR,2,2003,,0.29,2.86,2.33,3.27,2.04,0.61,2.17,0.72,0.62,0.03,1.21,6.23
FLR,2,2004,,2.23,6.97,0.83,0.37,2.64,0.89,0.19,0.00,0.00,6.09,1.83,5.07
FLR,2,2005,,7.96,38.20,4.32,0.96,2.56,0.00,0.00,0.00,0.00,0.63,1.62,8.84
FLR,2,2006,,2.61,3.42,6.95,6.14,1.54,0.18,1.23,m,m,0.68,0.72,3.08
FLR,2,2007,,0.84,4.29,0.77,1.08,0.13,0.04,0.11,m,m,0.52,0.59,3.00
FLR,2,2008,,3.78,2.39,0.46,0.00,1.65,0.00,0.98,0.00,0.25,1.98,2.53,1.52
FLR,2,2009,,2.39,2.70,1.53,1.20,2.34,2.16,0.00,0.00,0.00,3.66,0.63,2.80
FLR,2,2010,,2.41,2.51,1.19,1.91,1.01,0.00,1.91,0.52,0.00,6.63,2.29,5.74
FLR,2,2011,,1.75,0.68,6.58,0.77,1.19,1.45,3.41,0.00,1.47,1.94,1.69,0.00
FLR,2,2012,,2.98,0.66,3.88,1.18,0.13,0.00,0.00,0.12,0.00,0.75,m,m
FLR,2,2013,,m,0.14,0.90,0.40,m,m,m,m,m,0.87,0.32,0.60
FLR,2,2014,,0.30,2.98,1.91,1.53,1.33,m,m,m,m,m,m,m
FLR,2,,
'End of Data
