'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FAIRMONT (FMT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:19
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FMT,2,1990,,3.07,2.27,0.16,0.16,0.27,0.02,0.00,0.51,0.12,0.00,0.31,0.02
FMT,2,1991,,1.85,3.63,8.51,0.01,0.00,0.00,0.01,0.00,0.04,0.25,0.00,3.84
FMT,2,1992,,1.97,12.38,4.62,0.40,0.22,0.00,0.12,0.00,0.00,1.10,0.00,5.97
FMT,2,1993,,13.66,10.59,2.36,0.00,0.00,1.49,0.00,0.00,0.00,0.41,1.03,1.08
FMT,2,1994,,0.43,4.48,1.55,0.73,0.43,0.00,0.00,0.00,0.08,1.00,0.85,1.52
FMT,2,1995,,15.03,1.99,6.21,0.64,0.18,0.24,0.00,0.00,0.00,0.00,0.00,1.88
FMT,2,1996,,0.19,5.29,1.11,0.34,0.24,0.00,0.00,0.00,0.00,2.16,1.00,3.63
FMT,2,1997,,3.03,0.00,0.00,0.00,0.03,0.01,0.03,0.00,1.00,0.17,1.52,4.72
FMT,2,1998,,2.35,15.78,3.43,1.64,5.09,0.12,0.00,0.18,1.27,0.00,0.86,0.27
FMT,2,1999,,2.20,0.80,0.68,2.83,0.00,0.18,0.41,0.00,0.02,0.00,0.28,0.00
FMT,2,2000,,0.59,6.17,2.94,2.08,0.00,0.06,0.00,0.41,0.03,0.60,0.00,0.00
FMT,2,2001,,3.90,7.72,1.44,2.09,0.00,0.00,0.01,0.00,0.00,0.22,1.60,1.21
FMT,2,2002,,0.98,0.42,0.70,0.01,0.06,0.00,0.00,0.00,0.00,0.00,1.34,3.35
FMT,2,2003,,0.01,7.18,1.83,2.50,1.01,0.00,0.09,0.02,0.00,0.02,1.20,1.81
FMT,2,2004,,0.06,6.51,0.62,0.11,0.00,0.00,0.00,0.00,0.00,5.93,0.03,5.76
FMT,2,2005,,13.83,9.66,1.84,1.06,0.88,0.00,0.00,0.17,0.77,2.80,0.00,0.21
FMT,2,2006,,4.48,2.05,4.19,2.87,0.11,0.01,0.47,0.00,0.00,0.50,0.01,1.24
FMT,2,2007,,0.32,1.68,0.07,0.46,0.00,0.00,0.00,0.00,0.43,0.10,0.10,0.77
FMT,2,2008,,12.53,0.94,0.01,0.02,0.08,0.00,0.00,0.00,0.02,0.15,1.58,3.16
FMT,2,2009,,0.36,6.26,1.01,0.05,0.00,0.01,0.00,0.01,0.00,1.31,0.00,3.36
FMT,2,2010,,7.31,3.75,0.44,2.51,0.04,0.00,0.01,0.00,0.00,2.06,1.24,7.14
FMT,2,2011,,0.49,3.68,6.89,0.36,0.40,0.06,0.00,0.00,0.00,0.61,0.96,0.58
FMT,2,2012,,0.39,0.60,2.41,1.69,0.00,0.00,0.00,0.01,0.01,0.00,0.24,0.32
FMT,2,2013,,0.62,0.23,0.22,0.01,0.26,0.00,0.14,m,0.00,0.11,0.60,0.17
FMT,2,2014,,0.15,2.40,2.92,0.53,0.37,0.00,0.00,0.03,0.05,m,m,m
FMT,2,,
'End of Data
