'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FAIRFIELD (FRF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:19
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FRF,2,1990,,4.26,2.44,0.80,0.24,3.25,0.00,0.00,0.00,0.26,0.23,0.35,1.00
FRF,2,1991,,0.47,3.21,9.17,0.31,0.09,0.02,0.00,0.02,0.00,1.99,0.67,2.42
FRF,2,1992,,2.03,7.09,4.14,0.63,0.00,0.49,0.00,0.00,0.00,3.17,0.26,9.55
FRF,2,1993,,10.57,5.79,2.48,0.55,0.86,0.96,0.00,0.00,0.00,1.65,2.65,2.39
FRF,2,1994,,m,4.31,0.14,1.19,1.26,m,m,m,m,0.30,5.30,5.26
FRF,2,1995,,12.47,0.14,9.21,0.88,0.79,0.00,0.00,0.00,0.00,0.07,0.01,10.02
FRF,2,1996,,8.65,8.24,2.32,2.18,3.03,0.00,0.00,0.00,0.00,1.61,3.58,11.67
FRF,2,1997,,11.06,0.28,0.52,0.20,0.47,0.27,0.00,0.41,0.00,1.22,6.21,2.24
FRF,2,1998,,9.14,13.54,2.36,1.93,3.28,0.00,0.00,0.00,0.34,0.71,4.36,1.57
FRF,2,1999,,2.12,6.97,2.85,1.73,0.03,0.00,0.00,0.00,0.00,0.56,2.93,0.52
FRF,2,2000,,5.98,11.25,2.87,1.29,0.98,0.14,0.00,0.00,0.08,2.54,1.16,1.13
FRF,2,2001,,3.36,6.35,1.37,0.62,0.00,0.08,0.00,0.00,0.18,0.53,4.37,9.29
FRF,2,2002,,3.10,1.37,1.95,0.10,1.33,0.00,0.00,0.00,0.00,0.00,3.79,13.86
FRF,2,2003,,2.42,1.53,2.00,2.92,1.02,0.00,0.00,0.33,0.00,0.00,1.08,7.39
FRF,2,2004,,2.84,7.68,0.91,0.16,0.05,0.00,0.00,0.00,0.04,2.30,3.30,6.66
FRF,2,2005,,5.52,4.24,4.28,1.43,1.46,0.28,0.00,0.00,m,0.24,2.16,16.69
FRF,2,2006,,4.13,4.02,8.87,4.96,0.60,0.00,0.00,0.00,m,0.12,2.55,3.41
FRF,2,2007,,0.20,4.38,0.11,2.05,0.55,0.00,0.00,0.00,0.38,2.22,0.92,4.35
FRF,2,2008,,7.80,3.96,0.46,0.05,0.00,0.00,0.00,0.00,0.00,0.45,2.67,2.87
FRF,2,2009,,1.55,9.31,2.39,1.10,1.13,0.00,0.00,0.00,0.04,5.71,0.69,2.13
FRF,2,2010,,8.29,4.14,1.66,3.43,0.98,0.00,0.00,0.00,0.03,2.38,2.50,7.13
FRF,2,2011,,0.55,4.26,5.05,0.39,0.96,1.21,0.00,0.00,m,1.65,1.25,0.23
FRF,2,2012,,0.55,1.04,6.77,2.31,0.04,0.03,m,m,m,1.48,4.75,m
FRF,2,2013,,0.60,0.11,1.07,1.41,0.37,0.00,0.00,0.00,1.10,0.00,1.28,0.74
FRF,2,2014,,0.26,9.58,2.66,2.39,m,m,0.00,0.05,m,m,m,m
FRF,2,,
'End of Data
