'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FORESTHILL R S (FRH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:20
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FRH,2,1990,,6.36,5.03,2.05,2.26,5.74,0.00,0.00,0.00,0.24,0.68,1.57,1.32
FRH,2,1991,,1.01,3.36,17.89,2.57,3.99,2.27,0.00,0.58,0.00,5.80,2.50,3.69
FRH,2,1992,,3.11,11.41,5.35,2.26,0.07,1.57,0.00,0.00,0.00,4.86,0.90,16.04
FRH,2,1993,,16.05,11.51,7.83,3.44,3.90,2.89,0.00,0.00,0.00,1.82,3.40,5.46
FRH,2,1994,,2.75,7.64,1.42,2.98,2.30,0.37,0.00,0.00,1.27,1.27,12.15,10.14
FRH,2,1995,,25.76,1.24,24.55,6.22,3.54,2.84,0.01,0.00,0.00,0.00,0.34,12.62
FRH,2,1996,,15.76,12.06,6.67,6.26,8.13,0.24,0.04,0.10,1.43,2.11,10.99,28.78
FRH,2,1997,,25.26,1.32,1.45,2.65,0.59,1.72,0.00,0.57,0.57,3.86,7.84,4.79
FRH,2,1998,,20.26,16.09,6.55,7.75,7.96,1.06,0.01,0.00,1.64,0.74,8.09,5.32
FRH,2,1999,,11.54,17.19,5.39,2.75,2.22,0.05,0.00,0.19,0.00,2.31,5.91,1.46
FRH,2,2000,,15.61,19.79,2.71,2.27,4.81,0.81,0.00,0.00,2.66,6.88,2.67,2.56
FRH,2,2001,,4.13,5.45,3.29,4.16,0.00,0.15,0.00,0.00,0.80,1.44,7.43,16.16
FRH,2,2002,,5.40,5.78,9.44,1.15,2.96,0.00,0.00,0.00,0.00,0.00,5.81,13.82
FRH,2,2003,,2.94,3.24,7.80,10.65,2.49,0.00,0.00,1.81,0.10,0.00,3.95,14.06
FRH,2,2004,,4.54,8.75,1.90,0.92,0.48,0.00,0.00,0.00,0.57,8.15,6.69,8.67
FRH,2,2005,,12.64,6.38,12.79,4.20,8.26,3.41,0.00,0.00,1.12,1.06,4.91,29.62
FRH,2,2006,,12.91,8.79,12.73,14.90,1.42,0.00,0.00,0.00,0.00,0.88,5.78,7.99
FRH,2,2007,,3.09,14.52,2.41,3.54,1.34,0.37,0.00,0.00,1.05,4.94,1.74,9.34
FRH,2,2008,,10.66,6.46,2.11,0.54,0.86,0.00,0.00,0.00,0.00,1.57,6.77,7.11
FRH,2,2009,,4.68,10.69,8.20,2.76,6.65,0.38,0.00,0.00,0.16,3.49,2.40,8.37
FRH,2,2010,,10.37,8.91,5.86,8.67,4.23,0.12,0.00,0.00,0.00,9.31,9.34,20.93
FRH,2,2011,,3.20,7.30,21.50,2.98,4.61,3.90,0.00,0.00,0.01,4.93,1.98,0.13
FRH,2,2012,,7.68,3.46,16.79,7.73,0.17,1.07,m,0.00,m,2.83,12.13,17.15
FRH,2,2013,,1.74,1.06,3.06,2.06,1.53,1.40,0.00,0.00,1.66,0.67,2.02,0.61
FRH,2,2014,,1.56,11.64,10.14,3.65,0.72,0.00,0.00,0.03,2.10,m,m,m
FRH,2,,
'End of Data
