'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FRESNO WB AIRPORT (FRO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:20
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FRO,2,1990,,2.82,1.33,0.67,0.92,1.65,0.00,0.00,0.00,0.15,0.05,0.46,0.68
FRO,2,1991,,0.13,1.01,7.24,0.02,0.03,0.00,0.00,0.00,0.00,0.80,0.04,1.22
FRO,2,1992,,1.94,4.83,2.14,0.18,0.00,0.00,0.22,0.00,0.00,2.19,0.00,2.68
FRO,2,1993,,5.18,2.44,1.76,0.20,0.25,1.61,0.00,0.00,0.00,0.12,1.16,1.03
FRO,2,1994,,1.15,1.92,0.52,1.36,1.30,0.00,0.00,0.00,0.20,0.77,1.57,1.33
FRO,2,1995,,5.42,0.93,5.88,1.08,1.19,1.34,0.01,0.00,0.00,0.00,0.00,2.18
FRO,2,1996,,2.68,3.66,1.54,1.17,0.38,0.00,0.00,0.00,0.00,2.27,2.20,4.26
FRO,2,1997,,3.49,0.17,0.10,0.00,0.00,0.00,0.00,0.00,0.15,0.07,2.66,0.99
FRO,2,1998,,3.40,5.10,3.44,1.26,1.37,1.93,0.00,0.00,0.15,0.16,0.41,0.62
FRO,2,1999,,2.82,1.17,0.49,0.93,0.03,0.00,0.00,0.00,0.00,0.00,0.47,0.03
FRO,2,2000,,3.68,6.11,1.35,1.16,0.05,0.56,0.00,0.00,0.32,2.44,0.01,0.07
FRO,2,2001,,2.66,2.22,0.96,1.87,0.00,0.00,0.08,0.00,0.00,0.29,1.99,1.93
FRO,2,2002,,0.76,0.41,0.95,0.21,0.38,0.02,0.00,0.00,0.00,0.00,1.76,2.24
FRO,2,2003,,0.50,1.20,0.64,2.86,0.79,0.00,0.00,0.04,0.00,0.00,0.40,2.95
FRO,2,2004,,0.87,1.69,1.54,0.03,0.07,0.00,0.00,0.00,0.00,2.45,0.81,3.16
FRO,2,2005,,2.42,2.30,2.51,0.56,1.62,0.01,0.00,0.00,0.04,0.05,0.17,2.00
FRO,2,2006,,3.40,0.54,4.73,3.27,0.36,0.00,0.00,0.00,0.00,0.08,0.23,1.33
FRO,2,2007,,0.59,2.29,0.97,0.49,0.05,0.00,0.00,0.02,0.02,0.20,0.09,2.31
FRO,2,2008,,3.32,1.73,0.02,0.00,0.30,0.00,0.01,0.00,0.00,0.23,1.37,1.09
FRO,2,2009,,1.02,2.43,0.24,0.72,0.46,0.20,0.00,0.00,0.01,1.39,0.20,2.41
FRO,2,2010,,2.05,2.95,0.96,2.19,0.21,0.00,0.00,0.00,0.00,0.44,1.80,5.92
FRO,2,2011,,1.72,1.60,3.46,0.32,0.35,1.91,0.00,0.00,0.00,0.90,0.67,0.00
FRO,2,2012,,1.38,0.75,2.43,2.02,0.00,0.00,0.00,0.00,0.00,0.25,1.11,2.03
FRO,2,2013,,0.58,0.89,0.65,0.09,0.07,0.00,0.00,0.00,0.01,0.03,0.54,0.15
FRO,2,2014,,0.57,2.11,0.62,0.74,0.04,0.00,0.01,0.00,0.18,m,m,m
FRO,2,,
'End of Data
