'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FORT ROSS (FRR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:20
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
FRR,2,1990,,6.25,3.43,2.38,1.42,5.91,0.06,0.02,0.02,0.15,0.77,0.67,2.25
FRR,2,1991,,1.16,3.16,11.94,0.93,0.51,1.11,0.00,0.04,0.00,2.80,2.21,5.40
FRR,2,1992,,2.10,8.20,3.86,2.68,0.00,1.28,0.00,0.00,0.05,3.23,1.46,8.20
FRR,2,1993,,9.59,7.55,3.76,2.82,3.22,1.51,0.05,0.00,0.00,0.78,2.72,4.25
FRR,2,1994,,4.91,6.83,1.05,2.36,0.77,0.22,0.09,0.00,m,0.85,8.62,5.23
FRR,2,1995,,18.93,0.27,12.85,3.90,1.01,0.92,0.00,0.00,0.00,0.00,1.16,11.26
FRR,2,1996,,6.68,10.32,2.89,4.05,4.14,m,0.00,0.00,0.22,1.08,3.98,11.64
FRR,2,1997,,12.04,0.41,2.60,1.98,1.08,1.45,0.00,1.52,0.44,2.36,10.14,4.04
FRR,2,1998,,15.26,20.68,5.09,3.03,4.38,0.80,0.00,0.00,0.00,1.79,7.08,2.45
FRR,2,1999,,5.87,12.79,5.34,3.47,0.01,0.00,0.00,0.00,0.10,1.57,6.00,1.26
FRR,2,2000,,7.02,11.14,2.62,2.96,1.98,0.54,0.00,0.06,0.31,3.58,1.07,1.28
FRR,2,2001,,6.70,7.51,2.11,0.97,0.00,1.11,0.00,0.00,0.23,2.48,8.98,10.91
FRR,2,2002,,7.01,3.25,3.32,0.55,0.35,0.00,0.00,0.05,0.00,0.12,2.31,10.85
FRR,2,2003,,7.23,1.33,3.61,6.39,0.80,0.00,0.13,0.00,0.20,0.00,m,12.44
FRR,2,2004,,4.24,9.30,2.33,1.38,0.17,0.00,0.00,0.00,0.00,3.62,1.86,8.50
FRR,2,2005,,5.19,4.55,5.46,2.82,5.84,0.00,0.00,0.00,0.00,1.59,3.91,15.68
FRR,2,2006,,6.30,6.60,11.36,14.14,0.34,m,0.00,0.00,0.00,0.17,5.08,7.66
FRR,2,2007,,0.83,9.87,0.51,3.25,0.52,0.00,0.24,0.00,0.02,4.18,0.22,8.51
FRR,2,2008,,12.23,4.61,0.58,0.28,0.01,0.02,0.00,0.00,0.12,1.88,2.86,3.46
FRR,2,2009,,0.49,8.78,2.72,0.81,3.88,0.00,0.11,0.00,0.38,2.99,1.53,m
FRR,2,2010,,14.48,4.27,3.98,6.79,2.47,0.00,0.03,0.11,0.52,5.86,4.22,m
FRR,2,2011,,0.91,4.51,5.55,1.06,2.38,1.94,m,m,0.15,3.61,3.20,0.59
FRR,2,2012,,7.38,2.21,m,2.17,0.85,0.34,m,0.22,m,2.48,m,m
FRR,2,2013,,1.20,m,m,m,m,m,m,m,m,m,m,m
FRR,2,2014,,m,m,m,m,0.24,m,m,m,m,m,m,m
FRR,2,,
'End of Data
