'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GASQUET RANGER STATION (GAS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:21
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GAS,2,1990,,19.01,11.78,6.73,3.16,8.70,3.41,0.75,1.85,0.23,5.46,5.86,4.60
GAS,2,1991,,8.94,5.72,16.43,5.60,4.13,0.40,0.99,1.17,0.00,3.88,6.76,5.62
GAS,2,1992,,6.64,12.32,5.56,10.36,0.22,2.76,0.51,0.00,0.94,5.19,8.19,22.81
GAS,2,1993,,12.62,11.69,12.17,19.01,10.91,2.48,0.89,0.51,0.00,1.34,2.98,14.21
GAS,2,1994,,11.50,8.77,4.28,4.72,4.16,1.21,0.06,0.00,0.63,2.85,17.33,13.56
GAS,2,1995,,29.26,6.63,22.63,12.03,4.01,4.30,0.36,0.37,1.23,1.66,10.22,27.80
GAS,2,1996,,21.82,20.38,9.42,14.29,7.77,0.45,0.20,0.00,2.91,7.92,14.89,43.43
GAS,2,1997,,18.80,6.00,7.32,7.95,2.68,2.13,0.04,1.49,5.78,10.59,11.22,7.68
GAS,2,1998,,27.26,26.20,11.33,4.36,5.31,0.25,0.01,0.00,0.73,5.13,32.34,13.21
GAS,2,1999,,13.87,27.22,14.40,3.52,4.72,0.05,0.00,0.28,0.00,5.40,13.27,8.70
GAS,2,2000,,25.83,16.62,4.56,5.09,6.17,1.65,0.06,0.05,0.86,7.13,5.38,6.89
GAS,2,2001,,5.53,6.25,4.61,4.29,2.91,1.70,0.19,0.90,0.68,4.79,15.67,20.02
GAS,2,2002,,14.72,10.91,8.49,4.48,1.41,0.74,0.00,0.00,0.29,0.00,8.82,30.90
GAS,2,2003,,13.63,7.38,13.97,16.08,2.43,0.08,0.28,0.05,0.72,0.64,9.32,28.28
GAS,2,2004,,12.28,16.60,5.88,9.28,13.16,0.16,0.44,0.96,0.92,9.08,2.64,19.72
GAS,2,2005,,9.16,2.32,13.40,11.04,8.16,4.44,0.08,0.00,0.59,5.42,17.36,26.97
GAS,2,2006,,21.22,9.18,18.61,8.91,3.46,2.13,0.00,0.12,0.62,1.36,23.21,22.55
GAS,2,2007,,5.70,17.71,6.27,5.59,1.58,1.84,1.12,0.33,0.52,13.04,9.19,16.96
GAS,2,2008,,19.48,7.74,10.24,4.63,0.08,0.71,0.00,0.75,0.00,5.00,12.88,24.48
GAS,2,2009,,4.20,12.75,15.56,1.74,8.55,0.50,0.72,0.04,0.53,6.97,10.50,7.18
GAS,2,2010,,16.82,10.70,12.79,14.23,6.18,6.56,0.00,0.05,4.27,8.40,12.42,25.00
GAS,2,2011,,4.91,9.53,26.47,10.25,4.67,1.62,0.39,0.00,0.34,6.34,10.12,8.10
GAS,2,2012,,20.34,5.52,27.89,12.15,2.46,4.03,0.43,0.00,0.00,6.82,17.06,25.24
GAS,2,2013,,5.26,4.62,5.76,6.28,3.74,2.34,0.00,0.44,10.65,0.04,5.02,2.35
GAS,2,2014,,3.72,19.48,17.19,4.36,4.23,1.08,0.12,0.04,3.28,m,m,m
GAS,2,,
'End of Data
