'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GIBSON MAINTENANCE STATION (GBS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:21
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GBS,2,1990,,12.64,3.23,4.10,1.36,20.57,1.09,0.06,0.60,0.71,1.13,1.20,1.05
GBS,2,1991,,2.17,3.82,21.81,2.06,1.71,0.29,0.07,0.00,0.08,0.98,2.70,5.79
GBS,2,1992,,8.62,23.57,11.58,4.65,0.22,4.68,0.21,0.00,0.00,1.63,1.90,16.34
GBS,2,1993,,16.09,13.95,9.81,4.50,6.41,3.35,0.00,0.00,0.00,1.79,1.72,10.41
GBS,2,1994,,10.70,8.92,1.00,2.44,2.13,0.01,0.00,0.00,0.07,0.04,7.19,6.53
GBS,2,1995,,48.12,2.21,28.92,9.35,2.61,0.73,0.28,0.00,0.00,0.00,0.36,19.32
GBS,2,1996,,10.15,16.56,4.91,7.69,9.21,1.35,0.00,0.00,1.15,3.96,8.27,30.30
GBS,2,1997,,16.18,1.19,2.85,3.72,0.61,3.47,1.04,1.68,1.26,2.88,18.35,4.91
GBS,2,1998,,24.17,42.53,10.83,7.86,10.00,2.49,0.11,0.00,0.89,1.82,16.73,4.76
GBS,2,1999,,7.66,17.75,9.23,4.02,0.14,0.22,0.00,0.13,0.00,1.72,11.13,3.54
GBS,2,2000,,20.81,34.59,8.99,9.12,1.95,0.96,0.51,0.00,1.13,5.24,2.24,2.62
GBS,2,2001,,9.24,22.76,7.63,2.54,0.45,m,0.00,0.03,1.58,2.71,13.42,17.76
GBS,2,2002,,8.19,5.81,4.89,m,m,m,m,m,m,m,m,m
GBS,2,2003,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2004,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2005,,m,m,m,m,m,m,m,m,m,m,m,28.70
GBS,2,2006,,13.12,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2008,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2009,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2010,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
GBS,2,,
'End of Data
