'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GROVER HOT SPRINGS (GHS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:21
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GHS,2,1990,,2.71,2.73,0.65,1.65,1.64,0.42,0.35,0.62,1.74,0.34,1.05,1.01
GHS,2,1991,,0.16,0.98,9.98,0.37,0.55,0.19,1.10,0.65,0.19,5.07,0.80,1.60
GHS,2,1992,,0.37,3.07,1.10,0.34,0.32,1.32,0.40,0.00,0.13,2.48,0.14,9.75
GHS,2,1993,,12.39,5.94,3.18,0.20,1.26,0.78,0.00,0.00,0.00,1.59,0.98,0.67
GHS,2,1994,,1.31,4.20,1.29,0.04,1.68,0.00,0.24,0.00,1.14,0.47,4.12,1.34
GHS,2,1995,,10.68,0.38,15.58,4.35,4.66,1.21,0.00,0.05,0.00,0.40,0.33,6.84
GHS,2,1996,,6.61,8.14,3.69,1.83,4.11,1.00,0.72,0.20,0.04,0.87,4.94,11.88
GHS,2,1997,,13.54,0.55,0.26,0.43,1.04,2.10,0.89,0.10,0.84,1.18,2.38,1.78
GHS,2,1998,,4.46,8.00,4.82,0.49,1.66,0.55,2.05,0.48,3.26,0.81,3.20,2.22
GHS,2,1999,,5.33,7.65,1.72,3.22,0.15,0.33,0.34,0.60,0.83,1.30,1.99,0.05
GHS,2,2000,,6.75,5.87,0.48,1.00,1.43,0.76,0.00,0.95,0.69,1.94,0.86,0.35
GHS,2,2001,,2.46,2.98,1.20,2.17,0.00,0.04,0.08,0.00,0.72,1.00,4.63,4.71
GHS,2,2002,,1.27,1.09,2.56,1.03,0.25,0.00,0.00,0.00,0.19,0.12,5.24,7.72
GHS,2,2003,,0.32,1.54,1.93,4.05,0.73,0.16,0.67,1.38,0.22,0.01,2.26,7.70
GHS,2,2004,,1.54,5.66,0.64,0.10,1.12,0.04,m,0.58,0.10,3.95,1.98,3.86
GHS,2,2005,,4.52,4.34,2.75,1.59,2.91,0.69,0.23,0.00,0.45,1.05,1.74,16.65
GHS,2,2006,,4.48,4.56,3.81,3.54,0.71,0.44,0.57,0.19,0.00,0.88,1.57,1.65
GHS,2,2007,,1.15,4.47,0.50,0.61,0.23,0.00,0.00,0.08,0.67,1.03,0.44,2.09
GHS,2,2008,,7.06,3.78,0.51,0.04,0.71,0.00,0.98,0.02,0.00,1.40,1.73,3.97
GHS,2,2009,,1.25,1.99,3.98,0.25,3.17,0.92,0.09,0.27,0.09,3.90,1.55,m
GHS,2,2010,,3.05,1.09,1.22,0.58,0.08,0.04,0.84,1.27,0.00,3.95,3.15,3.10
GHS,2,2011,,0.66,4.96,3.29,0.21,0.90,1.40,0.29,0.00,0.56,1.66,0.17,0.00
GHS,2,2012,,4.37,1.01,2.58,0.56,0.00,0.00,0.00,0.85,0.00,1.16,3.18,5.86
GHS,2,2013,,0.42,0.21,0.60,1.10,1.29,0.27,1.47,0.02,0.32,0.58,0.36,1.00
GHS,2,2014,,1.47,6.18,1.02,0.32,0.59,0.00,2.61,0.21,m,m,m,m
GHS,2,,
'End of Data
