'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GIBSON (GIB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:22
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GIB,2,2005,,m,m,m,m,m,m,m,m,m,m,m,26.40
GIB,2,2006,,16.36,8.92,27.08,15.84,3.58,0.88,0.04,0.00,0.00,0.12,7.80,13.44
GIB,2,2007,,1.32,16.88,1.04,3.20,1.12,0.24,1.28,0.00,0.36,4.92,6.29,12.68
GIB,2,2008,,17.64,10.92,0.32,0.68,1.64,0.00,0.00,0.24,0.00,5.48,7.96,4.56
GIB,2,2009,,0.96,22.20,15.00,2.60,7.68,3.36,0.00,0.28,0.64,6.96,3.16,10.36
GIB,2,2010,,31.52,14.44,7.44,11.84,5.12,1.76,0.12,0.04,0.72,8.56,6.08,22.12
GIB,2,2011,,2.12,9.08,29.16,2.20,6.52,2.24,1.04,0.00,0.00,4.88,5.76,1.08
GIB,2,2012,,9.88,3.52,20.72,8.16,1.20,2.72,0.00,0.00,0.00,2.24,15.36,17.72
GIB,2,2013,,1.12,1.00,6.52,1.08,1.40,2.76,0.24,0.00,2.80,0.00,2.00,0.20
GIB,2,2014,,0.40,13.04,12.44,1.20,0.24,0.00,0.00,0.20,2.96,m,m,m
GIB,2,,
'End of Data
