'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GEM  LAKE (GLK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:22
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GLK,2,1990,,5.16,2.41,0.58,0.68,0.51,0.62,1.28,0.86,0.70,0.16,0.40,0.76
GLK,2,1991,,0.72,0.47,12.15,0.08,0.44,0.31,0.38,0.00,0.72,0.88,0.99,2.50
GLK,2,1992,,0.10,4.66,2.10,0.12,0.51,0.42,0.92,1.92,0.18,1.68,0.05,5.79
GLK,2,1993,,8.27,6.01,1.78,0.69,0.37,0.43,0.00,0.04,0.05,0.41,1.01,0.86
GLK,2,1994,,0.67,3.19,1.09,0.46,1.63,0.07,0.21,0.00,1.15,2.35,3.10,1.81
GLK,2,1995,,11.50,0.49,8.51,0.80,1.80,0.85,0.75,0.18,0.00,0.00,0.07,2.97
GLK,2,1996,,3.80,5.49,2.85,1.45,2.17,0.15,0.58,0.00,0.08,1.37,4.66,6.76
GLK,2,1997,,5.77,0.37,0.19,0.12,0.10,0.94,0.65,0.00,0.44,0.57,2.03,2.17
GLK,2,1998,,2.25,8.03,2.28,0.83,1.01,0.87,0.12,1.33,1.75,0.51,2.02,0.17
GLK,2,1999,,3.33,3.00,1.20,m,m,m,m,0.59,0.65,0.40,1.00,0.10
GLK,2,2000,,3.34,4.26,0.71,1.95,0.27,0.47,0.00,0.96,0.00,2.66,0.75,0.00
GLK,2,2001,,4.70,6.11,6.07,4.61,0.50,0.10,1.69,0.96,1.25,1.08,3.37,5.33
GLK,2,2002,,2.65,1.30,1.18,1.62,0.66,0.36,0.42,0.17,m,m,2.92,4.39
GLK,2,2003,,0.74,2.21,1.82,m,m,0.10,m,0.88,m,0.00,0.00,0.69
GLK,2,2004,,0.00,0.00,0.30,0.80,1.41,0.91,1.01,1.42,0.34,m,m,m
GLK,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
GLK,2,2006,,m,m,m,m,m,m,m,m,m,m,m,m
GLK,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
GLK,2,2008,,m,m,m,m,m,m,m,m,m,m,m,0.00
GLK,2,2009,,0.63,3.50,3.59,0.75,0.58,1.00,0.50,0.30,m,2.36,0.43,2.44
GLK,2,2010,,4.45,3.27,1.69,2.68,m,m,m,m,0.00,2.13,1.18,m
GLK,2,2011,,m,3.15,3.00,0.47,1.02,1.93,0.28,0.00,0.79,0.74,0.83,0.08
GLK,2,2012,,1.50,0.90,2.66,1.77,0.04,0.12,0.08,3.96,m,1.30,2.70,2.60
GLK,2,2013,,1.40,0.20,0.76,0.24,0.12,0.12,0.60,0.76,0.40,0.28,0.24,0.64
GLK,2,2014,,0.84,2.76,1.16,0.96,0.80,0.12,1.28,0.68,0.20,m,m,m
GLK,2,,
'End of Data
