'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GLENVILLE FS (GLV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:22
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GLV,2,1990,,3.93,3.12,1.35,1.59,1.25,0.00,0.00,0.00,0.13,0.00,0.08,0.79
GLV,2,1991,,0.71,0.26,9.89,0.37,0.30,0.00,0.00,0.02,0.01,1.29,1.25,1.49
GLV,2,1992,,1.81,4.24,2.24,0.12,0.05,0.00,0.54,0.00,0.00,2.06,0.06,4.78
GLV,2,1993,,6.14,5.80,3.58,0.15,0.06,2.16,0.00,0.00,0.00,0.44,2.70,2.57
GLV,2,1994,,1.33,4.03,1.23,2.95,1.72,0.00,0.00,0.00,0.35,0.73,2.88,2.43
GLV,2,1995,,8.46,2.35,7.70,2.10,1.81,0.47,0.00,0.48,0.06,0.00,0.00,2.97
GLV,2,1996,,6.65,7.83,3.55,1.13,0.12,0.00,0.17,0.00,0.00,1.22,5.06,7.01
GLV,2,1997,,7.77,1.25,0.06,0.00,0.00,0.00,0.07,0.00,0.56,0.06,3.66,2.18
GLV,2,1998,,7.25,12.28,6.19,3.29,4.93,1.50,0.00,0.00,0.48,0.57,2.04,1.36
GLV,2,1999,,6.48,1.66,1.26,2.00,0.03,0.01,0.20,0.00,0.04,0.00,1.12,0.12
GLV,2,2000,,3.20,7.86,2.63,1.57,0.53,0.19,0.00,0.04,0.03,1.86,0.44,0.17
GLV,2,2001,,3.91,3.48,0.31,3.81,0.00,0.00,0.29,0.00,0.00,0.71,3.99,4.24
GLV,2,2002,,1.55,0.82,3.07,0.67,1.50,0.00,0.00,0.00,0.02,0.00,5.56,3.83
GLV,2,2003,,0.42,2.53,1.99,3.37,1.49,0.00,0.79,0.72,0.23,0.23,0.66,4.17
GLV,2,2004,,2.02,4.83,0.82,0.19,0.00,0.00,0.00,0.00,0.00,3.22,0.96,3.28
GLV,2,2005,,6.52,1.32,4.47,3.15,3.10,0.00,0.00,0.23,0.36,0.44,1.01,3.86
GLV,2,2006,,3.56,1.51,6.76,5.04,0.18,0.07,0.00,0.00,0.00,0.55,0.24,3.75
GLV,2,2007,,1.42,4.15,0.94,2.20,0.05,0.00,0.00,m,m,0.81,0.29,3.07
GLV,2,2008,,4.77,7.21,0.20,0.00,0.38,0.00,0.02,0.00,0.00,0.18,3.18,4.09
GLV,2,2009,,1.20,4.17,1.66,1.02,0.86,0.62,0.00,0.00,0.00,1.36,0.98,4.42
GLV,2,2010,,3.61,5.18,1.57,3.98,0.43,0.03,0.00,0.00,0.00,0.57,1.19,0.43
GLV,2,2011,,1.69,2.13,4.93,0.37,2.05,0.21,0.00,0.09,0.10,1.93,1.17,0.05
GLV,2,2012,,0.87,1.33,3.10,4.02,0.07,0.00,0.00,0.00,0.00,0.86,1.17,5.00
GLV,2,2013,,1.76,1.53,0.39,0.60,0.22,0.00,0.01,0.71,0.15,0.62,1.16,1.12
GLV,2,2014,,0.93,1.41,2.42,2.28,0.80,0.00,0.00,0.13,0.00,m,m,m
GLV,2,,
'End of Data
