'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GIANT FOREST (USACE) (GNF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:23
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GNF,2,1990,,5.00,6.07,5.73,2.20,2.70,0.02,0.00,0.00,0.45,0.00,1.60,2.40
GNF,2,1991,,1.50,2.80,26.00,0.90,0.70,0.12,0.01,0.00,0.22,3.38,1.80,0.30
GNF,2,1992,,4.40,8.60,1.70,0.50,0.60,0.00,3.00,0.06,0.07,7.20,0.40,9.90
GNF,2,1993,,18.10,12.70,6.60,1.60,0.10,3.30,0.10,0.00,0.20,1.20,3.30,2.60
GNF,2,1994,,2.60,10.50,1.70,5.40,2.10,0.00,0.00,0.00,0.66,2.10,6.40,3.20
GNF,2,1995,,12.00,4.00,19.60,4.60,7.20,2.20,0.00,0.00,0.00,0.00,0.00,7.20
GNF,2,1996,,11.80,16.00,6.10,5.30,1.90,0.50,0.20,0.00,0.10,1.70,10.10,19.40
GNF,2,1997,,25.10,0.80,0.50,0.50,0.00,1.00,0.00,0.20,0.70,0.90,5.40,6.90
GNF,2,1998,,8.70,17.30,11.80,7.10,6.50,6.00,0.40,0.00,0.30,1.60,4.40,2.10
GNF,2,1999,,8.20,4.50,3.40,4.10,1.40,1.40,0.00,0.00,0.32,0.00,1.60,0.00
GNF,2,2000,,10.00,18.00,4.70,2.80,2.30,0.60,0.00,0.50,0.50,5.90,1.50,0.05
GNF,2,2001,,6.20,9.90,2.10,8.40,0.00,0.00,0.00,0.00,0.00,0.00,9.90,12.10
GNF,2,2002,,3.90,2.10,8.20,1.10,2.70,0.20,0.20,0.00,0.00,0.10,13.90,9.10
GNF,2,2003,,0.90,5.50,5.10,7.40,4.70,0.00,0.80,0.90,0.00,0.00,3.10,11.10
GNF,2,2004,,4.00,8.40,1.30,0.30,0.00,0.00,0.00,0.00,0.00,2.00,8.20,8.60
GNF,2,2005,,14.20,4.50,10.70,3.80,6.00,0.00,0.40,0.10,0.00,0.40,0.30,8.30
GNF,2,2006,,11.45,4.50,13.70,11.80,1.30,0.10,0.70,0.10,0.00,0.10,0.90,5.30
GNF,2,2007,,1.60,7.80,3.70,3.10,0.20,0.10,0.00,0.10,0.30,1.10,1.10,7.60
GNF,2,2008,,14.40,10.50,1.60,0.50,0.80,0.50,0.10,0.10,0.00,0.50,5.80,6.30
GNF,2,2009,,3.90,7.86,3.80,3.10,1.68,1.86,0.01,0.00,0.08,5.03,1.02,10.10
GNF,2,2010,,6.00,9.20,5.30,11.10,2.20,0.40,0.20,0.10,0.00,3.60,6.80,24.60
GNF,2,2011,,3.40,5.50,5.84,4.75,4.08,1.20,1.60,0.90,0.00,3.30,2.94,0.00
GNF,2,2012,,9.00,2.50,8.20,7.30,1.00,0.30,0.30,0.00,0.50,1.16,4.38,10.49
GNF,2,2013,,3.69,1.02,1.67,1.54,1.23,0.13,0.15,0.10,0.07,0.76,0.51,1.76
GNF,2,2014,,1.42,5.36,3.25,5.31,1.42,0.00,0.00,0.05,0.84,m,m,m
GNF,2,,
'End of Data
