'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GREENVILLE RS (GNV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:23
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GNV,2,1990,,6.69,3.49,1.90,0.57,4.82,0.32,0.00,0.00,0.38,1.11,1.66,1.31
GNV,2,1991,,0.59,1.92,13.75,1.23,1.96,0.83,0.33,0.44,0.03,2.04,1.92,4.32
GNV,2,1992,,1.00,7.91,2.77,1.89,0.49,1.86,0.17,0.18,0.00,3.24,0.44,11.00
GNV,2,1993,,11.95,9.04,5.53,3.68,1.73,1.52,0.00,0.22,0.07,2.68,2.85,5.06
GNV,2,1994,,2.33,5.74,1.14,1.17,2.30,0.21,0.00,0.00,0.43,0.80,7.41,2.71
GNV,2,1995,,24.83,2.14,19.66,8.24,3.82,3.21,0.77,0.00,0.00,0.00,0.53,6.90
GNV,2,1996,,6.68,10.53,5.06,5.17,6.02,0.10,0.40,0.22,0.64,1.95,4.01,20.92
GNV,2,1997,,14.54,0.08,2.72,1.53,0.49,1.00,0.73,0.22,1.08,2.44,5.73,3.25
GNV,2,1998,,13.43,14.58,4.60,3.41,4.31,1.67,0.52,0.00,2.21,0.76,10.30,4.39
GNV,2,1999,,5.83,11.20,3.99,1.90,0.21,0.86,0.00,0.42,0.00,2.02,4.47,1.28
GNV,2,2000,,11.86,14.02,2.50,3.16,0.98,0.22,0.00,0.00,0.22,3.12,1.33,1.78
GNV,2,2001,,2.65,4.86,3.11,1.66,0.00,0.33,0.00,0.00,0.65,1.41,8.28,10.87
GNV,2,2002,,3.42,2.39,4.44,1.52,0.98,0.00,0.00,0.00,0.00,0.03,6.08,15.58
GNV,2,2003,,4.72,2.17,5.36,8.03,1.67,0.27,0.05,1.40,0.01,0.00,3.40,11.25
GNV,2,2004,,3.96,14.45,1.15,0.59,0.71,0.23,0.55,0.03,0.52,6.42,2.33,7.52
GNV,2,2005,,5.98,3.29,7.49,3.09,6.49,1.65,0.00,0.00,0.17,0.88,6.10,21.71
GNV,2,2006,,7.35,3.49,8.64,9.22,m,m,m,m,m,0.13,4.21,5.69
GNV,2,2007,,0.29,9.83,1.20,2.14,0.67,0.33,0.00,0.00,0.63,1.92,0.72,3.96
GNV,2,2008,,11.05,5.12,1.07,0.71,0.95,0.00,0.00,0.00,0.01,1.94,4.14,3.92
GNV,2,2009,,2.17,6.94,6.61,0.51,3.38,1.00,0.30,0.00,0.00,2.74,1.92,2.96
GNV,2,2010,,9.75,2.79,5.33,4.02,2.31,m,m,m,m,m,m,m
GNV,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
GNV,2,2012,,m,m,m,m,m,m,m,0.03,m,m,m,m
GNV,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
GNV,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
GNV,2,,
'End of Data
