'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GEORGETOWN RS (USFS) (GRG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:23
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GRG,2,1990,,8.90,5.70,4.00,2.37,3.70,0.00,0.12,0.00,0.23,1.23,1.83,2.29
GRG,2,1991,,1.06,3.48,21.96,2.36,3.31,2.28,0.00,0.00,0.00,5.55,3.27,4.94
GRG,2,1992,,3.02,12.79,4.84,2.02,0.00,1.48,0.06,0.00,0.00,5.40,0.79,13.62
GRG,2,1993,,15.81,12.30,7.98,3.45,2.80,2.36,0.00,0.00,0.00,1.79,3.03,6.35
GRG,2,1994,,3.62,8.05,0.84,3.11,2.43,0.28,0.00,0.00,0.70,1.30,11.84,7.17
GRG,2,1995,,20.29,1.80,20.62,7.27,6.00,2.81,0.02,0.00,0.00,0.00,0.00,12.88
GRG,2,1996,,14.96,9.80,6.79,5.83,5.05,0.17,0.06,0.00,0.36,1.94,10.58,28.60
GRG,2,1997,,25.81,0.70,1.40,2.29,0.51,1.45,0.07,0.63,0.09,3.35,7.76,5.15
GRG,2,1998,,19.06,18.85,7.32,7.69,7.86,1.23,0.01,0.00,1.08,0.78,9.57,5.46
GRG,2,1999,,13.16,18.48,5.58,4.10,1.89,0.22,0.00,0.08,0.00,2.77,5.91,1.52
GRG,2,2000,,15.14,21.25,3.22,2.71,4.95,0.93,0.00,0.00,1.73,6.86,2.33,2.62
GRG,2,2001,,4.28,8.26,3.31,4.94,0.00,0.93,0.00,0.00,0.70,1.00,7.86,15.45
GRG,2,2002,,5.24,4.85,9.56,2.15,2.90,0.00,0.00,0.00,0.00,0.00,5.64,19.45
GRG,2,2003,,2.51,3.56,5.40,10.60,2.63,0.00,0.00,1.49,0.00,0.04,4.61,21.09
GRG,2,2004,,5.35,10.85,2.05,1.06,0.29,0.00,0.00,0.00,0.05,8.14,3.42,10.52
GRG,2,2005,,10.72,6.26,14.04,3.90,7.31,3.02,0.00,0.00,1.22,1.29,4.39,23.61
GRG,2,2006,,11.20,6.36,14.63,13.92,1.22,0.00,0.00,0.00,0.00,0.84,5.02,7.42
GRG,2,2007,,1.07,8.64,3.05,4.00,1.52,0.45,0.00,0.00,0.83,3.05,1.10,9.16
GRG,2,2008,,10.51,8.55,1.55,0.47,0.99,0.00,0.00,0.00,m,1.61,5.93,7.37
GRG,2,2009,,4.39,11.17,8.92,2.51,6.18,0.49,0.00,0.00,0.10,2.91,2.64,1.05
GRG,2,2010,,7.91,7.96,6.21,10.49,4.82,0.06,0.00,0.00,0.00,8.90,10.85,17.65
GRG,2,2011,,2.71,5.57,22.82,2.67,4.79,4.33,0.00,0.00,0.01,4.27,2.36,0.13
GRG,2,2012,,7.70,2.99,22.07,6.85,0.24,0.14,0.22,0.01,0.03,3.03,11.55,17.53
GRG,2,2013,,1.57,0.97,3.35,1.75,1.95,1.82,0.00,0.00,1.96,0.60,1.02,0.73
GRG,2,2014,,1.27,15.85,9.17,3.73,0.65,0.00,0.14,0.00,1.66,m,m,m
GRG,2,,
'End of Data
