'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GRANT GROVE (GRO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:24
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GRO,2,1990,,7.76,4.80,3.66,1.76,2.73,0.06,0.02,0.03,0.85,0.09,1.26,2.09
GRO,2,1991,,2.07,1.47,25.55,0.67,0.98,0.74,0.00,0.00,0.08,3.07,2.17,3.97
GRO,2,1992,,2.16,10.90,4.60,0.07,0.66,0.08,2.93,0.05,0.14,6.15,0.10,12.48
GRO,2,1993,,15.73,12.70,6.43,1.50,0.30,2.10,0.00,0.03,0.00,1.19,3.38,2.29
GRO,2,1994,,1.26,10.60,0.91,4.11,2.80,0.00,0.15,0.00,2.36,2.64,6.02,4.08
GRO,2,1995,,21.40,2.81,22.23,4.43,7.06,2.11,0.03,0.00,0.00,0.00,0.02,6.32
GRO,2,1996,,7.63,15.95,6.61,6.16,2.02,0.35,0.13,0.00,0.00,2.98,10.05,18.08
GRO,2,1997,,20.59,0.66,0.15,0.08,0.12,0.19,0.22,0.00,0.57,0.00,5.28,6.08
GRO,2,1998,,10.68,16.74,7.88,5.78,4.71,3.85,0.00,0.00,1.22,0.54,3.34,2.73
GRO,2,1999,,7.30,4.20,2.34,4.05,0.18,0.91,0.99,0.00,0.87,0.01,3.43,0.04
GRO,2,2000,,11.81,15.91,4.77,4.57,1.98,1.24,0.00,0.09,0.97,5.40,0.59,0.52
GRO,2,2001,,6.30,7.94,1.50,7.04,0.00,0.00,0.31,0.00,0.00,1.54,7.49,11.04
GRO,2,2002,,4.05,1.78,5.93,1.45,1.91,0.07,0.00,0.00,0.00,0.33,9.80,7.86
GRO,2,2003,,0.39,5.68,6.70,8.37,3.13,0.00,0.57,0.98,0.21,0.00,3.64,9.10
GRO,2,2004,,3.20,8.81,1.60,0.76,0.18,0.00,0.00,0.00,0.17,0.97,1.18,3.39
GRO,2,2005,,18.64,5.09,6.53,4.89,5.14,0.00,0.00,0.00,0.29,0.48,0.83,9.49
GRO,2,2006,,14.39,5.98,13.44,14.38,1.14,0.00,0.00,0.00,0.00,0.84,0.93,4.54
GRO,2,2007,,1.65,9.19,2.82,2.77,0.21,0.00,0.00,0.02,1.58,1.31,0.33,6.34
GRO,2,2008,,10.57,10.64,1.18,0.03,1.05,0.00,0.27,0.00,0.10,1.02,3.75,7.12
GRO,2,2009,,6.02,9.01,3.68,2.60,1.84,1.13,0.00,0.07,0.04,7.81,0.49,8.86
GRO,2,2010,,11.01,5.94,4.89,12.09,1.12,0.00,0.02,0.02,0.00,4.59,5.90,21.17
GRO,2,2011,,3.56,7.54,12.99,1.40,3.47,0.84,0.00,0.19,0.77,4.10,2.68,0.00
GRO,2,2012,,6.40,1.56,6.88,6.37,0.26,0.25,0.00,0.04,0.00,1.23,3.97,12.52
GRO,2,2013,,2.43,1.21,1.72,0.89,0.46,0.00,0.32,0.21,0.21,1.82,0.29,0.92
GRO,2,2014,,1.42,3.99,5.62,5.13,1.43,0.00,0.39,0.00,0.89,m,m,m
GRO,2,,
'End of Data
