'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GRASS VALLEY (GSV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:24
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GSV,2,1990,,9.93,5.58,3.68,2.02,7.04,0.03,0.00,0.00,0.48,0.96,1.56,2.25
GSV,2,1991,,1.02,4.16,20.15,2.17,2.72,1.66,0.00,0.14,0.02,4.67,3.53,4.66
GSV,2,1992,,3.52,14.33,5.09,2.33,0.00,1.73,0.00,0.00,0.04,4.37,0.97,14.09
GSV,2,1993,,17.81,10.38,6.32,3.14,2.13,2.01,0.00,0.09,0.00,1.37,3.77,7.80
GSV,2,1994,,2.93,8.46,1.49,4.63,1.73,0.15,0.00,0.00,0.21,1.03,9.83,11.53
GSV,2,1995,,25.22,0.80,23.45,6.38,4.97,2.77,0.00,0.00,0.00,0.00,0.60,13.22
GSV,2,1996,,13.06,14.08,4.54,8.31,7.54,0.11,0.00,0.03,0.34,2.36,8.13,27.81
GSV,2,1997,,23.60,0.78,2.32,1.78,0.91,1.78,0.00,0.71,0.47,3.42,9.25,4.76
GSV,2,1998,,19.54,19.80,5.30,5.69,7.85,0.42,0.00,0.00,1.53,0.91,10.62,6.16
GSV,2,1999,,11.19,15.60,5.14,2.85,0.82,0.15,0.00,0.07,0.00,2.13,5.58,1.68
GSV,2,2000,,14.38,21.26,4.76,2.63,3.18,0.65,0.00,0.00,1.64,4.70,1.83,2.24
GSV,2,2001,,5.84,8.13,3.66,3.63,0.00,0.28,0.00,0.00,0.42,1.94,8.08,16.28
GSV,2,2002,,5.56,5.29,8.38,1.41,2.26,0.00,0.00,0.00,0.00,0.00,6.08,19.86
GSV,2,2003,,4.09,3.22,6.34,10.21,2.56,0.00,0.00,1.97,0.03,0.24,4.07,15.41
GSV,2,2004,,6.57,10.39,1.85,1.13,0.28,0.00,0.00,0.00,0.41,6.66,3.82,10.60
GSV,2,2005,,8.03,5.26,10.12,3.82,8.07,2.10,0.00,0.00,0.48,1.27,4.42,26.73
GSV,2,2006,,8.83,6.85,16.02,12.62,1.42,0.00,0.00,0.00,0.00,0.45,3.96,9.35
GSV,2,2007,,1.15,14.15,1.34,4.01,1.64,0.30,0.17,0.00,1.50,4.13,1.60,10.06
GSV,2,2008,,9.95,7.17,1.43,0.45,0.42,0.00,0.00,0.00,0.00,1.91,4.88,6.61
GSV,2,2009,,3.12,11.20,6.50,1.61,5.53,0.74,0.00,0.00,0.13,3.14,2.02,6.89
GSV,2,2010,,11.23,6.35,4.72,9.08,3.17,0.08,0.00,0.04,0.00,8.58,8.63,17.26
GSV,2,2011,,2.80,7.02,19.60,2.53,3.53,2.41,0.00,0.00,0.00,4.20,1.99,0.17
GSV,2,2012,,7.37,4.11,17.86,8.79,0.41,1.73,0.03,0.05,0.00,2.97,12.52,18.05
GSV,2,2013,,1.45,1.01,3.15,2.37,1.10,1.95,0.00,0.01,2.61,0.39,1.89,0.57
GSV,2,2014,,1.49,14.86,9.60,3.38,0.72,0.00,0.02,0.06,0.87,m,m,m
GSV,2,,
'End of Data
