'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station GROVELAND R S (GVL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:25
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
GVL,2,1990,,4.56,3.18,2.72,1.63,2.80,0.00,0.00,0.00,0.36,0.08,1.24,1.22
GVL,2,1991,,0.55,2.44,19.09,0.70,0.56,0.39,0.00,0.05,0.13,5.54,1.17,5.28
GVL,2,1992,,1.82,9.92,4.29,0.31,0.08,0.40,1.76,0.00,0.00,2.42,0.21,11.54
GVL,2,1993,,11.54,8.53,6.12,1.94,1.26,1.51,0.00,0.00,0.00,0.91,1.61,2.86
GVL,2,1994,,2.99,8.07,0.71,3.37,1.77,0.00,0.00,0.00,0.43,2.48,6.29,4.06
GVL,2,1995,,20.26,1.12,18.85,5.05,4.40,1.89,0.04,0.00,0.00,0.00,0.16,8.88
GVL,2,1996,,9.47,10.61,5.01,2.45,2.56,0.52,0.00,0.00,0.06,2.76,7.02,18.59
GVL,2,1997,,18.23,0.76,0.16,0.55,0.31,0.38,0.06,0.00,0.19,0.92,3.89,4.37
GVL,2,1998,,12.89,16.54,7.62,5.48,5.14,1.90,0.00,0.00,1.74,0.29,3.79,2.78
GVL,2,1999,,7.60,9.84,1.94,3.58,0.77,0.72,0.00,0.03,0.00,0.48,3.43,0.32
GVL,2,2000,,13.63,14.40,3.64,3.76,1.83,0.87,0.00,0.03,0.63,4.12,0.95,1.02
GVL,2,2001,,6.99,6.80,3.78,4.47,0.00,0.00,0.04,0.00,0.45,1.38,6.25,9.36
GVL,2,2002,,3.28,2.30,4.60,1.17,1.22,0.01,0.00,0.00,0.13,0.00,5.84,10.33
GVL,2,2003,,1.13,2.30,2.85,6.33,1.95,0.00,0.23,2.22,0.00,0.00,4.24,10.87
GVL,2,2004,,3.56,8.19,1.79,0.10,0.75,0.00,0.00,0.00,0.19,9.90,2.79,7.43
GVL,2,2005,,11.97,6.36,9.06,2.30,3.93,0.14,0.00,0.10,1.06,1.13,1.49,14.25
GVL,2,2006,,8.01,4.04,10.48,11.12,1.89,0.00,0.00,0.00,0.15,1.89,2.33,1.65
GVL,2,2007,,1.67,6.84,0.95,2.32,0.84,0.00,0.02,0.00,0.26,1.62,0.69,5.73
GVL,2,2008,,11.61,6.18,0.76,0.12,0.88,0.02,0.00,0.00,0.00,1.57,3.13,4.50
GVL,2,2009,,5.27,7.96,5.14,2.19,2.65,1.49,0.00,0.00,0.07,4.83,1.32,8.46
GVL,2,2010,,7.74,5.65,4.66,7.53,2.20,0.00,0.00,0.00,0.00,5.11,4.12,22.80
GVL,2,2011,,2.63,2.10,14.14,1.23,3.47,3.50,0.00,0.00,m,4.93,1.62,0.00
GVL,2,2012,,4.55,1.68,6.20,4.48,0.02,0.54,0.00,0.00,0.00,0.68,4.50,8.59
GVL,2,2013,,0.98,1.06,2.12,0.90,0.62,0.63,0.00,0.00,0.15,0.97,1.43,1.04
GVL,2,2014,,1.43,5.32,5.06,m,0.19,m,0.03,0.02,1.06,m,m,m
GVL,2,,
'End of Data
