'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HAPPY CAMP RS (HAP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:25
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HAP,2,1990,,10.08,4.66,2.80,0.70,7.19,1.38,0.17,1.57,0.33,1.24,1.94,2.36
HAP,2,1991,,3.50,4.63,9.32,2.24,1.75,0.80,1.42,0.72,0.00,1.75,4.70,3.81
HAP,2,1992,,4.68,5.58,3.16,4.75,0.21,1.07,1.24,0.00,0.22,3.72,5.43,13.30
HAP,2,1993,,9.18,8.29,6.15,7.20,3.98,1.65,0.00,1.15,0.05,0.98,2.63,9.32
HAP,2,1994,,6.03,4.00,0.87,1.86,1.49,0.30,0.00,0.00,1.44,0.43,12.18,5.70
HAP,2,1995,,20.66,3.67,15.49,6.91,2.39,1.85,1.39,0.00,0.25,0.30,2.73,13.29
HAP,2,1996,,16.25,11.31,4.73,7.34,4.56,0.50,0.31,0.00,1.33,3.36,7.45,28.56
HAP,2,1997,,12.60,2.28,3.66,3.77,0.92,1.05,0.41,0.65,2.10,5.14,6.24,3.31
HAP,2,1998,,19.50,14.09,9.29,2.58,2.35,0.20,0.03,0.00,0.00,3.02,18.62,5.20
HAP,2,1999,,8.61,15.98,13.50,1.80,0.33,0.00,0.00,0.64,0.00,4.01,7.09,3.74
HAP,2,2000,,16.13,10.33,2.18,2.58,0.92,0.19,0.52,0.02,0.33,3.31,2.32,3.10
HAP,2,2001,,2.89,3.05,2.81,1.58,0.99,1.45,0.00,0.16,0.99,1.11,12.45,13.32
HAP,2,2002,,7.60,5.59,3.07,2.56,0.77,0.00,0.28,0.00,0.15,0.00,6.93,18.49
HAP,2,2003,,11.34,2.69,8.05,6.51,0.53,0.00,0.00,0.28,0.25,0.33,3.97,20.27
HAP,2,2004,,6.46,11.87,3.72,2.23,0.99,0.25,0.00,0.65,0.19,4.68,1.34,10.28
HAP,2,2005,,6.79,0.86,7.85,5.36,4.82,0.82,0.00,0.00,0.27,1.35,9.30,25.01
HAP,2,2006,,17.32,7.53,8.53,3.56,1.60,0.87,3.42,0.13,0.11,0.17,13.33,14.58
HAP,2,2007,,2.99,12.90,1.70,3.30,0.71,0.02,0.99,0.20,0.03,6.90,3.81,10.17
HAP,2,2008,,14.95,5.22,4.48,1.77,0.07,0.02,0.00,0.00,0.00,1.45,5.28,8.61
HAP,2,2009,,2.02,3.72,5.51,0.31,3.80,1.44,0.00,0.37,0.10,3.05,2.85,2.29
HAP,2,2010,,9.01,5.29,7.19,6.90,2.66,2.29,0.00,0.05,1.15,4.35,6.33,14.47
HAP,2,2011,,2.73,4.95,13.10,3.01,1.89,1.00,0.22,0.00,0.28,3.87,8.16,2.80
HAP,2,2012,,11.17,1.48,16.05,4.74,0.85,1.23,0.58,0.00,0.00,4.19,10.25,m
HAP,2,2013,,2.23,0.82,3.19,3.15,1.32,0.21,0.00,0.73,3.49,0.07,2.04,1.02
HAP,2,2014,,1.42,8.76,8.83,1.30,0.55,0.11,0.00,0.07,1.91,m,m,m
HAP,2,,
'End of Data
