'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HOCKETT MEADOW (USACE) (HCK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:26
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HCK,2,1990,,6.10,4.40,3.20,1.20,2.80,m,m,m,m,0.10,1.40,1.50
HCK,2,1991,,1.60,2.70,28.80,0.40,1.67,m,m,m,m,3.20,2.00,2.20
HCK,2,1992,,5.70,5.00,3.10,1.10,0.40,m,1.30,0.30,0.10,5.60,0.20,9.30
HCK,2,1993,,11.10,14.30,5.60,1.10,0.40,3.30,0.40,0.10,0.00,0.30,2.80,2.90
HCK,2,1994,,2.00,8.90,1.90,3.60,1.50,m,m,m,m,2.00,4.00,3.00
HCK,2,1995,,0.90,6.40,15.60,12.80,5.60,2.50,0.60,0.00,0.20,0.00,0.00,7.20
HCK,2,1996,,5.70,14.70,8.50,6.00,1.10,0.50,1.40,0.70,0.00,2.10,15.10,12.10
HCK,2,1997,,19.80,0.00,6.50,0.41,0.00,0.00,0.00,0.00,0.10,1.00,6.00,5.90
HCK,2,1998,,8.30,13.90,9.40,8.60,6.30,2.10,0.60,0.40,1.50,0.80,2.90,1.30
HCK,2,1999,,8.20,3.40,2.80,4.40,1.40,0.40,1.50,0.00,0.50,0.00,2.30,0.00
HCK,2,2000,,10.00,7.40,10.70,3.00,2.40,0.60,0.00,0.10,0.40,4.20,1.00,0.40
HCK,2,2001,,6.10,3.41,1.50,5.80,0.80,0.00,0.90,0.00,0.30,1.50,9.30,9.90
HCK,2,2002,,2.70,3.00,5.40,0.20,2.30,0.40,0.20,0.00,0.00,0.00,16.10,7.70
HCK,2,2003,,0.30,4.70,4.50,5.80,4.10,0.20,0.30,1.40,0.60,0.00,1.50,10.40
HCK,2,2004,,3.90,1.43,1.10,0.90,0.20,0.00,0.20,0.00,0.00,6.41,2.10,10.30
HCK,2,2005,,14.72,5.74,10.10,1.91,3.91,0.11,0.00,0.00,0.00,0.00,0.00,19.00
HCK,2,2006,,9.11,4.71,4.51,17.10,1.83,0.31,3.73,0.00,0.00,0.60,0.50,4.90
HCK,2,2007,,1.81,6.31,2.41,2.90,0.51,0.00,0.00,0.50,0.42,1.30,0.80,6.23
HCK,2,2008,,6.31,m,1.04,0.61,0.81,0.12,0.72,0.20,0.00,0.00,0.61,6.60
HCK,2,2009,,4.41,9.00,3.81,2.81,1.84,1.23,0.11,0.00,0.00,6.83,0.00,m
HCK,2,2010,,7.51,2.11,0.90,6.33,1.51,1.01,0.25,m,m,1.61,6.22,13.21
HCK,2,2011,,12.11,1.95,15.72,2.05,3.83,0.62,2.95,0.44,4.72,3.42,2.92,0.00
HCK,2,2012,,7.80,2.30,6.21,4.93,0.72,0.42,0.50,1.20,0.47,2.07,4.02,10.47
HCK,2,2013,,2.83,1.06,1.05,1.32,1.38,0.63,0.85,0.68,0.54,0.72,0.81,1.32
HCK,2,2014,,1.82,7.50,3.05,3.85,0.80,m,0.05,0.20,0.45,m,m,m
HCK,2,,
'End of Data
