'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station RUSSIAN RIVER NEAR HEALDSBURG (HEA), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:26
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HEA,2,1990,,7.08,4.00,1.81,0.21,6.44,0.00,0.00,0.00,0.20,0.77,0.38,1.33
HEA,2,1991,,1.10,5.26,18.35,0.47,0.25,0.63,0.00,0.02,0.00,0.82,2.03,4.43
HEA,2,1992,,2.83,12.86,5.89,1.84,0.00,0.80,0.00,0.00,0.00,3.64,0.43,12.25
HEA,2,1993,,15.23,9.43,3.29,2.58,2.31,0.97,0.00,0.00,0.00,0.97,3.54,6.53
HEA,2,1994,,4.39,7.62,0.74,2.43,0.98,0.00,0.00,0.00,0.00,0.98,9.54,5.26
HEA,2,1995,,31.62,0.36,20.51,3.58,1.54,0.38,0.00,0.00,0.00,0.03,0.00,12.37
HEA,2,1996,,9.97,14.11,3.17,3.34,3.12,0.00,0.00,0.00,0.02,2.31,4.68,17.21
HEA,2,1997,,14.13,0.43,2.06,1.01,0.80,0.59,0.00,1.05,0.40,1.26,11.59,4.10
HEA,2,1998,,15.38,25.41,4.61,3.21,4.55,0.03,0.00,0.00,0.09,1.46,8.87,1.66
HEA,2,1999,,5.06,12.92,6.58,2.61,0.04,0.00,0.00,0.00,0.07,1.19,6.99,0.99
HEA,2,2000,,8.41,16.13,3.15,2.49,1.83,0.26,0.00,0.00,0.13,3.44,1.25,1.12
HEA,2,2001,,7.43,9.91,2.94,1.40,0.00,1.34,0.00,0.00,0.21,3.03,10.44,12.83
HEA,2,2002,,3.08,1.80,3.46,1.63,1.58,0.00,0.00,0.00,0.00,0.00,5.16,30.39
HEA,2,2003,,6.50,2.77,4.84,6.55,1.19,0.00,0.04,0.00,0.10,0.00,4.06,18.81
HEA,2,2004,,5.75,12.82,1.79,1.55,0.08,0.00,0.00,0.00,0.00,4.30,6.77,20.15
HEA,2,2005,,6.88,5.42,8.49,2.72,9.54,0.00,0.00,0.00,0.00,1.43,3.36,19.96
HEA,2,2006,,7.61,5.93,13.47,8.92,0.55,0.00,m,0.00,0.00,0.53,3.80,7.79
HEA,2,2007,,0.42,12.50,0.25,3.60,0.49,0.00,0.17,0.00,0.09,5.06,0.36,8.83
HEA,2,2008,,17.04,3.98,0.53,0.23,0.00,0.00,0.00,0.00,0.00,2.01,5.70,3.26
HEA,2,2009,,1.06,12.14,4.87,0.70,3.18,0.00,0.00,0.00,0.14,4.76,1.28,4.04
HEA,2,2010,,16.77,7.54,m,6.13,2.30,0.00,0.00,m,0.01,5.08,3.86,10.79
HEA,2,2011,,2.73,6.27,m,m,m,m,m,0.00,0.00,2.86,3.09,m
HEA,2,2012,,9.41,m,9.44,m,0.13,0.02,m,0.00,0.00,m,m,m
HEA,2,2013,,1.06,m,m,m,m,m,m,m,m,m,m,m
HEA,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
HEA,2,,
'End of Data
