'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HOLLISTER (HLS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:26
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HLS,2,1990,,1.40,1.97,0.79,0.05,1.75,0.00,0.00,0.00,0.63,0.10,0.29,1.26
HLS,2,1991,,0.34,2.19,7.16,0.20,0.17,0.03,0.00,0.05,0.00,0.63,0.42,2.00
HLS,2,1992,,1.54,4.43,3.16,0.10,0.00,0.00,0.02,0.00,0.00,0.86,0.00,3.27
HLS,2,1993,,6.87,4.83,2.24,0.22,0.74,0.22,0.00,0.00,0.00,0.19,1.38,2.71
HLS,2,1994,,1.68,2.82,0.39,0.97,1.04,0.05,0.00,0.00,0.15,0.24,2.17,1.30
HLS,2,1995,,7.68,0.79,6.54,1.54,0.69,0.25,0.00,0.00,0.00,0.00,0.04,2.17
HLS,2,1996,,4.30,4.90,1.86,1.28,1.33,0.00,0.00,0.00,0.00,0.95,3.88,4.42
HLS,2,1997,,7.18,0.25,0.05,0.22,0.03,0.06,0.00,0.00,0.00,0.09,4.22,2.45
HLS,2,1998,,4.84,10.50,3.14,1.96,1.83,0.09,0.00,0.00,0.08,0.62,1.83,1.00
HLS,2,1999,,1.99,2.43,1.47,0.60,0.03,0.16,0.00,0.00,0.04,0.11,0.87,0.16
HLS,2,2000,,4.14,4.96,0.65,0.25,0.31,0.25,0.00,0.00,0.00,2.19,0.54,0.28
HLS,2,2001,,2.65,2.33,1.08,0.25,0.00,0.00,0.00,0.00,0.18,0.23,2.61,3.46
HLS,2,2002,,0.74,1.00,1.17,0.30,0.44,0.00,0.00,0.00,0.00,0.00,1.80,5.65
HLS,2,2003,,0.76,1.56,1.02,2.76,0.17,0.00,0.00,0.03,0.00,0.22,0.77,6.33
HLS,2,2004,,1.56,4.28,0.92,0.08,0.08,0.00,0.00,0.00,0.85,2.79,0.76,1.94
HLS,2,2005,,5.10,3.13,3.87,0.99,0.64,0.52,0.00,0.00,0.00,0.14,0.31,3.47
HLS,2,2006,,4.27,1.11,4.21,1.94,0.35,0.00,0.00,0.00,0.00,0.88,0.71,0.62
HLS,2,2007,,0.72,2.54,0.33,0.74,0.00,0.00,0.00,0.00,0.53,0.81,0.71,1.18
HLS,2,2008,,5.18,2.10,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.23,0.98,2.31
HLS,2,2009,,1.91,3.17,1.57,0.47,0.53,0.00,0.00,0.00,0.17,2.34,0.04,1.90
HLS,2,2010,,4.61,3.28,2.50,4.62,0.57,0.00,m,m,m,0.80,2.11,2.02
HLS,2,2011,,2.30,2.88,3.03,0.25,0.81,0.33,0.00,0.00,0.00,0.75,1.43,0.04
HLS,2,2012,,1.65,0.48,2.53,m,m,m,m,m,m,0.42,0.92,0.52
HLS,2,2013,,0.33,m,m,m,m,m,m,m,m,0.02,0.36,0.22
HLS,2,2014,,0.22,m,1.33,1.14,0.02,m,m,m,0.26,m,m,m
HLS,2,,
'End of Data
