'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOUNT HAMILTON (HML), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:27
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HML,2,1990,,4.34,4.60,2.58,0.73,3.49,0.00,0.00,0.00,1.68,0.09,0.62,1.94
HML,2,1991,,0.16,1.46,7.87,0.49,1.18,0.17,0.00,0.14,0.70,3.09,0.80,0.85
HML,2,1992,,2.40,4.65,1.85,0.21,0.00,0.58,0.06,0.00,0.00,1.15,1.25,8.55
HML,2,1993,,9.56,5.74,4.26,0.82,1.64,0.97,0.00,0.00,0.00,0.80,1.81,1.39
HML,2,1994,,1.21,3.15,0.14,1.39,0.00,0.00,0.00,0.00,0.00,0.35,2.76,1.92
HML,2,1995,,6.86,0.81,12.05,3.39,2.61,1.07,0.00,0.00,0.01,0.00,0.87,6.01
HML,2,1996,,7.84,7.27,3.00,1.39,2.18,0.00,0.00,0.00,0.00,3.40,6.04,11.63
HML,2,1997,,11.45,0.95,0.04,0.96,0.82,0.66,0.00,0.40,0.02,0.72,6.04,2.81
HML,2,1998,,11.93,12.13,4.41,2.86,4.69,0.38,0.00,0.00,0.39,1.01,5.20,2.37
HML,2,1999,,6.10,6.93,3.02,3.35,0.31,0.39,0.00,0.10,0.07,0.34,2.74,0.48
HML,2,2000,,7.74,10.16,3.16,1.25,1.18,0.81,0.00,0.02,0.53,3.52,1.58,0.97
HML,2,2001,,4.63,6.74,2.65,2.66,0.00,0.04,0.00,0.00,0.03,0.50,3.59,7.01
HML,2,2002,,2.15,1.72,3.86,1.28,2.22,0.00,0.00,0.00,0.06,0.00,4.50,9.94
HML,2,2003,,1.03,2.08,2.25,5.13,1.95,0.00,0.00,1.02,0.39,0.07,3.71,6.92
HML,2,2004,,2.56,6.80,0.88,0.52,0.13,0.00,0.00,0.00,0.42,4.98,1.94,6.77
HML,2,2005,,4.72,5.88,5.82,2.27,1.48,0.76,0.00,0.00,0.03,0.05,1.70,7.36
HML,2,2006,,5.95,3.43,8.07,6.16,0.74,0.00,0.00,0.00,0.00,0.57,3.31,3.88
HML,2,2007,,1.09,6.67,0.82,1.05,0.22,0.03,0.03,0.00,0.35,1.87,0.97,2.32
HML,2,2008,,9.07,5.37,0.83,0.17,0.00,0.00,0.00,0.00,0.00,0.55,3.38,4.76
HML,2,2009,,2.61,7.32,4.68,0.67,1.05,0.04,0.00,0.03,0.40,3.91,0.39,4.00
HML,2,2010,,6.64,4.05,2.72,4.39,1.36,0.03,0.00,0.00,0.02,2.51,4.87,6.90
HML,2,2011,,1.65,5.13,8.14,1.03,1.94,1.52,0.00,0.00,0.00,2.15,1.89,0.17
HML,2,2012,,3.15,2.08,6.13,3.92,0.15,0.32,0.00,0.02,0.02,0.48,5.22,m
HML,2,2013,,1.15,0.63,1.06,0.77,0.07,m,m,m,m,0.00,0.98,0.61
HML,2,2014,,0.35,4.68,3.58,1.70,0.13,0.00,0.00,0.00,0.33,m,m,m
HML,2,,
'End of Data
