'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HANFORD REFINERY (HND), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:27
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HND,2,1990,,1.66,1.10,0.30,0.97,0.87,0.00,0.00,0.00,0.00,0.01,0.22,0.15
HND,2,1991,,0.31,0.12,6.62,0.19,0.00,0.12,0.00,0.00,0.11,0.41,0.14,1.53
HND,2,1992,,1.40,2.82,0.85,0.10,0.00,0.00,0.01,0.01,0.00,0.58,0.00,2.62
HND,2,1993,,3.88,2.48,2.16,0.07,0.08,0.30,0.00,0.00,0.00,0.24,m,m
HND,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
HND,2,1995,,m,m,m,m,m,m,m,m,m,0.00,0.00,1.68
HND,2,1996,,1.79,2.55,2.15,0.89,0.16,0.04,0.00,0.00,0.00,1.65,0.87,3.03
HND,2,1997,,3.17,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.07,0.12,2.03,1.35
HND,2,1998,,1.88,4.33,3.25,1.28,1.39,0.43,0.00,0.00,0.00,0.61,0.68,0.59
HND,2,1999,,2.90,0.50,0.58,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00
HND,2,2000,,1.80,3.28,1.59,0.97,0.48,0.37,0.00,0.00,0.04,1.32,0.00,0.03
HND,2,2001,,1.91,1.50,1.22,1.06,0.00,0.00,0.10,0.00,0.00,0.16,1.91,1.65
HND,2,2002,,0.79,0.26,1.01,0.03,0.95,0.02,0.00,0.00,0.00,0.00,1.49,1.06
HND,2,2003,,0.56,1.13,1.05,1.67,0.58,0.00,0.00,0.00,0.00,0.07,0.47,2.11
HND,2,2004,,0.97,2.32,0.25,0.01,0.02,0.00,0.00,0.00,0.00,2.09,0.44,2.13
HND,2,2005,,2.51,1.69,2.02,0.70,0.84,0.00,0.00,0.00,0.02,0.01,0.21,1.15
HND,2,2006,,3.07,0.48,2.60,2.98,0.54,0.00,0.00,0.00,0.00,0.09,0.20,0.90
HND,2,2007,,0.61,0.90,0.22,0.27,0.01,0.00,0.00,0.05,0.32,0.30,0.10,1.17
HND,2,2008,,1.87,0.81,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.14,1.03,1.39
HND,2,2009,,0.60,1.44,0.19,0.03,0.43,0.37,0.00,0.00,0.20,1.31,0.23,1.30
HND,2,2010,,2.33,1.99,0.31,1.63,0.32,0.00,0.00,0.00,0.00,0.76,1.24,5.29
HND,2,2011,,0.88,0.96,2.70,0.32,0.41,0.91,0.04,0.00,0.00,0.48,0.71,0.01
HND,2,2012,,0.61,0.45,1.72,1.79,0.03,0.00,0.00,0.00,0.00,0.14,0.34,1.52
HND,2,2013,,0.25,0.42,0.67,0.08,0.18,0.00,0.00,0.00,0.01,0.00,0.26,0.12
HND,2,2014,,0.11,1.65,0.52,0.20,0.00,0.00,0.00,0.00,0.01,m,m,m
HND,2,,
'End of Data
