'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HUNTINGTON LAKE (USBR) (HNT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:27
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HNT,2,1990,,5.70,5.70,3.80,2.70,2.70,0.00,0.30,0.40,1.10,0.40,1.10,3.30
HNT,2,1991,,0.90,2.50,22.70,1.40,3.30,1.10,0.10,0.03,0.30,3.20,2.40,4.60
HNT,2,1992,,2.63,9.98,4.07,0.58,0.25,0.34,2.35,0.00,0.11,4.70,0.30,13.31
HNT,2,1993,,16.00,13.60,6.30,2.10,0.17,2.00,0.00,0.00,0.00,0.71,3.27,3.19
HNT,2,1994,,2.40,7.51,1.65,3.66,2.83,0.07,0.00,0.00,1.13,3.00,7.99,2.64
HNT,2,1995,,24.91,2.16,19.40,10.53,5.26,1.88,0.10,0.00,0.00,0.20,0.01,6.16
HNT,2,1996,,8.56,10.55,4.69,3.39,1.66,0.14,0.03,0.00,0.00,4.65,9.67,14.57
HNT,2,1997,,22.37,1.31,0.50,0.05,1.04,0.72,0.30,0.00,0.54,1.10,3.50,4.54
HNT,2,1998,,13.25,21.84,8.90,5.80,6.77,3.40,0.08,0.10,1.91,0.63,4.09,2.41
HNT,2,1999,,8.88,7.10,4.47,4.68,1.03,1.63,0.54,0.00,0.50,0.00,1.16,0.08
HNT,2,2000,,10.88,13.68,2.68,3.08,2.32,0.96,0.32,0.00,0.12,2.92,0.68,0.64
HNT,2,2001,,5.50,9.60,3.92,5.24,0.04,0.00,0.88,0.00,0.00,1.93,6.65,8.76
HNT,2,2002,,3.33,2.04,4.60,1.32,2.84,0.08,0.52,0.00,0.00,0.00,7.40,8.92
HNT,2,2003,,0.96,4.28,3.32,7.64,3.72,0.48,0.00,0.80,0.00,0.00,0.96,8.88
HNT,2,2004,,3.96,7.80,2.16,1.32,0.52,0.08,0.20,0.16,0.00,5.56,1.44,7.60
HNT,2,2005,,13.72,6.44,9.20,3.08,6.96,0.00,0.56,0.04,0.16,0.04,1.08,11.28
HNT,2,2006,,6.18,6.04,12.52,11.04,2.20,0.12,2.24,0.52,0.00,0.00,0.40,4.84
HNT,2,2007,,2.08,8.48,3.08,1.60,0.60,0.04,0.04,0.72,0.00,0.00,0.00,0.24
HNT,2,2008,,10.48,8.84,0.96,0.36,1.40,1.12,1.52,0.00,0.00,0.76,4.08,6.60
HNT,2,2009,,6.48,7.92,4.08,2.00,2.12,1.16,0.00,0.00,0.00,6.12,0.08,6.24
HNT,2,2010,,9.40,8.44,5.32,8.08,2.28,0.72,0.04,0.00,0.00,5.04,5.20,17.52
HNT,2,2011,,4.00,6.72,12.96,2.36,4.00,2.26,0.20,0.00,0.00,0.36,0.88,0.00
HNT,2,2012,,5.32,1.72,6.76,4.92,0.24,0.24,0.00,1.23,0.00,0.80,4.40,7.52
HNT,2,2013,,1.68,0.32,1.51,1.00,0.52,0.00,0.00,0.00,0.64,0.04,0.08,1.48
HNT,2,2014,,1.48,5.24,3.52,3.72,0.96,0.04,0.00,0.04,0.48,m,m,m
HNT,2,,
'End of Data
