'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HOOPA (HOO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:28
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HOO,2,1990,,13.30,5.50,3.40,0.80,9.10,0.10,0.10,m,m,1.50,1.80,2.70
HOO,2,1991,,2.70,3.10,9.60,2.50,m,m,m,m,m,2.50,2.70,4.00
HOO,2,1992,,4.50,4.40,3.60,3.80,0.10,1.20,0.60,0.00,0.00,3.39,4.41,14.33
HOO,2,1993,,11.77,7.56,5.35,8.23,5.36,1.80,0.02,0.01,0.00,m,m,m
HOO,2,1994,,6.18,6.69,1.53,3.13,1.61,0.75,0.00,0.00,0.50,0.50,12.25,10.27
HOO,2,1995,,15.98,4.09,11.20,6.82,2.21,0.75,0.87,0.00,0.49,0.24,1.85,18.06
HOO,2,1996,,19.91,6.84,5.45,0.00,3.02,0.10,0.00,0.00,1.21,2.15,8.25,22.71
HOO,2,1997,,16.60,7.05,6.89,4.18,2.79,0.43,0.50,0.80,1.89,2.63,8.08,5.35
HOO,2,1998,,13.03,16.20,8.08,2.01,2.80,0.00,0.00,0.00,0.02,3.60,17.24,5.60
HOO,2,1999,,10.43,17.90,7.80,2.20,0.80,0.00,m,0.30,0.00,2.70,8.90,3.20
HOO,2,2000,,12.60,10.90,2.20,2.30,2.00,1.00,0.00,0.00,0.20,3.10,2.90,3.30
HOO,2,2001,,3.90,3.90,2.90,2.20,1.20,1.30,0.00,0.01,0.70,1.40,14.10,12.90
HOO,2,2002,,8.00,6.50,3.70,2.30,0.40,0.00,0.00,0.00,0.00,0.00,6.43,27.90
HOO,2,2003,,7.20,3.40,7.00,9.90,1.10,0.00,0.00,0.20,0.40,0.50,5.00,18.30
HOO,2,2004,,8.05,13.30,2.80,2.60,0.80,0.00,0.00,0.00,0.40,6.40,1.50,13.00
HOO,2,2005,,6.50,2.10,9.40,6.30,5.80,3.90,0.00,0.00,0.00,1.70,10.80,24.06
HOO,2,2006,,14.80,6.90,10.20,3.80,2.20,0.40,0.00,0.10,0.10,0.40,12.50,12.38
HOO,2,2007,,2.80,13.53,2.21,3.76,1.32,0.14,1.57,0.00,0.38,7.80,6.00,7.20
HOO,2,2008,,18.50,2.60,m,m,m,m,m,0.00,m,m,m,m
HOO,2,2009,,m,9.00,m,m,3.60,m,0.00,m,m,2.50,2.72,5.20
HOO,2,2010,,10.60,6.30,6.70,m,m,m,m,m,m,m,8.80,9.00
HOO,2,2011,,2.80,5.30,16.60,4.40,2.50,1.40,m,0.00,0.10,5.59,4.74,1.73
HOO,2,2012,,11.27,3.45,13.00,3.30,0.80,1.30,0.80,m,0.00,3.07,7.57,17.44
HOO,2,2013,,1.99,1.70,2.82,2.05,1.18,0.76,0.00,0.34,4.98,0.00,1.54,1.06
HOO,2,2014,,1.79,8.25,2.82,0.97,0.96,0.18,0.00,0.00,2.47,m,m,m
HOO,2,,
'End of Data
