'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HARRISON GULCH RS (HRR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:28
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HRR,2,1990,,5.95,3.62,1.93,0.48,6.15,0.06,0.81,0.14,1.73,1.39,0.36,1.02
HRR,2,1991,,1.15,3.57,14.76,1.99,0.71,0.43,0.02,0.00,0.00,1.02,2.58,2.71
HRR,2,1992,,2.47,7.85,5.40,3.89,0.24,1.54,0.33,0.00,0.12,4.03,1.48,7.97
HRR,2,1993,,10.41,5.84,7.58,2.49,6.78,0.91,0.00,0.24,0.00,1.85,1.04,5.13
HRR,2,1994,,4.27,4.50,0.70,1.66,2.71,0.00,0.00,0.00,0.00,0.00,0.31,3.60
HRR,2,1995,,24.67,1.60,15.38,3.24,4.91,0.98,0.34,0.00,0.00,0.25,0.74,10.96
HRR,2,1996,,10.90,7.03,4.15,2.50,3.63,0.12,0.16,0.05,0.19,2.12,4.24,16.55
HRR,2,1997,,9.83,1.13,2.56,1.82,0.14,0.32,0.50,0.63,0.66,2.16,7.54,4.64
HRR,2,1998,,12.53,16.08,7.71,3.06,3.41,1.58,0.00,0.00,0.08,1.29,9.44,1.31
HRR,2,1999,,4.07,11.06,5.61,1.26,0.00,0.30,0.00,0.16,0.00,2.06,5.30,1.10
HRR,2,2000,,7.53,10.79,2.61,3.30,3.25,0.10,0.00,0.00,0.00,3.75,1.06,1.75
HRR,2,2001,,3.85,4.30,2.56,0.83,0.04,0.78,0.33,0.00,0.47,0.78,6.20,11.78
HRR,2,2002,,7.74,3.80,2.43,1.09,1.43,0.00,0.04,0.00,0.00,0.00,4.77,15.40
HRR,2,2003,,7.36,2.73,3.36,6.65,5.63,0.00,0.00,0.42,0.05,0.15,10.49,8.64
HRR,2,2004,,5.87,9.81,2.02,1.72,0.38,0.17,0.00,0.00,0.00,3.30,3.44,7.95
HRR,2,2005,,5.53,3.25,7.15,2.28,3.60,1.25,0.00,0.00,0.00,0.70,5.12,m
HRR,2,2006,,11.69,3.69,6.36,4.26,1.72,m,0.00,0.00,m,0.12,3.46,5.89
HRR,2,2007,,0.34,5.67,0.32,1.90,0.24,0.00,0.15,0.00,0.00,3.74,0.49,5.85
HRR,2,2008,,m,6.83,0.56,0.65,1.17,0.00,0.00,0.00,0.00,1.19,3.29,2.14
HRR,2,2009,,0.55,m,m,m,m,m,m,m,m,0.51,m,m
HRR,2,2010,,m,m,m,m,m,m,m,m,m,0.89,m,m
HRR,2,2011,,m,m,m,m,m,m,m,m,m,0.85,m,m
HRR,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
HRR,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
HRR,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
HRR,2,,
'End of Data
