'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HENSHAW DAM (HSD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:28
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HSD,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
HSD,2,1996,,m,m,m,m,m,m,m,m,m,1.56,3.65,3.94
HSD,2,1997,,8.84,1.72,0.37,0.18,0.02,0.16,0.00,0.28,2.56,0.46,3.83,3.78
HSD,2,1998,,5.71,15.53,6.83,4.74,4.37,0.13,0.01,0.92,0.10,0.22,2.98,1.93
HSD,2,1999,,1.70,1.35,0.86,4.36,0.14,0.73,0.27,0.00,0.00,0.00,0.12,0.50
HSD,2,2000,,1.36,8.67,2.95,2.50,0.03,0.00,0.00,0.31,0.43,0.84,0.48,0.01
HSD,2,2001,,4.28,6.28,2.12,3.02,0.05,0.00,0.03,0.00,0.00,0.00,1.57,2.15
HSD,2,2002,,0.66,0.21,2.24,0.74,0.00,0.00,m,m,m,0.01,3.02,4.91
HSD,2,2003,,0.30,7.59,4.60,3.24,1.58,0.00,0.32,0.13,1.80,0.00,1.64,2.41
HSD,2,2004,,0.60,6.31,1.06,1.54,0.02,0.00,0.00,0.13,0.00,10.67,2.64,5.49
HSD,2,2005,,12.11,9.77,3.02,1.51,0.47,m,0.41,m,0.13,2.04,0.05,0.06
HSD,2,2006,,3.43,3.24,7.83,4.06,0.34,0.00,0.07,0.02,0.00,0.41,0.21,2.06
HSD,2,2007,,0.80,4.02,0.41,1.14,0.00,0.00,0.00,0.46,0.62,0.20,0.49,7.08
HSD,2,2008,,14.00,5.80,0.44,0.12,1.15,0.00,m,0.10,0.04,0.06,1.34,7.97
HSD,2,2009,,0.61,8.25,0.24,0.56,0.00,0.00,0.00,0.00,1.40,0.20,1.17,7.25
HSD,2,2010,,11.59,6.89,1.39,3.41,0.08,0.00,0.43,0.00,0.00,2.40,2.91,15.24
HSD,2,2011,,1.93,7.70,4.01,0.54,1.00,0.04,0.16,0.01,0.29,1.33,3.71,0.92
HSD,2,2012,,0.98,2.81,5.00,4.16,0.06,0.00,0.70,0.07,m,0.26,0.82,4.19
HSD,2,2013,,2.13,2.18,2.07,0.13,0.87,0.00,0.47,0.00,1.12,1.78,0.74,1.12
HSD,2,2014,,0.31,1.25,4.75,1.63,0.01,0.00,0.02,0.78,0.07,m,m,m
HSD,2,,
'End of Data
