'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HOSSACK (HSS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:29
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HSS,2,1990,,6.70,7.30,3.40,0.00,3.90,0.50,0.20,0.00,0.00,0.00,2.40,1.60
HSS,2,1991,,1.70,1.80,22.30,2.10,0.90,0.50,0.10,0.00,0.00,0.00,3.40,1.90
HSS,2,1992,,3.10,7.30,3.30,0.40,0.10,0.00,0.90,0.00,0.00,6.90,0.00,9.40
HSS,2,1993,,15.50,6.70,8.30,1.40,0.00,2.90,0.00,0.00,0.00,0.90,4.30,4.00
HSS,2,1994,,2.50,8.80,2.20,4.90,2.50,0.00,0.00,0.00,1.30,2.30,7.60,3.70
HSS,2,1995,,18.30,6.40,16.60,6.70,6.20,1.80,0.10,0.70,0.20,0.00,0.00,5.20
HSS,2,1996,,13.10,17.70,6.20,4.30,0.40,0.00,0.10,0.20,0.00,2.30,15.11,20.02
HSS,2,1997,,24.80,2.20,0.60,0.00,0.00,0.00,0.00,1.00,1.70,1.90,6.50,6.50
HSS,2,1998,,12.30,21.00,10.50,7.20,5.40,3.30,1.40,0.10,1.30,2.10,3.70,6.60
HSS,2,1999,,7.20,4.90,1.70,4.70,1.30,1.10,0.10,0.40,0.30,0.40,2.80,0.00
HSS,2,2000,,8.30,16.90,5.60,2.40,1.20,1.80,0.20,0.70,0.60,7.50,0.90,0.00
HSS,2,2001,,6.00,7.61,1.80,7.30,0.00,0.00,1.20,0.00,0.00,1.40,8.60,12.00
HSS,2,2002,,5.80,0.70,7.00,1.70,2.70,0.00,0.00,0.00,0.00,0.00,18.70,9.50
HSS,2,2003,,0.90,5.30,6.40,7.80,4.50,0.00,0.00,0.00,0.00,0.30,3.00,11.20
HSS,2,2004,,5.90,6.70,3.40,0.90,0.30,0.00,0.00,0.00,0.00,5.33,1.96,6.20
HSS,2,2005,,17.40,4.02,11.76,4.34,4.82,0.01,0.11,0.00,0.00,0.00,0.00,13.61
HSS,2,2006,,9.02,3.82,13.56,10.03,0.90,0.12,0.31,0.00,0.00,0.70,0.70,5.92
HSS,2,2007,,2.11,10.23,3.42,3.42,0.20,0.10,0.10,0.00,0.00,0.80,0.51,9.32
HSS,2,2008,,12.33,14.31,1.12,0.12,1.07,0.12,0.01,0.00,0.00,0.00,2.56,8.72
HSS,2,2009,,5.23,8.91,5.01,2.93,1.91,1.04,0.00,0.00,0.00,0.00,0.44,10.22
HSS,2,2010,,8.21,11.50,5.63,9.22,2.32,0.22,0.01,0.10,0.00,2.40,8.64,24.21
HSS,2,2011,,2.65,6.04,m,m,m,0.42,0.00,0.00,0.00,4.80,3.35,0.20
HSS,2,2012,,9.20,3.31,8.42,8.42,1.04,0.72,0.03,0.10,0.50,1.06,3.42,9.92
HSS,2,2013,,4.05,1.60,1.68,1.97,2.25,1.25,0.54,0.29,0.04,1.21,0.70,1.81
HSS,2,2014,,1.63,5.90,4.73,4.70,0.91,m,m,m,m,m,m,m
HSS,2,,
'End of Data
