'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HAT CREEK #1 PH (PG&E) (HTC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:29
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HTC,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
HTC,2,1999,,m,m,m,m,m,m,m,m,m,1.56,3.84,0.40
HTC,2,2000,,4.93,2.48,1.84,1.08,0.38,0.14,0.70,0.00,0.98,1.86,1.15,0.32
HTC,2,2001,,0.74,1.77,0.68,2.07,0.00,0.49,0.29,0.00,0.61,0.88,3.00,2.97
HTC,2,2002,,2.22,1.14,1.11,1.50,0.10,0.29,0.01,0.00,0.05,0.06,1.58,4.80
HTC,2,2003,,2.56,1.28,2.68,3.61,1.45,0.03,0.01,1.06,0.04,0.00,2.10,4.95
HTC,2,2004,,1.44,5.64,0.53,0.64,2.88,0.03,0.00,0.00,0.27,2.67,1.45,1.05
HTC,2,2005,,1.80,1.56,1.94,2.53,4.89,0.06,0.00,0.00,0.10,0.42,3.74,5.57
HTC,2,2006,,2.81,2.62,4.15,4.13,0.28,0.26,0.15,0.00,0.00,0.12,1.64,2.59
HTC,2,2007,,0.32,3.67,0.51,0.84,0.18,0.48,0.32,0.00,1.15,1.38,0.17,1.65
HTC,2,2008,,2.77,1.31,0.56,0.44,0.45,0.03,0.00,0.00,0.04,0.16,1.60,2.17
HTC,2,2009,,0.85,2.56,1.65,1.12,0.43,1.29,0.00,0.00,0.00,1.27,0.98,1.31
HTC,2,2010,,3.29,1.51,1.83,1.57,1.25,0.51,0.17,0.99,0.67,1.65,1.15,4.46
HTC,2,2011,,0.52,3.15,4.15,1.69,2.40,2.75,0.00,0.00,0.04,1.02,0.70,0.05
HTC,2,2012,,1.85,0.74,2.61,1.17,1.25,0.36,0.00,0.00,0.00,1.44,3.55,6.68
HTC,2,2013,,1.12,0.30,0.90,0.46,1.08,0.51,0.00,0.14,0.34,0.28,0.46,0.17
HTC,2,2014,,0.18,3.02,3.06,0.63,0.25,0.09,0.12,0.00,0.23,m,m,m
HTC,2,,
'End of Data
