'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HETCH HETCHY (HTH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:29
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HTH,2,1990,,4.79,3.24,2.16,2.73,2.70,0.00,0.74,0.25,0.73,0.17,2.02,1.31
HTH,2,1991,,0.48,1.23,15.97,0.71,2.04,0.79,0.00,0.01,0.23,4.07,1.76,1.97
HTH,2,1992,,1.70,6.50,3.02,0.31,0.27,1.90,3.56,0.07,0.00,3.68,0.14,7.84
HTH,2,1993,,11.69,7.41,4.73,1.97,0.63,2.35,0.00,0.00,0.00,2.29,1.75,2.38
HTH,2,1994,,1.67,4.90,1.94,2.76,2.20,0.00,0.00,0.00,0.78,2.27,8.59,3.82
HTH,2,1995,,14.84,0.92,16.89,7.42,4.98,1.19,0.05,0.00,0.00,0.00,0.20,7.57
HTH,2,1996,,9.24,9.73,4.58,3.70,4.03,0.83,0.53,0.16,0.05,2.16,9.47,15.34
HTH,2,1997,,16.76,0.72,0.37,0.80,0.90,1.01,0.22,0.00,0.18,1.09,3.91,3.53
HTH,2,1998,,12.29,14.66,6.24,4.20,7.14,2.53,0.00,0.00,2.53,0.43,4.13,3.96
HTH,2,1999,,8.22,8.01,2.56,2.39,0.11,1.03,0.00,0.15,0.11,0.74,3.22,0.26
HTH,2,2000,,10.09,12.03,2.44,3.77,3.51,1.65,0.00,0.06,1.11,3.69,1.31,1.48
HTH,2,2001,,5.62,5.03,2.97,5.41,0.00,0.00,1.44,0.00,0.41,1.17,7.22,9.14
HTH,2,2002,,2.78,2.14,3.57,2.06,2.55,0.00,0.00,0.00,0.26,0.00,6.17,9.14
HTH,2,2003,,0.94,2.25,2.87,10.27,3.13,0.00,0.47,0.96,0.08,0.01,3.12,9.66
HTH,2,2004,,2.54,8.86,1.84,0.46,0.86,0.00,0.00,0.00,0.13,8.52,2.42,5.55
HTH,2,2005,,10.77,6.04,8.62,3.23,5.69,0.79,0.00,0.66,0.04,1.10,2.00,13.97
HTH,2,2006,,9.19,4.00,10.25,9.51,0.92,0.23,0.24,0.00,0.00,1.03,2.86,3.84
HTH,2,2007,,1.46,7.04,1.87,2.57,1.25,0.00,0.21,0.13,0.83,0.95,0.64,4.39
HTH,2,2008,,9.97,7.10,0.70,0.16,1.79,0.00,0.00,0.00,0.00,1.91,3.94,4.76
HTH,2,2009,,6.09,6.20,4.86,2.00,5.24,0.85,0.00,0.45,0.04,3.45,0.59,5.68
HTH,2,2010,,6.96,5.90,4.61,6.25,3.16,0.01,0.00,0.10,0.00,8.53,7.85,14.64
HTH,2,2011,,2.40,5.54,13.14,1.81,3.21,3.56,0.00,0.08,1.99,2.34,1.82,0.00
HTH,2,2012,,5.49,1.26,5.44,4.99,0.04,0.79,0.01,0.15,0.03,0.82,7.76,12.20
HTH,2,2013,,1.04,0.60,3.91,1.59,0.92,0.39,0.00,0.00,0.77,1.18,1.11,1.08
HTH,2,2014,,1.89,6.08,4.74,3.55,0.26,0.20,1.54,0.01,0.51,m,m,m
HTH,2,,
'End of Data
