'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station HAIWEE (HWE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:30
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
HWE,2,1990,,0.50,0.13,0.00,0.19,0.00,0.01,0.10,0.05,0.90,0.02,0.05,0.00
HWE,2,1991,,0.13,1.04,3.52,0.00,0.00,0.00,0.03,0.00,0.45,0.20,0.42,1.71
HWE,2,1992,,1.02,4.89,2.23,0.55,0.38,0.00,0.15,0.14,0.00,0.28,0.02,2.33
HWE,2,1993,,2.51,1.38,1.23,0.00,0.00,0.02,0.00,0.00,0.00,0.15,0.06,0.05
HWE,2,1994,,0.14,1.58,0.55,0.55,0.19,0.00,0.00,0.00,0.10,0.13,0.04,0.29
HWE,2,1995,,7.30,0.63,2.84,0.01,0.63,0.00,0.50,0.00,0.00,0.00,0.00,1.13
HWE,2,1996,,0.65,1.23,0.45,0.10,0.29,0.08,0.16,0.00,0.00,0.39,0.46,1.73
HWE,2,1997,,0.58,0.01,0.00,0.00,0.03,0.49,0.86,0.00,2.37,0.00,0.26,1.79
HWE,2,1998,,0.34,5.99,0.56,0.66,0.52,0.11,0.77,0.07,0.10,0.05,0.05,0.05
HWE,2,1999,,1.23,0.09,0.73,1.10,0.12,0.00,1.43,0.00,0.10,0.00,0.00,0.00
HWE,2,2000,,0.21,2.35,1.56,0.19,0.00,0.00,0.00,0.10,0.00,0.15,0.00,0.00
HWE,2,2001,,2.29,2.57,0.74,0.11,0.18,0.00,0.55,0.00,0.00,0.00,1.07,0.23
HWE,2,2002,,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,3.36,1.93
HWE,2,2003,,0.02,1.69,0.25,0.17,0.27,0.00,0.22,1.64,0.21,0.00,0.89,0.18
HWE,2,2004,,0.05,2.79,0.23,0.14,0.00,0.00,0.00,0.34,0.00,1.25,0.35,2.80
HWE,2,2005,,3.94,4.49,0.38,0.36,0.03,0.00,0.00,0.53,1.12,1.16,0.00,0.75
HWE,2,2006,,1.65,0.79,0.78,0.91,0.23,0.50,0.39,0.00,0.00,0.37,0.00,0.13
HWE,2,2007,,0.06,0.27,0.00,1.21,0.00,0.00,0.00,0.02,0.11,0.02,0.00,0.31
HWE,2,2008,,4.14,1.00,0.00,0.00,0.01,0.00,0.27,0.14,0.18,0.00,0.16,0.91
HWE,2,2009,,0.28,1.36,0.12,0.00,0.00,0.39,0.32,0.00,0.00,0.23,0.00,1.44
HWE,2,2010,,4.00,1.93,0.00,0.34,0.12,0.00,0.02,0.06,0.00,1.12,0.14,5.01
HWE,2,2011,,0.26,1.03,2.15,0.00,0.03,0.00,0.08,0.02,0.08,0.31,0.44,0.24
HWE,2,2012,,1.69,0.02,0.20,0.03,0.00,0.00,0.12,0.00,0.00,0.00,0.05,0.15
HWE,2,2013,,0.38,0.00,0.10,0.01,0.05,0.00,1.31,m,0.02,0.04,0.18,0.23
HWE,2,2014,,0.00,0.22,1.38,0.00,0.09,0.00,0.11,0.50,0.03,m,m,m
HWE,2,,
'End of Data
