'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station IMPERIAL VALLEY (IMP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:30
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
IMP,2,1990,,0.14,0.02,0.06,0.05,0.00,0.00,0.00,0.89,0.09,0.21,0.00,0.00
IMP,2,1991,,0.54,0.62,0.72,0.00,0.00,0.00,0.47,0.00,0.59,0.02,0.35,1.26
IMP,2,1992,,0.37,0.95,1.85,0.08,0.17,0.00,0.00,0.02,0.00,0.45,0.00,1.36
IMP,2,1993,,3.45,0.84,0.15,0.00,0.03,0.00,0.00,0.03,0.00,0.03,0.80,0.03
IMP,2,1994,,0.06,0.49,0.64,0.00,0.72,0.00,0.00,0.08,0.02,0.00,0.26,0.78
IMP,2,1995,,1.50,0.21,0.07,0.29,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.05
IMP,2,1996,,0.00,0.15,0.04,0.00,0.00,0.00,0.57,0.01,0.00,0.00,0.03,0.02
IMP,2,1997,,0.49,0.01,0.00,0.02,0.08,0.01,0.00,0.00,2.11,0.00,0.01,0.92
IMP,2,1998,,0.15,1.08,0.73,0.00,0.00,0.00,0.00,0.06,1.08,0.00,0.04,0.12
IMP,2,1999,,0.00,0.29,0.00,0.47,0.00,0.00,0.73,0.18,0.34,0.00,0.00,0.00
IMP,2,2000,,0.00,0.19,0.09,0.00,0.00,0.00,0.00,0.08,0.40,0.52,0.03,0.00
IMP,2,2001,,0.30,0.75,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
IMP,2,2002,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.27,0.01
IMP,2,2003,,0.01,0.99,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.02
IMP,2,2004,,0.09,1.27,0.26,0.43,0.00,0.00,0.00,0.00,0.00,0.93,0.84,0.65
IMP,2,2005,,0.93,1.08,0.16,0.00,0.00,0.00,0.08,0.41,0.02,1.08,0.00,0.00
IMP,2,2006,,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.00,0.00
IMP,2,2007,,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.44,0.00,1.03,0.04
IMP,2,2008,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,m,0.00,0.00,0.04,0.98
IMP,2,2009,,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
IMP,2,2010,,2.09,0.55,0.66,0.10,0.00,0.00,0.02,0.16,0.06,1.37,0.00,0.47
IMP,2,2011,,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.13,0.30
IMP,2,2012,,0.00,0.17,0.00,0.06,0.00,0.00,1.01,m,0.02,0.00,0.00,0.43
IMP,2,2013,,0.57,0.01,0.03,0.00,0.00,0.00,0.05,0.57,0.53,0.01,0.95,0.00
IMP,2,2014,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.53,0.07,m,m,m
IMP,2,,
'End of Data
