'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station INDEPENDENCE (IPN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:30
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
IPN,2,1990,,0.29,0.00,0.00,0.15,0.02,0.00,0.00,0.05,0.34,0.00,0.00,0.00
IPN,2,1991,,0.00,0.61,4.57,0.00,0.00,0.00,0.00,0.04,0.08,0.39,0.06,0.42
IPN,2,1992,,0.14,1.45,0.89,0.27,0.08,0.02,0.06,0.00,0.00,1.08,0.00,0.53
IPN,2,1993,,2.75,2.63,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.12,0.04
IPN,2,1994,,0.00,0.54,0.54,0.10,0.35,0.00,0.00,0.00,0.33,0.01,0.06,0.33
IPN,2,1995,,4.15,0.61,3.08,0.10,0.35,0.12,0.01,0.00,0.10,0.00,0.00,1.51
IPN,2,1996,,0.85,3.83,0.39,0.39,0.06,0.00,0.40,0.00,0.00,0.42,2.47,1.57
IPN,2,1997,,2.72,0.00,0.00,0.00,0.00,1.35,0.48,0.00,0.78,0.01,0.29,0.81
IPN,2,1998,,0.79,4.97,0.32,0.63,0.18,1.25,0.00,0.00,0.65,0.02,0.01,0.00
IPN,2,1999,,1.13,0.12,0.20,0.06,0.12,0.00,0.12,0.13,0.02,0.00,0.03,0.00
IPN,2,2000,,0.62,0.38,0.28,0.01,0.00,0.01,0.00,0.24,0.00,0.09,0.00,0.00
IPN,2,2001,,0.66,0.76,0.67,0.06,0.37,0.00,0.41,0.00,0.00,0.00,0.89,0.40
IPN,2,2002,,0.01,0.00,0.08,0.20,0.00,0.00,0.02,0.00,0.01,0.00,5.03,1.16
IPN,2,2003,,0.02,1.81,0.32,0.05,0.47,0.01,0.36,0.21,0.17,0.00,0.32,0.44
IPN,2,2004,,0.35,1.40,0.21,0.13,0.01,0.01,0.05,0.11,0.00,0.51,1.25,1.94
IPN,2,2005,,2.96,1.80,0.33,0.07,0.00,0.00,0.03,0.21,0.64,0.30,0.02,2.01
IPN,2,2006,,3.69,0.30,0.13,0.35,0.00,0.21,0.12,0.00,0.00,0.01,0.00,0.01
IPN,2,2007,,0.42,0.71,0.05,0.10,0.00,0.00,0.00,0.24,0.12,0.01,0.04,1.30
IPN,2,2008,,3.65,0.17,0.00,0.00,0.01,0.00,0.10,0.00,0.09,0.00,0.33,0.69
IPN,2,2009,,0.06,0.83,0.07,0.01,0.00,0.32,0.02,0.05,0.02,1.38,0.00,1.55
IPN,2,2010,,1.22,0.86,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.20,0.20,7.21
IPN,2,2011,,0.03,0.27,0.19,0.07,0.09,0.00,0.06,0.00,0.15,1.06,0.42,0.00
IPN,2,2012,,2.70,0.00,0.04,0.02,0.00,0.00,0.00,0.15,0.04,0.47,0.00,0.56
IPN,2,2013,,0.00,0.00,0.00,0.00,0.14,0.00,1.63,m,0.13,0.95,0.04,0.04
IPN,2,2014,,0.18,0.43,0.82,0.11,0.06,0.00,0.46,1.00,0.07,m,m,m
IPN,2,,
'End of Data
