'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ISABELLA DAM (ISB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:31
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ISB,2,1990,,1.33,1.00,0.67,0.43,0.26,0.02,0.00,0.00,0.35,0.01,0.60,0.74
ISB,2,1991,,0.99,1.17,6.43,0.00,0.09,0.00,0.00,0.01,0.19,0.54,1.30,1.44
ISB,2,1992,,1.02,3.10,1.68,0.00,0.12,0.00,0.00,0.00,0.00,0.94,0.00,2.80
ISB,2,1993,,4.09,4.15,0.79,0.00,0.00,0.56,0.00,0.00,0.00,0.12,1.52,1.05
ISB,2,1994,,0.66,3.10,0.76,0.85,0.16,0.00,0.00,0.00,0.04,0.01,0.96,0.71
ISB,2,1995,,9.16,1.35,3.83,0.06,0.55,0.40,0.00,0.51,0.00,0.00,0.00,1.79
ISB,2,1996,,4.36,5.02,1.47,0.53,0.00,0.00,0.00,0.00,0.00,0.68,2.38,4.29
ISB,2,1997,,3.90,0.13,0.00,0.00,0.00,0.00,0.08,0.00,1.02,0.40,1.68,1.69
ISB,2,1998,,2.72,10.60,2.87,0.52,1.60,0.00,0.00,0.00,0.09,0.12,0.75,0.60
ISB,2,1999,,3.75,0.51,0.54,1.45,0.98,0.00,0.04,0.00,0.39,0.00,0.18,0.00
ISB,2,2000,,1.55,3.89,0.79,0.56,0.10,0.00,0.00,0.07,0.00,0.51,0.14,0.23
ISB,2,2001,,2.28,3.16,0.15,1.86,0.00,0.00,0.42,0.00,0.00,0.57,3.11,2.37
ISB,2,2002,,0.39,0.32,1.09,0.03,0.28,0.00,0.11,0.00,0.00,0.00,5.76,2.65
ISB,2,2003,,0.01,1.70,1.24,0.75,0.56,0.00,0.29,0.78,0.56,0.18,0.71,2.04
ISB,2,2004,,1.09,3.15,0.46,0.05,0.00,0.00,0.00,0.00,0.00,1.98,0.39,2.86
ISB,2,2005,,6.03,0.99,2.01,0.72,0.68,0.00,0.00,1.03,0.51,1.11,0.06,3.63
ISB,2,2006,,3.10,1.38,2.21,0.93,0.02,0.00,1.68,0.00,0.00,0.19,0.06,2.68
ISB,2,2007,,0.57,1.40,0.68,0.20,0.00,0.00,0.00,0.00,0.42,0.06,0.10,1.56
ISB,2,2008,,4.00,5.96,0.02,0.00,0.02,0.00,0.11,0.00,0.08,0.08,2.26,2.92
ISB,2,2009,,0.44,2.25,1.25,0.11,0.91,0.07,0.00,0.00,0.00,0.31,0.12,4.32
ISB,2,2010,,3.35,2.96,0.66,1.09,0.11,0.00,0.00,0.00,0.00,0.88,1.66,11.82
ISB,2,2011,,0.76,1.16,1.91,0.09,0.86,0.00,0.52,0.00,0.34,1.00,1.76,0.00
ISB,2,2012,,1.76,0.34,1.62,1.51,0.09,0.07,0.01,0.03,0.00,0.11,0.21,1.85
ISB,2,2013,,0.59,3.04,0.55,0.42,0.25,0.00,0.12,0.57,0.00,0.24,0.83,1.04
ISB,2,2014,,0.37,2.68,0.96,1.19,0.14,0.04,0.00,0.10,0.00,m,m,m
ISB,2,,
'End of Data
