'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station JUNCAL DAM (JNL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:31
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
JNL,2,1990,,6.41,4.30,1.00,0.29,0.83,0.00,0.00,0.00,0.18,0.00,0.50,0.05
JNL,2,1991,,1.66,4.06,25.61,0.00,0.00,0.50,0.03,0.00,0.00,0.52,0.11,7.97
JNL,2,1992,,3.33,20.07,9.40,0.35,0.28,0.00,0.92,0.00,0.00,2.10,0.00,11.03
JNL,2,1993,,22.53,19.09,9.51,0.00,0.48,0.65,0.00,0.00,0.00,0.11,1.73,2.65
JNL,2,1994,,1.70,10.26,3.19,0.58,0.70,0.00,0.00,0.00,0.49,2.65,1.57,2.08
JNL,2,1995,,41.48,4.02,20.06,0.60,2.79,0.27,0.00,0.00,0.00,0.00,0.65,2.51
JNL,2,1996,,2.99,11.06,2.55,1.09,0.34,0.00,0.00,0.00,0.00,5.35,2.36,8.66
JNL,2,1997,,7.39,0.09,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,3.82,10.41
JNL,2,1998,,7.17,37.50,6.02,4.31,7.10,0.37,0.00,0.00,0.38,0.08,0.93,0.71
JNL,2,1999,,4.05,2.75,3.90,3.08,0.04,0.22,0.00,0.00,0.02,0.00,1.57,0.00
JNL,2,2000,,2.61,15.18,3.75,5.05,0.01,0.00,0.00,0.00,0.01,3.31,0.00,0.20
JNL,2,2001,,7.39,9.16,10.36,2.69,0.00,0.00,0.00,0.00,0.00,0.55,4.52,3.22
JNL,2,2002,,1.39,0.48,0.75,0.15,0.10,0.00,0.00,0.00,0.14,0.00,5.17,4.94
JNL,2,2003,,0.06,4.75,5.05,4.68,2.92,0.00,0.05,0.00,0.00,0.00,2.43,2.70
JNL,2,2004,,1.11,9.49,0.52,0.00,0.00,0.00,0.00,0.00,0.00,2.89,0.28,16.94
JNL,2,2005,,25.89,15.23,3.45,0.00,1.19,0.00,0.00,0.00,0.00,1.32,1.55,1.03
JNL,2,2006,,10.14,5.49,5.64,10.82,1.55,0.00,0.00,0.00,0.00,0.26,0.39,1.51
JNL,2,2007,,3.33,3.15,0.08,0.68,0.00,0.00,0.00,0.00,0.48,0.29,0.10,4.90
JNL,2,2008,,24.04,2.55,0.00,0.14,0.27,0.00,0.00,0.12,0.00,0.06,2.62,3.02
JNL,2,2009,,1.05,7.85,0.75,0.25,0.05,0.10,0.00,0.00,0.00,6.96,0.00,4.31
JNL,2,2010,,9.79,6.16,0.48,3.96,0.13,0.00,0.00,0.00,0.00,1.95,2.45,14.04
JNL,2,2011,,1.73,5.09,10.64,0.08,1.18,0.52,m,0.00,0.00,1.04,2.47,0.36
JNL,2,2012,,1.08,0.34,6.23,3.86,0.00,0.00,0.00,0.00,0.00,0.50,3.54,5.00
JNL,2,2013,,1.44,0.25,1.01,0.05,0.43,m,m,m,m,0.41,0.93,0.33
JNL,2,2014,,1.12,4.36,0.93,1.24,0.17,m,m,m,m,m,m,m
JNL,2,,
'End of Data
