'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station JESS VALLEY (JSV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:31
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
JSV,2,1990,,2.06,2.73,1.93,1.25,2.60,0.50,0.00,0.18,0.00,0.64,1.59,2.06
JSV,2,1991,,1.38,1.54,3.42,3.01,5.38,1.01,0.42,0.40,0.30,1.97,1.34,1.14
JSV,2,1992,,0.40,1.04,3.81,1.06,0.93,2.47,0.14,0.25,0.00,1.86,2.28,2.96
JSV,2,1993,,2.14,2.02,2.11,2.12,2.15,3.84,0.32,0.02,0.22,1.75,1.25,1.58
JSV,2,1994,,0.50,0.00,0.70,1.61,3.86,0.72,0.12,0.00,0.38,0.50,2.00,2.00
JSV,2,1995,,2.50,1.80,3.05,4.01,3.33,3.14,0.47,0.00,0.00,0.19,0.10,6.74
JSV,2,1996,,4.69,2.09,2.16,1.82,2.48,1.41,0.00,1.34,m,2.24,2.08,3.09
JSV,2,1997,,2.47,1.00,1.10,2.14,1.18,1.94,1.14,0.21,0.45,0.60,1.53,1.35
JSV,2,1998,,3.97,1.32,2.66,2.15,6.80,3.40,1.78,0.25,2.05,0.95,3.61,1.06
JSV,2,1999,,2.10,2.42,1.78,1.29,1.15,1.49,0.00,1.54,0.05,m,m,m
JSV,2,2000,,m,m,m,m,m,m,m,m,m,m,m,m
JSV,2,2001,,0.97,0.67,1.33,2.36,0.13,0.45,1.36,0.00,0.78,0.33,2.31,2.78
JSV,2,2002,,1.34,2.09,1.61,2.56,0.65,0.34,0.55,0.00,0.03,0.25,1.45,1.18
JSV,2,2003,,1.01,1.07,2.87,4.08,2.86,0.61,0.16,1.92,0.65,0.09,3.21,3.90
JSV,2,2004,,1.74,2.07,0.74,0.85,3.54,0.81,0.11,0.94,0.53,2.55,2.67,0.88
JSV,2,2005,,0.75,1.00,2.21,3.68,7.38,0.54,0.64,0.00,0.29,1.06,3.11,3.34
JSV,2,2006,,2.74,1.43,2.31,2.76,1.52,0.83,0.00,0.02,0.08,1.42,2.99,1.25
JSV,2,2007,,0.51,1.71,1.13,3.55,0.55,1.12,0.00,0.11,1.66,2.34,1.19,2.36
JSV,2,2008,,2.73,0.93,1.75,1.71,3.39,0.81,0.00,0.05,0.22,0.57,1.85,3.02
JSV,2,2009,,2.14,0.77,1.42,3.19,0.58,5.49,0.00,1.05,0.00,1.14,1.80,1.35
JSV,2,2010,,1.27,0.50,1.82,2.75,2.51,1.05,0.00,0.99,0.54,4.50,1.74,3.65
JSV,2,2011,,0.77,1.59,3.08,4.78,2.97,2.17,0.00,0.00,0.77,1.06,1.03,0.30
JSV,2,2012,,1.50,1.38,1.41,1.91,1.13,0.98,0.02,0.05,0.02,0.78,1.33,4.20
JSV,2,2013,,2.07,0.53,0.42,2.43,3.24,1.96,0.16,1.23,1.30,0.48,0.96,0.35
JSV,2,2014,,0.50,2.89,4.03,2.10,0.94,0.69,0.90,1.25,0.39,m,m,m
JSV,2,,
'End of Data
