'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station KERN PH 3 (KP3), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:31
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
KP3,2,1990,,1.59,1.44,0.46,0.65,0.48,0.07,0.00,0.13,0.24,0.00,0.57,0.68
KP3,2,1991,,0.92,0.99,8.81,0.05,0.18,0.00,0.01,0.03,0.15,0.49,0.95,1.22
KP3,2,1992,,1.18,3.60,1.40,0.00,0.31,0.02,0.02,0.00,0.00,1.25,0.00,3.44
KP3,2,1993,,5.15,4.80,0.95,0.00,0.00,0.68,0.00,0.00,0.00,0.11,1.67,1.18
KP3,2,1994,,0.83,3.72,1.02,0.79,0.19,0.00,0.15,0.00,0.07,0.38,1.46,0.70
KP3,2,1995,,8.84,1.65,5.28,0.65,0.47,0.29,0.00,0.21,0.00,0.00,0.00,2.00
KP3,2,1996,,4.08,4.76,2.04,0.83,0.00,0.00,0.16,0.11,0.00,0.59,2.67,3.73
KP3,2,1997,,6.40,0.07,0.00,0.03,0.00,0.00,0.47,0.00,0.78,0.40,2.02,3.02
KP3,2,1998,,2.82,10.55,2.08,1.23,1.35,0.62,0.00,0.01,0.01,0.12,0.98,0.40
KP3,2,1999,,4.00,0.60,0.58,1.44,0.32,0.02,0.05,0.01,0.02,0.00,0.26,0.00
KP3,2,2000,,2.01,3.68,1.56,0.72,1.02,0.00,0.00,0.08,0.00,0.98,0.13,0.24
KP3,2,2001,,2.51,2.12,0.12,1.82,0.00,0.00,0.50,0.00,0.00,0.64,2.66,3.09
KP3,2,2002,,0.46,0.26,1.54,0.10,0.46,0.52,0.00,0.00,0.04,0.00,6.55,2.99
KP3,2,2003,,0.12,2.09,1.29,0.91,0.89,0.00,0.20,0.57,0.62,0.00,1.30,1.09
KP3,2,2004,,0.23,3.28,0.39,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.20,3.09
KP3,2,2005,,5.80,1.86,2.36,1.10,0.73,0.00,0.00,0.84,0.75,0.82,0.00,2.29
KP3,2,2006,,4.09,1.29,3.36,1.96,0.09,0.00,0.37,0.00,0.05,0.28,0.00,2.07
KP3,2,2007,,0.43,1.57,0.43,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.02,2.42
KP3,2,2008,,2.97,1.86,0.00,0.00,0.35,0.00,0.40,0.00,0.00,0.20,2.10,1.89
KP3,2,2009,,0.85,3.15,1.37,0.04,0.41,0.19,0.00,0.00,0.00,0.78,0.00,2.56
KP3,2,2010,,3.78,3.03,0.66,1.93,0.11,0.00,0.00,0.00,0.00,0.00,1.73,12.50
KP3,2,2011,,2.92,1.20,2.33,0.10,0.76,0.01,0.00,0.19,0.00,0.73,0.35,0.39
KP3,2,2012,,0.59,0.26,1.44,1.10,0.00,0.00,0.00,0.00,0.00,0.14,0.18,2.69
KP3,2,2013,,1.32,0.38,0.46,0.19,m,m,m,m,0.00,0.48,0.22,0.61
KP3,2,2014,,0.32,2.38,0.87,0.80,0.08,0.00,0.00,0.30,0.00,m,m,m
KP3,2,,
'End of Data
