'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station KERN R INTAKE NO. 3 (KR3), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:32
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
KR3,2,1990,,2.50,2.84,0.69,0.04,1.01,0.15,0.00,0.18,0.00,0.00,0.62,0.64
KR3,2,1991,,1.72,0.98,11.47,1.37,0.20,0.00,0.00,0.00,0.00,1.48,1.08,1.53
KR3,2,1992,,4.13,4.54,0.66,0.00,0.11,0.00,0.05,0.31,0.00,0.25,2.33,3.03
KR3,2,1993,,10.58,3.36,1.68,0.92,0.00,1.21,0.00,0.00,0.00,0.19,1.72,1.41
KR3,2,1994,,1.20,5.56,1.55,1.42,0.43,0.00,0.02,0.00,0.00,1.09,2.05,2.29
KR3,2,1995,,12.87,0.33,7.58,0.52,2.02,0.35,0.00,0.00,0.00,0.00,0.00,3.38
KR3,2,1996,,6.04,7.29,2.78,0.70,0.19,0.00,0.13,0.42,0.00,2.58,0.24,6.28
KR3,2,1997,,12.23,0.00,0.21,0.03,0.00,0.00,0.89,0.00,0.53,0.37,0.87,5.30
KR3,2,1998,,2.96,14.51,3.24,2.07,2.28,0.27,0.00,0.45,0.05,0.20,0.94,0.45
KR3,2,1999,,4.55,1.32,0.92,1.44,0.09,0.00,0.74,0.03,0.08,0.00,0.00,0.00
KR3,2,2000,,3.01,7.12,1.96,1.24,0.64,0.00,0.00,0.24,0.01,1.21,0.60,0.11
KR3,2,2001,,3.98,4.16,0.42,3.04,0.00,0.00,0.90,0.00,0.00,0.73,4.33,5.58
KR3,2,2002,,1.19,0.62,1.67,0.00,0.82,0.23,0.00,0.00,0.04,0.13,9.60,4.32
KR3,2,2003,,0.07,3.93,2.01,1.30,1.80,0.00,1.48,0.92,0.26,0.00,1.08,1.56
KR3,2,2004,,2.11,4.08,0.74,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.10,3.20
KR3,2,2005,,8.98,1.93,2.48,1.27,0.00,0.00,0.15,0.67,0.71,0.05,0.33,3.55
KR3,2,2006,,6.33,1.90,3.50,3.31,0.06,0.21,1.54,0.00,0.00,0.08,0.03,2.60
KR3,2,2007,,0.52,1.88,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,4.01
KR3,2,2008,,3.84,6.17,0.04,0.00,0.00,0.00,0.61,0.00,0.00,0.07,2.26,3.98
KR3,2,2009,,1.00,4.34,1.37,0.86,1.02,0.25,0.00,0.00,0.00,2.87,0.00,4.25
KR3,2,2010,,5.75,4.01,1.68,2.41,0.23,0.00,0.00,0.00,0.00,0.54,1.80,12.47
KR3,2,2011,,2.92,2.36,4.46,0.00,m,m,m,m,m,2.07,1.13,0.00
KR3,2,2012,,3.58,0.63,2.37,2.31,0.00,0.00,0.00,0.06,0.00,0.34,0.76,2.51
KR3,2,2013,,0.00,0.16,0.05,0.20,m,m,m,m,m,0.72,0.11,0.57
KR3,2,2014,,0.65,3.13,1.49,1.01,0.01,m,m,m,m,m,m,m
KR3,2,,
'End of Data
