'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LOS ANGELES-WSO AIRPORT (LAN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:32
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LAN,2,1990,,1.18,2.60,0.14,0.34,0.83,0.00,0.00,0.02,0.00,0.00,0.10,0.03
LAN,2,1991,,1.38,2.53,3.96,0.00,0.00,0.00,0.17,0.00,0.09,0.06,0.00,2.86
LAN,2,1992,,1.61,4.70,5.08,0.18,0.04,0.00,0.32,0.00,0.00,0.50,0.00,4.16
LAN,2,1993,,10.63,5.48,1.83,0.00,0.00,0.74,0.00,0.00,0.00,0.09,0.93,0.97
LAN,2,1994,,0.33,4.36,1.01,0.44,0.08,0.00,0.00,0.00,0.00,0.14,0.66,1.00
LAN,2,1995,,12.71,0.62,5.67,0.74,0.61,0.60,0.00,0.00,0.00,0.01,0.10,2.16
LAN,2,1996,,1.94,4.19,1.36,0.41,0.05,0.00,0.00,0.00,0.00,1.46,1.84,4.74
LAN,2,1997,,5.13,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,2.68,3.67
LAN,2,1998,,3.62,13.79,3.24,1.55,2.46,0.10,0.00,0.01,0.01,0.00,1.89,0.58
LAN,2,1999,,1.17,0.50,2.12,2.23,0.00,0.57,0.00,0.00,0.00,0.00,0.30,0.00
LAN,2,2000,,0.87,4.71,2.40,1.88,0.00,0.01,0.00,0.03,0.04,1.15,0.00,0.00
LAN,2,2001,,4.72,7.31,1.29,1.12,0.02,0.00,0.00,0.02,0.00,0.04,1.35,1.25
LAN,2,2002,,0.75,0.37,0.27,0.02,0.11,0.05,0.00,0.00,0.08,0.05,1.60,1.78
LAN,2,2003,,0.00,3.78,1.66,0.49,0.96,0.00,0.02,0.00,0.00,0.71,0.80,1.14
LAN,2,2004,,0.49,4.61,0.77,0.03,0.04,0.00,0.00,0.00,0.00,3.78,0.11,6.49
LAN,2,2005,,6.87,6.95,1.08,0.94,0.33,0.00,0.00,0.00,0.25,1.02,0.47,0.95
LAN,2,2006,,1.42,2.03,2.52,1.63,0.60,0.01,0.10,0.01,0.00,0.00,0.25,0.61
LAN,2,2007,,0.39,0.82,0.09,0.36,0.00,0.00,0.01,0.00,0.49,0.69,0.50,1.59
LAN,2,2008,,4.67,2.17,0.03,0.03,0.11,0.00,0.00,0.00,0.00,0.00,1.50,2.51
LAN,2,2009,,0.51,3.41,0.05,0.00,0.00,0.15,0.00,0.00,0.00,1.31,0.00,2.05
LAN,2,2010,,4.30,3.23,0.21,1.25,0.08,0.00,0.00,0.00,0.00,1.56,0.59,8.83
LAN,2,2011,,0.81,1.47,4.04,0.00,0.53,0.02,0.00,0.00,0.01,0.63,1.69,0.67
LAN,2,2012,,1.19,0.12,1.78,1.51,0.01,0.00,0.00,0.00,0.00,0.15,1.31,2.82
LAN,2,2013,,1.30,0.20,0.66,0.06,0.39,0.00,0.03,0.00,0.00,0.02,0.69,0.30
LAN,2,2014,,0.00,2.79,0.36,0.26,0.00,0.00,0.14,0.03,0.02,m,m,m
LAN,2,,
'End of Data
