'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LOS ANGELES CIVIC CENTER (LCC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:32
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LCC,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
LCC,2,1996,,m,m,m,m,m,m,m,m,m,1.06,1.59,2.88
LCC,2,1997,,5.58,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,2.06,2.52
LCC,2,1998,,4.12,13.68,4.06,0.97,3.10,0.05,0.00,0.00,0.01,0.00,1.32,0.54
LCC,2,1999,,1.85,0.56,1.24,2.57,0.02,0.98,0.00,0.00,0.00,0.00,0.44,0.40
LCC,2,2000,,0.88,5.54,2.82,1.49,0.00,0.00,0.00,0.07,0.15,0.98,0.00,0.00
LCC,2,2001,,5.59,8.87,1.17,1.11,0.00,0.00,0.00,0.00,0.00,0.06,1.41,1.38
LCC,2,2002,,0.80,0.29,0.32,0.09,0.05,0.01,0.00,0.00,0.00,0.05,2.36,3.32
LCC,2,2003,,0.00,4.64,4.31,0.71,1.02,0.01,0.00,0.00,0.00,0.53,0.80,1.35
LCC,2,2004,,0.47,4.89,1.17,0.04,0.00,0.00,0.00,0.00,0.00,4.56,0.20,8.77
LCC,2,2005,,9.32,11.02,2.14,1.05,0.19,0.00,0.00,0.00,0.29,1.35,0.22,1.03
LCC,2,2006,,2.06,2.37,2.87,2.15,0.85,0.00,0.00,0.00,0.00,0.34,0.16,0.81
LCC,2,2007,,0.19,0.92,0.05,0.74,0.00,0.00,0.00,0.00,0.52,0.95,0.56,1.73
LCC,2,2008,,7.97,1.64,0.01,0.04,0.11,0.00,0.00,0.00,0.00,0.02,1.85,2.79
LCC,2,2009,,0.34,3.57,0.33,0.03,0.00,0.15,0.00,0.00,0.00,2.07,0.01,2.89
LCC,2,2010,,4.94,4.27,0.48,1.65,0.05,0.00,0.00,0.00,0.00,0.94,0.53,10.23
LCC,2,2011,,0.79,3.29,3.96,0.00,0.45,0.00,0.00,0.00,0.00,1.17,1.58,1.01
LCC,2,2012,,1.30,0.16,1.75,1.71,0.01,0.00,0.01,0.00,0.00,0.02,1.03,2.16
LCC,2,2013,,1.18,0.20,0.54,0.00,0.71,0.00,0.09,0.00,0.00,0.06,0.62,0.20
LCC,2,2014,,0.00,3.58,1.18,0.35,0.00,0.00,0.00,0.04,0.01,m,m,m
LCC,2,,
'End of Data
