'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LODGEPOLE (LDG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:33
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LDG,2,1990,,6.41,6.54,3.03,0.50,1.27,0.08,0.02,0.15,0.73,0.15,0.74,2.15
LDG,2,1991,,1.62,1.10,26.37,0.48,1.63,0.43,0.00,0.54,0.16,4.54,2.36,2.37
LDG,2,1992,,1.97,8.30,3.94,0.06,0.10,0.08,3.21,0.18,0.11,5.24,0.00,9.53
LDG,2,1993,,14.22,13.46,4.05,0.88,0.08,3.58,0.00,0.02,0.00,0.81,3.47,2.86
LDG,2,1994,,1.72,11.80,1.38,3.15,1.38,0.00,0.44,0.05,0.83,2.21,6.47,3.25
LDG,2,1995,,17.96,3.11,17.74,2.79,4.02,2.71,0.64,0.03,0.04,0.00,0.03,8.22
LDG,2,1996,,10.47,17.74,6.48,7.26,2.33,0.41,0.35,0.07,0.01,2.25,10.17,18.34
LDG,2,1997,,25.25,0.94,0.21,0.25,0.20,0.83,0.71,0.00,1.25,1.18,4.01,5.87
LDG,2,1998,,9.93,19.15,6.32,5.21,4.84,4.96,0.05,0.07,3.17,0.66,3.82,3.33
LDG,2,1999,,7.23,4.37,3.29,3.76,0.51,0.52,0.92,0.09,1.07,0.04,2.63,0.24
LDG,2,2000,,13.07,16.16,3.99,2.44,1.94,0.66,0.00,0.50,0.56,6.54,0.51,0.62
LDG,2,2001,,7.05,10.16,1.23,7.33,0.09,0.00,1.57,0.00,0.00,1.62,8.61,10.24
LDG,2,2002,,3.87,1.91,7.66,1.45,1.58,0.05,0.00,0.00,0.03,0.33,11.63,8.86
LDG,2,2003,,0.48,5.50,7.33,6.14,3.92,0.00,2.88,0.42,0.73,0.00,3.06,13.16
LDG,2,2004,,5.68,9.32,1.29,1.04,0.15,0.00,0.46,0.00,0.11,7.62,0.56,4.37
LDG,2,2005,,12.37,4.79,7.32,2.70,4.57,0.01,0.00,0.00,1.32,0.20,0.55,11.81
LDG,2,2006,,12.80,6.82,12.19,11.26,1.04,0.00,0.13,0.00,0.00,1.14,1.01,4.89
LDG,2,2007,,0.36,8.29,2.70,1.76,0.31,0.00,0.00,0.02,0.80,0.71,0.80,7.31
LDG,2,2008,,15.24,10.70,1.71,0.01,1.21,0.00,1.50,0.00,0.27,1.17,4.93,6.04
LDG,2,2009,,5.47,10.99,2.93,2.03,1.91,0.67,0.02,0.41,0.02,8.05,0.59,10.23
LDG,2,2010,,8.00,8.71,4.45,9.26,1.62,0.00,0.41,0.00,0.00,3.17,6.46,27.04
LDG,2,2011,,3.56,7.77,13.50,2.60,3.48,1.06,1.78,0.06,0.60,4.48,2.02,0.04
LDG,2,2012,,7.45,1.66,5.62,6.31,0.01,0.11,0.00,0.28,0.00,1.43,3.97,12.21
LDG,2,2013,,2.30,1.10,1.24,0.69,1.14,0.00,m,m,0.41,1.42,0.51,1.68
LDG,2,2014,,1.31,4.78,4.09,4.20,1.13,0.00,0.75,0.39,1.15,m,m,m
LDG,2,,
'End of Data
