'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LAGUNA BEACH (LGB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:33
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LGB,2,1990,,m,m,0.18,1.08,1.45,0.05,0.00,0.00,0.00,0.00,0.85,0.18
LGB,2,1991,,0.94,3.40,5.39,0.06,0.00,0.00,0.01,0.00,0.00,0.04,0.00,1.94
LGB,2,1992,,1.52,6.34,5.86,0.20,0.00,0.00,0.58,0.00,0.00,0.79,0.06,4.95
LGB,2,1993,,8.64,5.65,1.90,0.00,0.00,0.88,0.01,0.00,0.00,0.16,1.13,0.81
LGB,2,1994,,0.88,3.42,2.42,0.65,0.35,0.00,0.00,0.00,0.00,0.35,0.45,1.33
LGB,2,1995,,8.20,2.20,4.57,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.05
LGB,2,1996,,2.44,5.01,1.42,0.22,0.00,0.00,0.25,0.00,0.00,1.60,3.20,5.15
LGB,2,1997,,5.57,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,2.97,7.60
LGB,2,1998,,2.83,14.12,3.64,2.02,1.17,0.26,0.00,0.00,0.50,0.04,1.57,0.84
LGB,2,1999,,2.23,1.77,1.40,1.33,0.00,0.30,0.01,0.00,0.00,0.00,0.12,0.04
LGB,2,2000,,0.65,4.23,0.64,1.30,0.10,0.00,0.00,0.00,0.19,2.19,0.12,0.00
LGB,2,2001,,4.41,6.84,0.43,1.56,0.15,0.20,0.00,0.00,0.00,0.00,1.61,1.35
LGB,2,2002,,0.30,0.30,1.07,0.15,0.10,0.05,0.00,0.05,0.00,0.00,1.54,2.84
LGB,2,2003,,0.00,6.00,4.04,1.97,1.11,0.18,0.16,0.00,0.00,0.00,0.26,0.20
LGB,2,2004,,0.04,0.45,1.03,0.13,1.58,0.44,0.63,1.10,0.00,5.67,0.71,4.18
LGB,2,2005,,6.92,7.86,0.92,1.60,0.17,0.17,0.00,0.00,0.20,0.32,0.25,0.55
LGB,2,2006,,1.00,1.10,2.79,1.77,0.50,0.00,0.00,0.00,0.00,0.00,0.17,1.07
LGB,2,2007,,0.79,1.17,0.24,0.60,0.00,0.00,0.00,0.00,1.04,0.21,1.68,0.60
LGB,2,2008,,1.13,2.52,0.02,0.13,0.22,0.00,0.00,0.00,0.00,0.00,1.93,0.31
LGB,2,2009,,0.06,3.18,0.07,0.05,0.07,0.09,0.00,0.00,0.00,0.36,0.01,0.40
LGB,2,2010,,0.89,2.84,0.15,0.99,0.03,0.04,0.16,0.01,0.00,3.07,0.63,11.05
LGB,2,2011,,0.72,1.37,2.12,0.24,0.36,0.04,0.00,m,0.03,0.23,0.87,0.28
LGB,2,2012,,0.78,1.04,0.75,1.34,0.15,0.00,0.53,0.00,0.03,0.61,0.64,2.03
LGB,2,2013,,1.28,0.34,0.69,0.02,0.30,0.07,0.06,0.00,0.01,1.91,0.48,0.29
LGB,2,2014,,0.00,0.76,1.11,m,m,m,m,m,m,m,m,m
LGB,2,,
'End of Data
