'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LAGUNITAS LAKE (LGT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:33
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LGT,2,1990,,7.10,4.54,2.55,0.69,7.68,0.00,0.00,0.00,0.00,0.18,0.85,2.53
LGT,2,1991,,1.40,5.50,22.19,1.72,0.41,0.39,0.00,0.33,0.03,5.53,1.68,4.86
LGT,2,1992,,2.91,13.17,7.73,1.66,0.00,1.87,0.04,0.09,0.00,4.20,0.64,15.26
LGT,2,1993,,20.46,11.15,4.17,4.09,1.79,0.80,0.00,0.00,0.00,1.18,4.90,6.46
LGT,2,1994,,4.23,9.70,0.75,2.45,1.97,0.15,0.00,0.00,0.02,0.83,16.27,8.20
LGT,2,1995,,31.46,1.39,20.20,4.28,3.20,1.00,0.00,0.00,0.00,0.00,0.47,15.23
LGT,2,1996,,32.08,18.98,3.99,7.31,4.53,0.10,0.00,0.00,0.11,1.75,6.53,23.71
LGT,2,1997,,15.52,0.57,1.88,0.97,0.45,0.34,0.00,1.12,0.33,2.60,14.63,5.66
LGT,2,1998,,22.24,29.75,4.53,4.41,6.01,0.02,0.00,0.00,0.03,1.39,11.18,2.44
LGT,2,1999,,9.15,16.50,7.36,4.74,0.22,0.10,0.00,0.00,0.06,1.38,4.58,0.84
LGT,2,2000,,11.48,21.13,3.08,3.81,2.71,0.19,0.03,0.00,0.11,4.42,1.73,1.77
LGT,2,2001,,8.77,12.91,2.89,0.88,0.00,0.66,0.00,0.00,0.18,1.19,14.24,22.50
LGT,2,2002,,6.39,3.50,5.12,0.68,1.18,0.00,0.00,0.00,0.00,0.00,4.81,29.61
LGT,2,2003,,6.07,4.25,3.16,6.09,2.72,0.00,0.01,0.00,0.01,0.25,4.98,18.64
LGT,2,2004,,7.50,12.98,1.67,1.32,0.10,0.00,0.00,0.00,0.25,3.81,3.06,19.50
LGT,2,2005,,8.00,9.00,12.50,3.60,2.75,0.42,0.00,0.00,0.01,0.73,3.20,27.13
LGT,2,2006,,8.08,5.41,16.43,11.57,0.48,0.00,0.00,0.00,0.00,0.50,4.96,8.90
LGT,2,2007,,0.97,16.46,0.56,2.84,1.12,0.00,0.00,0.00,0.04,4.16,0.89,7.70
LGT,2,2008,,22.05,5.63,0.29,0.39,0.09,0.00,0.00,0.00,0.00,2.14,5.59,4.77
LGT,2,2009,,1.08,19.28,5.76,1.27,3.04,0.01,0.00,0.00,0.20,9.63,1.20,6.52
LGT,2,2010,,12.23,9.35,8.40,8.24,2.47,0.00,0.00,0.00,0.01,7.43,5.36,16.40
LGT,2,2011,,3.30,9.08,19.84,m,m,3.47,0.00,0.00,0.02,3.40,5.06,0.24
LGT,2,2012,,8.21,2.67,17.60,2.97,0.17,0.17,0.04,0.00,0.02,3.97,12.53,16.75
LGT,2,2013,,1.26,0.81,1.41,1.63,0.06,1.87,0.00,0.03,1.11,0.02,1.46,1.17
LGT,2,2014,,0.01,21.34,5.80,2.28,0.18,0.00,0.04,0.00,0.67,m,m,m
LGT,2,,
'End of Data
