'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LEMON COVE (LMC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:34
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LMC,2,1990,,2.59,2.30,1.03,0.64,1.55,0.00,0.00,0.00,0.00,0.00,0.54,0.65
LMC,2,1991,,0.53,0.23,9.05,0.03,0.10,0.00,0.00,0.00,0.07,1.18,0.23,1.30
LMC,2,1992,,1.76,3.92,2.24,0.00,0.05,0.00,0.00,0.02,0.02,1.81,0.00,3.81
LMC,2,1993,,5.25,4.27,2.65,0.23,0.23,1.55,0.00,0.00,0.00,0.43,1.24,1.44
LMC,2,1994,,1.28,2.48,1.22,1.20,1.43,0.00,0.00,0.00,1.44,0.26,2.04,1.95
LMC,2,1995,,6.45,0.97,7.87,1.25,2.46,0.42,0.00,0.00,0.00,0.00,0.00,2.09
LMC,2,1996,,2.79,3.68,1.02,1.41,0.32,0.00,0.00,0.00,0.00,1.27,3.93,5.10
LMC,2,1997,,6.97,0.60,1.35,0.00,0.00,0.00,0.04,0.00,0.00,0.47,3.49,2.27
LMC,2,1998,,4.40,6.43,4.96,4.07,1.58,0.67,0.00,0.00,0.05,0.22,1.36,1.07
LMC,2,1999,,5.09,1.63,1.02,2.15,0.05,0.00,0.00,0.00,0.17,0.00,1.12,0.00
LMC,2,2000,,3.03,5.99,2.69,1.48,0.71,0.69,0.00,0.00,0.07,1.65,0.08,0.06
LMC,2,2001,,3.13,2.45,0.26,3.58,0.00,0.00,0.10,0.00,0.00,0.30,2.69,3.98
LMC,2,2002,,1.26,0.40,1.33,0.70,0.56,0.00,0.00,0.00,0.00,0.00,2.99,2.54
LMC,2,2003,,0.31,2.16,0.67,2.33,1.28,0.00,0.08,0.00,0.00,0.09,0.92,3.05
LMC,2,2004,,1.18,3.04,0.62,0.02,0.00,0.00,0.00,0.00,0.00,2.21,1.43,2.19
LMC,2,2005,,4.23,2.04,2.92,0.54,2.67,0.00,0.00,0.02,0.00,0.32,0.13,2.29
LMC,2,2006,,4.81,0.92,4.56,4.75,0.53,0.00,0.00,0.00,0.00,0.18,0.12,2.15
LMC,2,2007,,0.85,2.49,2.08,0.73,0.05,0.00,0.00,0.00,0.37,1.61,0.37,1.90
LMC,2,2008,,2.86,2.46,0.12,0.00,0.75,0.00,0.00,0.00,0.00,0.05,2.14,1.88
LMC,2,2009,,1.27,2.39,0.59,0.67,0.42,0.33,0.00,0.00,0.00,1.16,0.14,2.69
LMC,2,2010,,3.40,4.04,0.92,3.82,0.16,0.00,0.00,0.00,0.00,1.50,2.34,8.74
LMC,2,2011,,1.90,1.31,4.66,0.53,0.42,0.45,0.00,0.00,0.01,0.99,1.07,0.05
LMC,2,2012,,1.75,0.66,3.04,4.11,0.01,0.00,0.00,0.00,0.00,0.12,0.95,3.13
LMC,2,2013,,0.85,0.89,0.54,0.18,0.49,0.00,0.05,0.10,0.00,0.07,0.58,0.32
LMC,2,2014,,0.55,1.44,1.35,1.42,0.27,0.00,0.00,0.00,0.02,m,m,m
LMC,2,,
'End of Data
