'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LINDSAY (LND), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:34
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LND,2,1990,,2.25,1.53,0.78,0.58,0.26,0.00,0.00,0.00,0.07,0.03,0.36,0.43
LND,2,1991,,0.41,0.40,8.44,0.05,0.01,0.00,0.00,0.00,0.33,1.12,0.22,1.29
LND,2,1992,,1.91,3.54,1.43,0.00,0.03,0.00,0.00,0.00,0.00,1.35,0.00,3.52
LND,2,1993,,4.08,3.46,2.23,0.14,0.05,1.17,0.00,0.00,0.00,0.73,2.23,1.33
LND,2,1994,,0.85,2.31,0.97,2.25,1.05,0.00,0.00,0.00,0.47,0.93,2.14,1.56
LND,2,1995,,5.41,0.23,6.40,0.97,1.92,0.52,0.00,0.00,0.00,0.00,0.00,2.10
LND,2,1996,,2.73,3.43,1.45,0.71,0.19,0.19,0.00,0.00,0.00,1.38,2.34,4.60
LND,2,1997,,4.88,0.35,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.32,2.88,2.02
LND,2,1998,,3.74,5.84,5.15,2.63,1.33,0.37,0.00,0.00,0.05,0.44,0.82,0.97
LND,2,1999,,5.96,1.22,0.61,2.08,0.00,0.00,0.00,0.00,0.13,0.00,0.90,0.00
LND,2,2000,,1.99,5.27,1.84,1.92,0.56,0.31,0.00,0.01,0.00,1.39,0.02,0.04
LND,2,2001,,2.69,2.14,0.11,1.86,0.00,0.00,0.25,0.00,0.00,0.29,0.00,3.09
LND,2,2002,,1.23,0.25,1.36,0.71,0.18,0.00,0.00,0.00,0.00,0.00,2.98,2.53
LND,2,2003,,0.28,2.41,0.72,1.71,1.15,0.00,0.01,0.05,0.00,0.00,1.14,2.27
LND,2,2004,,1.05,2.99,0.89,0.30,0.00,0.00,0.00,0.00,0.00,1.85,0.96,1.21
LND,2,2005,,3.60,1.72,2.72,0.56,2.41,0.00,0.00,0.00,0.02,0.37,0.13,1.40
LND,2,2006,,2.49,0.64,3.18,4.96,0.42,0.00,0.00,0.00,0.00,0.21,0.01,1.85
LND,2,2007,,0.32,1.62,0.88,1.28,0.06,0.00,0.00,0.05,0.46,1.43,0.20,1.98
LND,2,2008,,3.07,2.63,0.03,0.00,0.47,0.00,0.00,0.00,0.00,0.02,1.70,1.61
LND,2,2009,,1.03,1.79,0.32,0.94,0.96,0.09,0.00,0.00,0.02,0.89,0.04,2.50
LND,2,2010,,3.24,2.56,0.62,2.76,0.19,0.00,0.08,0.00,0.00,0.88,2.27,8.11
LND,2,2011,,1.56,1.83,4.04,0.71,0.48,0.38,0.00,0.03,0.02,1.01,1.08,0.00
LND,2,2012,,1.45,0.34,2.27,3.85,0.00,0.00,0.00,0.00,0.00,0.06,0.94,2.24
LND,2,2013,,0.46,1.01,1.01,0.01,0.21,0.00,0.00,0.02,0.00,0.01,0.52,0.04
LND,2,2014,,0.43,1.30,0.80,1.17,0.26,0.00,0.00,0.00,0.04,m,m,m
LND,2,,
'End of Data
