'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LOS BANOS (LSB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:34
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LSB,2,1990,,1.54,1.19,0.47,0.25,1.87,0.00,0.00,0.00,0.08,0.13,0.39,0.53
LSB,2,1991,,0.20,1.44,3.36,0.46,0.30,0.05,0.00,0.21,0.00,0.48,0.26,0.77
LSB,2,1992,,1.09,3.35,2.15,0.00,0.00,0.01,0.52,0.00,0.00,0.30,0.02,1.66
LSB,2,1993,,5.02,3.36,2.01,0.04,0.52,0.38,0.00,0.00,0.00,0.14,0.53,0.83
LSB,2,1994,,1.60,2.58,0.16,m,1.17,0.00,0.00,0.00,0.10,0.37,1.22,0.66
LSB,2,1995,,5.77,0.43,3.79,0.87,0.63,0.12,0.03,0.00,0.00,0.00,0.00,2.02
LSB,2,1996,,2.33,3.45,1.47,0.71,0.90,0.06,0.00,0.00,0.00,1.46,1.77,3.54
LSB,2,1997,,4.60,0.23,0.03,0.28,0.15,0.00,0.00,0.00,0.00,0.08,2.68,2.29
LSB,2,1998,,3.41,8.08,2.08,1.16,3.87,0.43,0.00,0.00,0.00,0.66,0.94,0.45
LSB,2,1999,,1.25,1.50,1.44,0.71,0.08,0.00,0.00,0.00,0.00,0.00,0.46,0.33
LSB,2,2000,,2.89,2.65,0.63,1.18,0.14,0.14,0.00,0.00,0.09,2.58,0.22,0.16
LSB,2,2001,,1.88,1.81,1.30,0.83,0.00,0.00,0.00,0.00,0.10,0.27,1.15,2.20
LSB,2,2002,,0.82,0.16,0.84,0.14,0.20,0.00,0.00,0.00,0.05,0.00,1.17,3.47
LSB,2,2003,,0.58,1.16,0.70,0.81,0.47,0.00,0.00,0.08,0.00,0.04,0.92,2.49
LSB,2,2004,,1.23,2.72,0.39,0.05,0.00,0.00,0.00,0.00,0.07,2.14,3.52,1.65
LSB,2,2005,,1.85,2.51,1.54,0.72,1.41,0.07,0.00,0.04,0.14,0.09,0.17,2.11
LSB,2,2006,,2.88,0.80,2.16,1.55,0.79,0.00,0.00,0.00,0.00,0.21,0.34,0.63
LSB,2,2007,,0.55,1.28,0.11,0.48,0.02,0.00,0.00,0.00,0.80,0.48,0.30,1.29
LSB,2,2008,,2.94,1.08,0.00,0.01,0.12,0.00,0.00,0.00,0.00,0.03,0.55,1.16
LSB,2,2009,,1.61,1.93,0.32,0.06,0.28,0.01,0.00,0.00,0.01,1.30,0.34,1.68
LSB,2,2010,,2.62,2.06,0.62,2.59,0.18,0.04,0.00,0.00,0.00,0.54,1.55,3.92
LSB,2,2011,,1.61,1.53,2.32,0.09,0.34,0.70,0.00,0.00,0.00,0.64,0.88,0.12
LSB,2,2012,,0.33,0.10,1.54,0.90,0.00,0.26,0.00,0.00,0.03,0.04,0.69,2.71
LSB,2,2013,,0.93,0.16,0.32,0.53,0.00,0.00,0.00,0.00,0.00,0.03,0.31,0.25
LSB,2,2014,,0.32,1.75,1.08,0.65,0.00,0.00,0.00,0.00,0.00,m,m,m
LSB,2,,
'End of Data
