'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LAKE SPAULDING (PG&E) (LSP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:35
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LSP,2,1990,,8.91,8.05,4.92,3.29,5.49,0.30,0.06,0.16,1.18,1.30,1.87,2.36
LSP,2,1991,,1.00,4.19,28.60,3.38,5.63,2.42,0.00,0.50,0.16,5.48,4.67,4.72
LSP,2,1992,,2.74,15.34,5.94,2.57,0.10,3.72,0.25,0.02,0.00,8.29,1.62,21.28
LSP,2,1993,,22.50,15.35,9.99,4.72,5.22,2.82,0.00,0.43,0.08,2.85,4.93,9.33
LSP,2,1994,,3.68,11.86,1.72,4.72,2.91,0.32,0.00,0.00,2.18,0.79,15.17,13.62
LSP,2,1995,,34.42,2.65,34.38,12.52,8.55,3.44,0.26,0.00,0.00,0.00,1.79,18.53
LSP,2,1996,,19.12,19.69,10.55,8.74,12.57,0.62,0.32,0.00,1.64,2.63,11.49,42.86
LSP,2,1997,,33.75,2.22,3.55,2.80,1.24,3.17,0.00,0.71,0.69,4.40,9.56,6.93
LSP,2,1998,,22.90,24.53,9.68,9.04,8.44,1.65,0.00,0.00,1.60,1.85,16.99,6.94
LSP,2,1999,,15.05,21.84,7.36,5.30,2.16,0.49,0.44,0.43,0.05,3.55,6.78,1.70
LSP,2,2000,,20.92,24.81,4.11,3.58,4.06,1.09,0.00,0.00,1.73,6.45,2.18,4.26
LSP,2,2001,,5.97,11.51,4.54,7.39,0.23,0.35,0.00,0.00,0.72,1.77,12.80,20.87
LSP,2,2002,,6.50,5.75,11.97,2.50,2.34,0.00,0.00,0.00,0.07,0.00,11.21,25.12
LSP,2,2003,,5.56,4.66,7.58,16.34,4.23,0.00,0.03,2.29,0.03,0.69,5.14,25.02
LSP,2,2004,,7.76,18.29,2.00,2.96,1.66,0.02,0.00,0.00,0.39,8.64,4.11,13.43
LSP,2,2005,,15.92,5.33,16.43,4.96,14.97,4.03,0.00,0.02,0.31,2.51,7.07,34.61
LSP,2,2006,,12.00,9.40,19.00,16.40,2.08,0.00,0.00,0.00,0.01,0.96,8.28,10.12
LSP,2,2007,,2.79,19.40,2.25,5.08,2.09,0.50,0.01,0.01,1.22,4.76,2.02,9.81
LSP,2,2008,,17.65,12.16,5.71,1.60,1.89,0.01,0.00,0.00,0.00,3.54,6.90,14.58
LSP,2,2009,,5.96,19.17,9.18,2.40,8.21,0.48,0.02,0.11,0.02,5.46,2.69,12.91
LSP,2,2010,,14.48,7.00,9.58,12.50,6.58,0.56,0.00,0.10,0.05,11.68,17.36,24.58
LSP,2,2011,,3.11,11.10,25.69,6.20,5.02,7.57,0.00,0.00,0.01,5.39,3.90,0.29
LSP,2,2012,,9.82,5.93,23.21,9.72,0.92,1.72,0.68,0.24,0.01,5.27,18.86,20.05
LSP,2,2013,,1.73,1.30,5.47,1.58,4.24,3.58,0.00,0.03,2.07,0.68,1.27,2.26
LSP,2,2014,,1.60,17.15,11.47,3.29,1.22,0.01,0.10,0.47,1.53,m,m,m
LSP,2,,
'End of Data
