'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LYTLE CREEK R S (LYT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:35
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
LYT,2,1990,,8.25,5.88,1.39,0.86,1.96,0.06,0.00,0.16,0.10,0.00,0.78,0.04
LYT,2,1991,,2.85,8.57,20.56,0.06,0.01,0.00,0.10,0.00,0.04,1.73,0.14,5.78
LYT,2,1992,,6.30,6.30,15.45,0.35,0.10,0.00,0.33,0.00,0.00,3.54,0.00,17.67
LYT,2,1993,,38.07,21.45,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.62,1.60
LYT,2,1994,,0.86,12.31,4.67,2.25,0.64,0.00,0.00,0.00,0.00,2.18,1.59,2.45
LYT,2,1995,,34.76,7.25,19.22,1.24,1.24,1.67,0.08,0.00,0.00,0.00,0.00,2.29
LYT,2,1996,,3.01,19.91,6.06,1.34,0.00,0.00,0.05,0.00,0.00,3.31,4.90,14.79
LYT,2,1997,,11.10,0.47,0.00,0.00,0.17,0.47,0.03,0.00,2.04,0.38,4.40,2.20
LYT,2,1998,,5.68,21.47,6.79,3.14,10.19,0.13,0.00,0.30,0.40,0.06,1.44,0.71
LYT,2,1999,,4.15,2.14,1.76,6.77,0.16,0.61,0.04,0.00,0.00,0.00,0.76,0.05
LYT,2,2000,,1.81,14.63,5.81,3.18,0.09,0.00,0.00,0.00,0.29,2.35,0.49,0.15
LYT,2,2001,,6.25,13.82,1.60,4.10,0.02,0.00,0.00,0.00,0.00,0.15,2.82,3.46
LYT,2,2002,,2.62,0.68,2.63,0.37,m,m,m,m,m,m,m,m
LYT,2,2003,,m,m,m,m,m,m,m,m,m,0.59,1.66,0.54
LYT,2,2004,,0.23,0.00,2.10,0.87,0.37,0.27,0.61,0.00,1.76,22.93,m,m
LYT,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
LYT,2,2006,,m,m,m,m,m,m,m,m,m,0.65,m,m
LYT,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
LYT,2,2008,,m,m,m,m,m,m,m,m,m,0.30,m,m
LYT,2,2009,,m,m,m,m,m,m,m,m,m,0.49,m,m
LYT,2,2010,,m,m,m,m,m,m,m,m,m,1.62,m,m
LYT,2,2011,,m,m,m,m,m,m,m,m,m,0.71,m,m
LYT,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
LYT,2,2013,,m,m,m,m,m,m,m,m,m,0.30,m,1.20
LYT,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
LYT,2,,
'End of Data
