'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOCCASIN (MCN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:35
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MCN,2,1990,,3.45,3.89,2.57,1.74,2.38,0.00,0.00,0.00,0.03,0.07,0.92,1.65
MCN,2,1991,,0.18,2.04,12.91,0.39,0.60,0.10,0.04,0.29,0.00,2.95,0.64,2.87
MCN,2,1992,,2.09,6.36,3.66,0.14,0.14,0.32,0.90,0.02,0.00,2.71,0.17,7.70
MCN,2,1993,,12.80,8.00,5.81,1.85,1.10,1.02,0.00,0.00,0.00,0.40,1.71,2.20
MCN,2,1994,,2.89,7.09,0.33,4.01,2.36,0.00,0.00,0.00,0.48,2.88,4.95,2.83
MCN,2,1995,,15.63,0.93,13.15,3.49,2.78,1.63,0.05,0.00,0.00,0.00,0.07,5.88
MCN,2,1996,,6.73,7.67,3.63,3.13,2.51,0.30,0.00,0.00,0.00,1.84,5.76,12.73
MCN,2,1997,,10.57,0.34,0.16,0.42,0.18,0.22,0.00,0.00,0.06,0.78,4.52,3.17
MCN,2,1998,,12.18,13.83,8.17,4.11,4.36,0.78,0.00,0.00,0.96,0.34,2.46,3.17
MCN,2,1999,,7.02,7.38,2.70,3.40,0.86,0.07,0.00,0.00,0.03,0.50,1.44,0.26
MCN,2,2000,,10.08,13.96,3.25,3.67,1.94,0.86,0.00,0.11,0.42,3.32,0.38,0.47
MCN,2,2001,,5.71,4.87,2.93,3.89,0.00,0.02,0.34,0.02,0.48,1.08,4.25,7.66
MCN,2,2002,,2.24,2.19,4.77,0.80,1.20,0.00,0.00,0.00,0.06,0.00,3.93,9.02
MCN,2,2003,,0.73,2.24,2.25,6.45,2.90,0.00,0.00,1.25,0.03,0.00,2.32,7.53
MCN,2,2004,,2.94,5.69,1.07,0.01,0.49,0.00,0.00,0.00,0.08,6.02,2.21,6.15
MCN,2,2005,,11.34,6.18,6.97,1.54,4.13,0.47,0.00,0.08,0.60,0.82,0.91,9.01
MCN,2,2006,,5.62,3.72,10.26,10.58,2.78,0.01,0.00,0.00,0.00,0.74,1.75,5.04
MCN,2,2007,,1.32,7.85,1.30,1.61,0.59,0.00,0.05,0.07,0.44,1.88,0.68,4.57
MCN,2,2008,,7.89,4.72,0.76,0.14,0.47,0.00,0.00,0.00,0.00,0.57,2.76,3.70
MCN,2,2009,,4.97,5.84,4.35,1.15,2.09,0.85,0.00,0.00,0.17,3.18,1.27,6.09
MCN,2,2010,,8.62,5.41,3.41,6.55,1.76,0.01,0.00,0.00,0.00,3.82,5.50,10.13
MCN,2,2011,,2.88,6.60,13.35,1.54,3.43,3.72,0.00,0.00,0.00,1.47,1.10,0.01
MCN,2,2012,,3.89,1.81,5.92,5.97,0.02,0.48,0.00,0.00,0.09,0.50,3.46,9.86
MCN,2,2013,,1.21,0.73,2.08,0.91,0.38,0.38,0.00,0.00,0.09,0.60,1.28,0.84
MCN,2,2014,,1.23,4.04,3.57,2.19,0.08,0.03,0.00,0.00,0.19,m,m,m
MCN,2,,
'End of Data
