'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MODESTO IRRIG DISTRICT OFFICE (MDE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:36
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MDE,2,1990,,2.10,1.45,0.81,0.25,1.62,0.00,0.00,0.00,0.05,0.00,0.09,0.55
MDE,2,1991,,0.12,2.02,4.25,0.43,0.02,0.41,0.00,0.16,0.00,1.04,0.16,1.17
MDE,2,1992,,1.64,5.12,1.94,0.00,0.00,0.17,0.04,0.00,0.00,0.72,0.12,3.09
MDE,2,1993,,5.52,3.81,3.47,0.25,1.03,0.36,0.00,0.00,0.00,0.21,0.87,1.16
MDE,2,1994,,1.46,2.13,0.01,1.75,1.80,0.00,0.00,0.00,0.44,0.41,1.53,1.17
MDE,2,1995,,7.27,0.59,5.83,1.41,1.59,0.38,0.00,0.00,0.00,0.00,0.01,3.96
MDE,2,1996,,3.69,3.69,1.10,0.78,2.06,0.00,0.00,0.00,0.00,1.21,2.20,4.51
MDE,2,1997,,5.03,0.08,0.05,0.20,0.10,0.05,0.00,0.00,0.00,0.13,2.59,1.52
MDE,2,1998,,4.75,8.81,1.52,1.14,3.96,0.19,0.00,0.00,0.00,1.36,1.86,0.68
MDE,2,1999,,2.98,1.89,0.93,0.79,0.18,0.00,0.00,0.00,0.00,0.00,0.28,0.01
MDE,2,2000,,3.91,5.88,1.06,1.67,2.30,1.14,0.00,0.00,0.00,2.98,0.22,0.30
MDE,2,2001,,3.81,2.41,2.52,0.69,0.00,0.04,0.00,0.00,0.12,0.14,1.89,4.10
MDE,2,2002,,1.71,0.46,1.34,0.11,0.13,0.00,0.00,0.00,0.00,0.00,m,3.94
MDE,2,2003,,0.52,0.77,1.29,1.42,0.28,0.00,0.00,0.10,0.00,0.04,0.83,3.32
MDE,2,2004,,1.06,2.93,0.36,0.03,0.16,0.00,0.00,0.00,0.20,1.40,1.15,3.11
MDE,2,2005,,2.77,3.04,2.02,1.55,1.11,0.21,0.00,0.00,0.20,0.05,0.45,3.07
MDE,2,2006,,2.38,1.03,3.05,2.16,m,m,m,m,m,0.28,1.09,m
MDE,2,2007,,0.46,2.80,0.37,0.72,0.07,m,0.00,m,0.19,0.87,0.49,2.06
MDE,2,2008,,5.91,2.13,0.02,0.00,m,0.00,0.00,m,m,0.69,0.66,1.56
MDE,2,2009,,1.84,1.90,0.91,m,0.36,m,m,m,0.13,1.84,0.14,1.58
MDE,2,2010,,4.70,3.10,1.38,2.48,m,m,m,m,m,0.70,1.96,4.02
MDE,2,2011,,1.24,2.59,3.16,0.02,0.61,1.36,0.00,0.00,0.00,1.10,0.74,0.18
MDE,2,2012,,1.21,0.75,3.04,1.86,0.15,0.10,0.00,m,m,0.17,1.97,4.34
MDE,2,2013,,1.41,0.43,1.07,m,0.00,0.05,0.00,0.00,0.13,0.00,1.11,0.25
MDE,2,2014,,0.54,m,m,m,m,m,m,0.00,m,m,m,m
MDE,2,,
'End of Data
