'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MADERA (MDR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:36
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MDR,2,1990,,2.32,1.38,0.71,1.41,2.36,0.00,0.00,0.00,0.04,0.03,0.53,0.64
MDR,2,1991,,0.15,1.25,7.11,0.17,0.05,0.01,0.00,0.02,0.00,0.87,0.23,1.08
MDR,2,1992,,1.31,2.98,2.13,0.02,0.00,0.00,0.09,0.00,0.00,1.33,0.04,3.08
MDR,2,1993,,5.16,2.69,2.92,0.32,0.71,0.43,0.00,0.00,0.00,0.21,0.77,1.39
MDR,2,1994,,1.85,1.77,0.43,1.94,2.61,0.00,0.00,0.00,m,1.41,1.61,1.36
MDR,2,1995,,5.18,0.71,5.92,1.15,0.79,0.48,0.00,0.00,0.00,0.00,0.00,2.42
MDR,2,1996,,2.62,3.98,2.34,0.84,0.52,0.32,0.00,0.00,0.00,1.83,2.55,5.02
MDR,2,1997,,4.81,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.16,1.65
MDR,2,1998,,4.22,5.75,4.26,2.03,1.21,0.74,0.00,0.00,0.88,0.00,0.34,0.95
MDR,2,1999,,1.98,1.42,0.63,1.62,0.06,0.05,0.00,0.00,0.00,0.00,0.61,0.08
MDR,2,2000,,3.59,5.19,1.35,1.26,0.16,0.46,0.00,0.00,0.27,2.83,0.07,0.13
MDR,2,2001,,2.33,1.88,1.71,1.08,0.00,0.00,0.07,0.00,0.02,0.51,1.89,2.42
MDR,2,2002,,1.40,0.34,1.14,0.23,0.33,0.22,0.00,0.00,0.03,0.00,2.90,2.85
MDR,2,2003,,0.51,1.51,0.46,1.44,1.08,0.00,0.00,0.06,0.00,0.00,0.28,2.88
MDR,2,2004,,0.95,2.20,0.56,0.00,0.00,0.00,m,0.00,0.00,3.89,1.07,3.67
MDR,2,2005,,2.10,2.94,2.59,0.60,3.32,0.00,0.00,0.04,0.01,0.14,0.00,2.39
MDR,2,2006,,2.88,0.65,3.80,1.73,0.00,0.00,0.00,0.00,m,0.01,0.56,1.40
MDR,2,2007,,0.65,1.86,0.49,0.50,0.05,0.00,0.00,0.00,0.15,0.32,0.09,2.13
MDR,2,2008,,2.78,2.21,0.00,0.00,0.26,0.00,m,0.00,0.00,0.00,1.19,1.27
MDR,2,2009,,1.50,2.51,0.65,0.00,0.00,0.00,0.00,0.00,0.06,0.90,0.15,2.12
MDR,2,2010,,2.48,3.26,2.04,2.69,0.15,0.00,0.00,0.00,0.00,0.21,2.03,4.14
MDR,2,2011,,1.88,1.50,4.17,0.24,0.42,1.31,0.00,0.00,0.00,0.72,0.89,0.08
MDR,2,2012,,0.86,0.46,3.23,2.61,0.00,0.12,0.00,0.00,0.00,0.07,1.34,m
MDR,2,2013,,m,0.74,0.12,0.98,0.06,0.00,0.00,0.00,0.00,0.07,0.39,0.23
MDR,2,2014,,0.32,2.16,0.48,1.11,m,0.00,0.00,0.00,0.04,m,m,m
MDR,2,,
'End of Data
