'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MERCED (MFS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:36
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MFS,2,1990,,2.08,1.64,0.68,0.59,1.65,0.00,0.00,0.00,0.00,0.18,0.36,0.64
MFS,2,1991,,0.16,1.68,5.15,0.34,0.09,0.01,0.00,0.11,0.00,1.59,0.53,1.46
MFS,2,1992,,1.56,3.77,2.02,0.02,0.00,0.06,0.18,0.00,0.00,0.90,0.08,2.44
MFS,2,1993,,5.70,3.44,2.53,0.33,1.06,0.61,0.00,0.00,0.00,0.18,0.68,1.30
MFS,2,1994,,2.29,3.30,0.18,1.10,1.38,0.00,0.00,0.00,0.22,0.58,1.62,0.92
MFS,2,1995,,8.72,0.38,4.31,1.35,1.10,0.59,0.02,0.00,0.00,0.00,0.00,3.25
MFS,2,1996,,3.15,3.43,1.84,0.84,1.03,0.00,0.00,0.00,0.00,1.27,2.37,4.49
MFS,2,1997,,4.58,0.26,0.00,0.14,0.01,0.05,0.00,0.00,0.70,0.07,2.42,1.63
MFS,2,1998,,4.89,5.87,4.81,0.99,2.13,0.48,0.00,0.00,0.00,0.53,1.02,0.71
MFS,2,1999,,2.45,2.72,1.07,1.07,0.18,0.00,0.00,0.00,0.00,0.00,0.79,0.26
MFS,2,2000,,3.40,4.47,0.91,1.90,0.66,0.20,0.00,0.00,0.00,3.78,0.20,0.15
MFS,2,2001,,3.14,2.19,1.35,1.38,0.00,0.00,0.00,0.00,0.14,0.36,2.57,2.59
MFS,2,2002,,1.36,0.91,1.47,0.06,1.35,0.00,0.00,0.00,0.00,0.00,1.87,3.69
MFS,2,2003,,0.80,1.03,0.89,1.18,0.94,0.00,0.00,0.11,0.00,0.00,0.80,3.24
MFS,2,2004,,1.00,3.66,0.77,0.48,0.39,0.73,0.77,0.48,0.00,3.59,1.44,3.47
MFS,2,2005,,5.07,2.41,2.53,1.37,1.37,0.01,0.00,0.07,0.27,0.20,0.20,3.26
MFS,2,2006,,0.80,0.97,4.20,2.96,1.11,0.00,0.00,0.00,0.00,0.23,0.85,2.23
MFS,2,2007,,0.56,1.52,0.33,0.84,0.03,0.00,0.00,0.00,0.28,1.26,0.29,1.44
MFS,2,2008,,4.45,2.18,0.07,0.00,0.09,0.00,0.00,0.00,0.00,0.12,0.95,1.31
MFS,2,2009,,1.88,2.17,1.02,1.08,0.54,0.14,0.00,0.00,0.08,1.71,0.17,2.77
MFS,2,2010,,3.18,3.23,0.77,3.67,m,m,m,m,m,1.08,2.02,3.33
MFS,2,2011,,1.47,1.87,4.26,0.26,0.80,0.85,0.00,m,m,1.07,1.06,0.10
MFS,2,2012,,0.87,0.65,1.89,2.23,0.02,0.50,0.00,0.00,0.04,0.20,1.00,3.80
MFS,2,2013,,1.03,0.42,0.24,0.98,0.08,0.09,0.00,m,0.00,0.10,0.62,0.29
MFS,2,2014,,0.31,1.65,1.41,0.53,m,m,m,m,m,m,m,m
MFS,2,,
'End of Data
