'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MARKLEEVILLE (MKV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:37
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MKV,2,1990,,m,m,m,m,m,m,m,m,m,0.05,0.46,0.68
MKV,2,1991,,0.17,0.59,6.90,0.24,0.27,0.12,0.87,3.04,0.52,4.27,1.83,1.29
MKV,2,1992,,0.49,2.09,1.10,0.13,0.58,1.16,0.30,0.69,0.24,1.59,0.02,7.78
MKV,2,1993,,7.04,3.62,2.38,0.82,0.30,0.87,0.00,0.00,0.02,1.45,0.63,1.47
MKV,2,1994,,0.95,4.15,0.87,0.43,2.25,0.00,0.24,0.00,1.08,1.34,5.49,0.81
MKV,2,1995,,7.99,0.37,12.50,3.16,4.33,1.06,0.03,0.00,0.00,0.02,0.30,4.97
MKV,2,1996,,5.35,6.20,3.48,1.99,2.63,1.04,1.46,0.64,0.05,0.80,4.30,10.33
MKV,2,1997,,12.83,0.42,0.25,0.33,0.97,2.31,0.78,0.15,0.71,0.59,1.54,1.60
MKV,2,1998,,4.67,7.09,4.44,0.38,2.00,1.26,0.55,0.30,2.62,0.61,2.02,1.83
MKV,2,1999,,5.37,7.35,1.11,3.33,0.15,0.45,0.30,1.17,0.26,1.03,1.60,0.10
MKV,2,2000,,5.73,5.22,0.34,0.56,0.83,0.41,0.06,0.64,0.35,1.77,0.91,0.14
MKV,2,2001,,2.56,2.40,1.20,2.47,0.09,0.00,0.33,0.90,0.45,0.57,4.40,4.72
MKV,2,2002,,0.74,0.85,2.86,0.78,0.28,0.00,0.27,0.00,0.14,0.20,4.73,3.46
MKV,2,2003,,1.12,1.15,1.28,3.43,0.52,0.17,1.05,1.14,0.13,0.02,2.32,5.67
MKV,2,2004,,1.12,4.99,0.67,0.12,0.72,0.03,0.02,0.94,0.01,2.92,2.50,3.00
MKV,2,2005,,3.21,2.61,m,m,m,m,m,m,m,m,m,m
MKV,2,2006,,m,m,m,m,m,m,m,m,m,1.17,m,1.54
MKV,2,2007,,1.01,m,0.62,m,m,m,m,m,m,0.02,m,m
MKV,2,2008,,m,m,m,m,m,m,m,m,m,0.97,m,m
MKV,2,2009,,m,m,m,m,m,m,m,m,m,1.13,m,m
MKV,2,2010,,2.84,m,m,m,m,m,m,m,m,0.84,m,m
MKV,2,2011,,m,m,m,m,m,m,m,m,m,0.60,m,m
MKV,2,2012,,3.87,m,m,m,m,m,m,m,m,m,m,m
MKV,2,2013,,m,m,1.00,m,m,m,m,m,m,0.47,0.48,0.70
MKV,2,2014,,2.34,1.18,m,0.55,m,m,m,m,m,m,m,m
MKV,2,,
'End of Data
